sigungu,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
부산광역시 동구,122181,119682.5,117295.5,116003.5,114619,112041.5,109135.5,107981.5,107094.5,105948,105119
부산광역시 서구,98824,97376.5,95229,93346,91411.5,89046.5,87490.5,86074.5,85757,86801,86919.5
부산광역시 영도구,142680.5,139266.5,135634,131880,128678,125772.5,122860.5,119749.5,116364.5,113042.5,110597.5
대구광역시 남구,220341,218383,214989,210492.5,205903,200285,193360,185899.5,177581,170922.5,166014
대구광역시 서구,167246,166154,164755.5,162275,159695,156122.5,152169.5,149276.5,146952.5,145124,143176
인천광역시 강화군,66479.5,66307.5,66296.5,66487.5,66934.5,67357,67897.5,68326.5,68509.5,68662,69012
인천광역시 옹진군,18989.5,19603.5,20195.5,20526,20664.5,21012,21330.5,21158.5,20643,20366.5,20280
경기도 가평군,44434,44676.5,45046,44944,44998.5,45258.5,45108.5,44465,43660,43104.5,42681.5
경기도 연천군,58374.5,59314.5,60143.5,60383.5,60897.5,61509.5,61975,62214,61945.5,61675,61764.5
강원도 고성군,49437.5,48772.5,48090.5,47479.5,46836,46242,45451.5,44358.5,43346.5,42288,41106.5
강원도 양구군,71446.5,71657,72005.5,71942,70845.5,69481.5,68371,67786.5,67156.5,65623,63913
강원도 양양군,69294,69223.5,69620.5,70009.5,69860.5,69655,69650,69599.5,69006,68652,68425.5
강원도 영월군,43986.5,44168.5,44456.5,44839,45258.5,45548,45780,46143,46282,46150,46184
강원도 정선군,39708.5,39589.5,39568.5,39593,39630,39573,39510.5,39347,38872,38345,37917
강원도 철원군,43175,43184.5,43236.5,43272,43183.5,42992.5,42787,42442.5,41954,41489,41061
강원도 평창군,39707.5,39163,39068.5,38837,38454.5,38104.5,37623.5,37147.5,36706.5,36313,35811
강원도 홍천군,48020,47558.5,47268,47098,47770.5,47997.5,47208.5,46412.5,45613.5,44767.5,43754
강원도 화천군,24470.5,24804.5,24875,25937,26905,26464.5,25970,25379,24818.5,24703.5,24399
강원도 횡성군,21918.5,22399,23051,23596,23843.5,23899,23776.5,23479,22940,22379,21911.5
강원도 태백시,29853,29865,30040,30121.5,29951,29867,29855,28873,27484,26791.5,26845.5
강원도 삼척시,27760.5,27702.5,27564,27424.5,27324.5,27160,27014.5,27067.5,27323.5,27627.5,27750.5
충청북도 괴산군,136467.5,136611.5,136383.5,136009.5,135446.5,135290,135469,134949,134051,132882.5,131574.5
충청북도 단양군,34490,34235,34039.5,33941.5,33931,33930.5,33828.5,33570,33023,32402.5,31929.5
충청북도 보은군,53246,52874,52524,52152.5,51977.5,51881.5,51587,51207,50841.5,50381,50038
충청북도 영동군,50167.5,50245,50212,50287.5,50364,50237,50011,49597.5,48851,47736.5,46383
충청북도 옥천군,36697,37149.5,37505.5,37836.5,38219.5,38540.5,38684,38765.5,38819,38968,38540.5
충청북도 제천시,31348.5,31065.5,30851,30708.5,30501,30272.5,30010,29901,29679.5,29143,28544.5
충청남도 금산군,123847.5,117214.5,115923.5,114095.5,111541.5,109695,108324,107181,106193.5,104677,103222
충청남도 부여군,105994.5,105143,104422.5,103815,103714,103477.5,102696,101733.5,100695.5,99852.5,98744
충청남도 서천군,126224,125824,124978,124063,123273.5,122493,121534,120074.5,118380,116625.5,114818.5
충청남도 예산군,55812.5,55410,55112.5,54835,54546,54267,53785.5,53094,52269.5,51373,50642.5
충청남도 청양군,73745,72890,72177.5,71441,70745,69965.5,68960.5,67939,66784,65431,64136.5
충청남도 태안군,59255.5,58686,58141,57546,56772.5,55921.5,55065.5,54023.5,52842.5,51820.5,50936.5
충청남도 공주시,32194,31975,31906,31990,32159,32407.5,32578.5,32355.5,31801.5,31134,30560
충청남도 보령시,86092,85531.5,84920.5,84451,83592.5,81788,80225,79610,79068,78071.5,77010.5
충청남도 논산시,62509.5,62151,62022.5,62060.5,62595.5,63267.5,63503,63172,62563.5,62050.5,61515.5
전라북도 고창군,120057.5,118757.5,117703,116620.5,115426.5,114412.5,113348,111881,110281,108474,106739.5
전라북도 무주군,87071.5,86699.5,86208,85550.5,84764.5,84042,83284,82495,81588,80653.5,79729
전라북도 부안군,92781.5,91795.5,90877,89795,88552.5,87391,86514.5,85310,83812.5,82405,81168
전라북도 순창군,27807,27518.5,26639,26400.5,26147,25939.5,25978,25926.5,25640.5,25360.5,25059
전라북도 임실군,25600,25475,25246,25284.5,25196.5,24977.5,24774.5,24598,24345.5,24068.5,23810.5
전라북도 장수군,23200,23097.5,23107.5,23181,23197,23341,23201.5,22998.5,22720.5,22158.5,21823
전라북도 진안군,30479.5,30174.5,29657.5,29668,29933.5,30046,29999,29940.5,29305.5,27928,26876.5
전라북도 남원시,29662,29594,29987,30148.5,30135.5,29921,29652,29289.5,28630.5,27930,27208.5
전라북도 정읍시,59966.5,59765.5,60012.5,59856,59614.5,59861.5,60087,58313.5,55827,54578.5,53647.5
전라북도 김제시,59099,58481,58526.5,57867,56701.5,56421.5,56053,54794,53397,52251,51137
전라남도 강진군,47393,47318,47109.5,46897.5,46712,46729.5,46875,46720.5,46344,46033.5,45948
전라남도 고흥군,31392.5,30894,30733,30662.5,30494.5,30325.5,30060,29679,29056.5,28267,27619
전라남도 곡성군,27217,27065,26908,26953.5,27046.5,27163,27283.5,27154,26677.5,25985,25369
전라남도 구례군,72791,71615,70633.5,69682.5,68670.5,67676,66753.5,65825.5,64931.5,64022,63030
전라남도 담양군,47830.5,46971,46233,45663,45153,44449.5,43656,42834,41689,40543.5,39667.5
전라남도 보성군,68674,68181.5,67607.5,66822.5,65824,65073,64518,63842.5,62868,62181.5,62230.5
전라남도 신안군,42137,42283.5,42523.5,42796.5,43050,41783.5,40096,39408.5,38610.5,37858.5,36939.5
전라남도 영광군,41288.5,40597,39839.5,39658.5,39005,37952.5,37009.5,36211,35421.5,34647.5,33967
전라남도 영암군,78356.5,77614.5,77249,76694,75989.5,75071.5,73798.5,72187.5,70538.5,68999.5,67596.5
전라남도 완도군,59530,59500.5,58982.5,58416.5,57945.5,57038,55804.5,54680.5,54171,53651,52934
전라남도 장성군,36051,35570.5,35303.5,34971.5,34614.5,34269,34000,33514,32780.5,32098,31422
전라남도 장흥군,56495,56466,56863.5,56682,56014,55400.5,54659,53929.5,53477.5,52970,52184.5
전라남도 진도군,45880.5,45788.5,45847.5,45864.5,45903,45815,45700.5,45556.5,45377,44714.5,43636.5
전라남도 함평군,53794,53606.5,53404.5,53053.5,52756,52512,52081,51501.5,50784.5,50007,49051
전라남도 해남군,33337,33069,32811.5,32579.5,32312,31975,31635,31226,30714,30721.5,30477
전라남도 화순군,44374,43615.5,43531.5,43457.5,43033,42505,41916,41238.5,40349,39200.5,38280.5
경상북도 고령군,167083.5,167307.5,167464,167690,168085,168130,166672,163364,160242,158634,157300.5
경상북도 군위군,113237.5,113070.5,112321,110959,109530.5,108766.5,108119.5,106922,105273,103452,102053.5
경상북도 봉화군,102671,102036.5,100387.5,99873,99838.5,99759,99752.5,100320.5,101270.5,101506,101439.5
경상북도 성주군,104312,103606.5,102968.5,102337,101858.5,101307.5,100604.5,99877.5,99760,98240.5,95902.5
경상북도 영덕군,76474,75739.5,75225.5,75243,75288,74671,73433.5,72020,71490.5,71266.5,70757
경상북도 영양군,24311,24014,23969.5,23991,23966,23973,24025,23903,23715.5,23384.5,22981
경상북도 울릉군,57618.5,56748,55934.5,55028.5,54240,53670,53191.5,52673.5,52248,51647,50814.5
경상북도 울진군,26432.5,26323,26277,26265,26225.5,26152.5,25972,25666.5,25366,25051.5,24679.5
경상북도 의성군,18146,18026.5,18059.5,18055,17853,17613,17410.5,17236.5,16994,16667,16403.5
경상북도 청도군,40675,40141,39829.5,39504,39022,38744.5,38427.5,37967,37377.5,36484,35538
