sigungu,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
부산 서구,"122,181","119,682.5","117,295.5","116,003.5","114,619","112,041.5","109,135.5","107,981.5","107,094.5","105,948","105,119"
부산 동구,"98,824","97,376.5","95,229","93,346","91,411.5","89,046.5","87,490.5","86,074.5","85,757","86,801","86,919.5"
부산 영도구,"142,680.5","139,266.5","135,634","131,880","128,678","125,772.5","122,860.5","119,749.5","116,364.5","113,042.5","110,597.5"
대구 서구,"220,341","218,383","214,989","210,492.5","205,903","200,285","193,360","185,899.5","177,581","170,922.5","166,014"
대구 남구,"167,246","166,154","164,755.5","162,275","159,695","156,122.5","152,169.5","149,276.5","146,952.5","145,124","143,176"
인천 강화군,"66,479.5","66,307.5","66,296.5","66,487.5","66,934.5","67,357","67,897.5","68,326.5","68,509.5","68,662","69,012"
인천 옹진군,"18,989.5","19,603.5","20,195.5","20,526","20,664.5","21,012","21,330.5","21,158.5","20,643","20,366.5","20,280"
경기 연천군,"44,434","44,676.5","45,046","44,944","44,998.5","45,258.5","45,108.5","44,465","43,660","43,104.5","42,681.5"
경기 가평군,"58,374.5","59,314.5","60,143.5","60,383.5","60,897.5","61,509.5","61,975","62,214","61,945.5","61,675","61,764.5"
강원 태백시,"49,437.5","48,772.5","48,090.5","47,479.5","46,836","46,242","45,451.5","44,358.5","43,346.5","42,288","41,106.5"
강원 삼척시,"71,446.5","71,657","72,005.5","71,942","70,845.5","69,481.5","68,371","67,786.5","67,156.5","65,623","63,913"
강원 홍천군,"69,294","69,223.5","69,620.5","70,009.5","69,860.5","69,655","69,650","69,599.5","69,006","68,652","68,425.5"
강원 횡성군,"43,986.5","44,168.5","44,456.5","44,839","45,258.5","45,548","45,780","46,143","46,282","46,150","46,184"
강원 영월군,"39,708.5","39,589.5","39,568.5","39,593","39,630","39,573","39,510.5","39,347","38,872","38,345","37,917"
강원 평창군,"43,175","43,184.5","43,236.5","43,272","43,183.5","42,992.5","42,787","42,442.5","41,954","41,489","41,061"
강원 정선군,"39,707.5","39,163","39,068.5","38,837","38,454.5","38,104.5","37,623.5","37,147.5","36,706.5","36,313","35,811"
강원 철원군,"48,020","47,558.5","47,268","47,098","47,770.5","47,997.5","47,208.5","46,412.5","45,613.5","44,767.5","43,754"
강원 화천군,"24,470.5","24,804.5","24,875","25,937","26,905","26,464.5","25,970","25,379","24,818.5","24,703.5","24,399"
강원 양구군,"21,918.5","22,399","23,051","23,596","23,843.5","23,899","23,776.5","23,479","22,940","22,379","21,911.5"
강원 고성군,"29,853","29,865","30,040","30,121.5","29,951","29,867","29,855","28,873","27,484","26,791.5","26,845.5"
강원 양양군,"27,760.5","27,702.5","27,564","27,424.5","27,324.5","27,160","27,014.5","27,067.5","27,323.5","27,627.5","27,750.5"
충북 제천시,"136,467.5","136,611.5","136,383.5","136,009.5","135,446.5","135,290","135,469","134,949","134,051","132,882.5","131,574.5"
충북 보은군,"34,490","34,235","34,039.5","33,941.5","33,931","33,930.5","33,828.5","33,570","33,023","32,402.5","31,929.5"
충북 옥천군,"53,246","52,874","52,524","52,152.5","51,977.5","51,881.5","51,587","51,207","50,841.5","50,381","50,038"
충북 영동군,"50,167.5","50,245","50,212","50,287.5","50,364","50,237","50,011","49,597.5","48,851","47,736.5","46,383"
충북 괴산군,"36,697","37,149.5","37,505.5","37,836.5","38,219.5","38,540.5","38,684","38,765.5","38,819","38,968","38,540.5"
충북 단양군,"31,348.5","31,065.5","30,851","30,708.5","30,501","30,272.5","30,010","29,901","29,679.5","29,143","28,544.5"
충남 공주시,"123,847.5","117,214.5","115,923.5","114,095.5","111,541.5","109,695","108,324","107,181","106,193.5","104,677","103,222"
충남 보령시,"105,994.5","105,143","104,422.5","103,815","103,714","103,477.5","102,696","101,733.5","100,695.5","99,852.5","98,744"
충남 논산시,"126,224","125,824","124,978","124,063","123,273.5","122,493","121,534","120,074.5","118,380","116,625.5","114,818.5"
충남 금산군,"55,812.5","55,410","55,112.5","54,835","54,546","54,267","53,785.5","53,094","52,269.5","51,373","50,642.5"
충남 부여군,"73,745","72,890","72,177.5","71,441","70,745","69,965.5","68,960.5","67,939","66,784","65,431","64,136.5"
충남 서천군,"59,255.5","58,686","58,141","57,546","56,772.5","55,921.5","55,065.5","54,023.5","52,842.5","51,820.5","50,936.5"
충남 청양군,"32,194","31,975","31,906","31,990","32,159","32,407.5","32,578.5","32,355.5","31,801.5","31,134","30,560"
충남 예산군,"86,092","85,531.5","84,920.5","84,451","83,592.5","81,788","80,225","79,610","79,068","78,071.5","77,010.5"
충남 태안군,"62,509.5","62,151","62,022.5","62,060.5","62,595.5","63,267.5","63,503","63,172","62,563.5","62,050.5","61,515.5"
전북 정읍시,"120,057.5","118,757.5","117,703","116,620.5","115,426.5","114,412.5","113,348","111,881","110,281","108,474","106,739.5"
전북 남원시,"87,071.5","86,699.5","86,208","85,550.5","84,764.5","84,042","83,284","82,495","81,588","80,653.5","79,729"
전북 김제시,"92,781.5","91,795.5","90,877","89,795","88,552.5","87,391","86,514.5","85,310","83,812.5","82,405","81,168"
전북 진안군,"27,807","27,518.5","26,639","26,400.5","26,147","25,939.5","25,978","25,926.5","25,640.5","25,360.5","25,059"
전북 무주군,"25,600","25,475","25,246","25,284.5","25,196.5","24,977.5","24,774.5","24,598","24,345.5","24,068.5","23,810.5"
전북 장수군,"23,200","23,097.5","23,107.5","23,181","23,197","23,341","23,201.5","22,998.5","22,720.5","22,158.5","21,823"
전북 임실군,"30,479.5","30,174.5","29,657.5","29,668","29,933.5","30,046","29,999","29,940.5","29,305.5","27,928","26,876.5"
전북 순창군,"29,662","29,594","29,987","30,148.5","30,135.5","29,921","29,652","29,289.5","28,630.5","27,930","27,208.5"
전북 고창군,"59,966.5","59,765.5","60,012.5","59,856","59,614.5","59,861.5","60,087","58,313.5","55,827","54,578.5","53,647.5"
전북 부안군,"59,099","58,481","58,526.5","57,867","56,701.5","56,421.5","56,053","54,794","53,397","52,251","51,137"
전남 담양군,"47,393","47,318","47,109.5","46,897.5","46,712","46,729.5","46,875","46,720.5","46,344","46,033.5","45,948"
전남 곡성군,"31,392.5","30,894","30,733","30,662.5","30,494.5","30,325.5","30,060","29,679","29,056.5","28,267","27,619"
전남 구례군,"27,217","27,065","26,908","26,953.5","27,046.5","27,163","27,283.5","27,154","26,677.5","25,985","25,369"
전남 고흥군,"72,791","71,615","70,633.5","69,682.5","68,670.5","67,676","66,753.5","65,825.5","64,931.5","64,022","63,030"
전남 보성군,"47,830.5","46,971","46,233","45,663","45,153","44,449.5","43,656","42,834","41,689","40,543.5","39,667.5"
전남 화순군,"68,674","68,181.5","67,607.5","66,822.5","65,824","65,073","64,518","63,842.5","62,868","62,181.5","62,230.5"
전남 장흥군,"42,137","42,283.5","42,523.5","42,796.5","43,050","41,783.5","40,096","39,408.5","38,610.5","37,858.5","36,939.5"
전남 강진군,"41,288.5","40,597","39,839.5","39,658.5","39,005","37,952.5","37,009.5","36,211","35,421.5","34,647.5","33,967"
전남 해남군,"78,356.5","77,614.5","77,249","76,694","75,989.5","75,071.5","73,798.5","72,187.5","70,538.5","68,999.5","67,596.5"
전남 영암군,"59,530","59,500.5","58,982.5","58,416.5","57,945.5","57,038","55,804.5","54,680.5","54,171","53,651","52,934"
전남 함평군,"36,051","35,570.5","35,303.5","34,971.5","34,614.5","34,269","34,000","33,514","32,780.5","32,098","31,422"
전남 영광군,"56,495","56,466","56,863.5","56,682","56,014","55,400.5","54,659","53,929.5","53,477.5","52,970","52,184.5"
전남 장성군,"45,880.5","45,788.5","45,847.5","45,864.5","45,903","45,815","45,700.5","45,556.5","45,377","44,714.5","43,636.5"
전남 완도군,"53,794","53,606.5","53,404.5","53,053.5","52,756","52,512","52,081","51,501.5","50,784.5","50,007","49,051"
전남 진도군,"33,337","33,069","32,811.5","32,579.5","32,312","31,975","31,635","31,226","30,714","30,721.5","30,477"
전남 신안군,"44,374","43,615.5","43,531.5","43,457.5","43,033","42,505","41,916","41,238.5","40,349","39,200.5","38,280.5"
경북 안동시,"167,083.5","167,307.5","167,464","167,690","168,085","168,130","166,672","163,364","160,242","158,634","157,300.5"
경북 영주시,"113,237.5","113,070.5","112,321","110,959","109,530.5","108,766.5","108,119.5","106,922","105,273","103,452","102,053.5"
