sigungu,2016,2017,2018,2019,2020,인구감소지수 분류,sido,pop,hp_bin,sig_cd
강원도 고성군,23.557772792714367,24.07636911740077,25.34894191805493,27.263134914859556,28.94201519138533,인구감소지역,강원도,26791.5,25.4~30,42820
강원도 삼척시,20.661614962256138,21.43160111743283,22.277297101930323,23.144446181680106,24.49598463953187,인구감소지역,강원도,65623.0,20.3~25,42230
강원도 양구군,16.988158500355663,17.441591487393012,18.122577622556328,19.054054054054053,20.36284016265249,인구감소지역,강원도,22379.0,20.3~25,42800
강원도 양양군,25.452871870397644,26.308093801476986,27.31319848526831,28.199169213314544,29.253461225228488,인구감소지역,강원도,27627.5,25.4~30,42830
강원도 영월군,24.445960629722286,25.233798610495946,26.276463262764633,27.389895040131712,28.81992437084366,인구감소지역,강원도,38345.0,25.4~30,42750
강원도 정선군,22.62987311209962,23.546453679216448,24.540009421899185,25.49139798128397,26.84713463497921,인구감소지역,강원도,36313.0,25.4~30,42770
강원도 철원군,18.70930777644669,19.223233104207928,19.91704820899542,20.88197573086915,22.049477857820964,인구감소지역,강원도,44767.5,20.3~25,42780
강원도 태백시,18.79027723714372,19.763924182920256,20.985831351375722,22.241703482403423,23.72540673477109,인구감소지역,강원도,42288.0,20.3~25,42190
강원도 평창군,22.47833924521719,23.399630728959732,24.56499970548389,25.792534680840923,27.457880402034274,인구감소지역,강원도,41489.0,25.4~30,42760
강원도 홍천군,21.10975522216639,21.933955491744435,22.998728439141086,24.11529432223285,25.48942492571229,인구감소지역,강원도,68652.0,25.4~30,42720
강원도 화천군,18.0241455534773,18.602233346168656,19.52795618424682,20.694240183733907,21.8713947416358,인구감소지역,강원도,24703.5,20.3~25,42790
강원도 횡성군,24.40941424431369,25.28615115771079,26.292178661985567,27.239531567347996,28.667388949079093,인구감소지역,강원도,46150.0,25.4~30,42730
경기도 가평군,21.578780513579204,22.142799515933845,23.035008197511814,24.04533016926169,25.363599513579242,인구감소지역,경기도,61675.0,20.3~25,41820
경기도 연천군,21.95609664482915,22.452531119412082,23.26324075115259,24.317453046266603,25.628414666682133,인구감소지역,경기도,43104.5,25.4~30,41800
경상남도 거창군,24.46318835510259,25.050872614972107,25.719541485593105,26.335794697978454,27.196720778164547,인구감소지역,경상남도,61478.0,25.4~30,48880
경상남도 고성군,26.112846633747722,26.968394531105268,27.98178489272804,29.15532636203027,30.586450960566232,인구감소지역,경상남도,51428.0,25.4~30,48820
경상남도 남해군,34.45415330162593,35.20653002646096,35.909550364001866,36.49274396479416,37.31935030054994,인구감소지역,경상남도,43004.5,35.7~41,48840
경상남도 밀양시,23.284782547843207,24.174686177830228,25.270469691415464,26.40469459029246,27.73332821990307,인구감소지역,경상남도,104300.5,25.4~30,48270
경상남도 산청군,32.1620261657162,32.55425477121817,33.24965832705771,34.41981378657511,36.00803558616732,인구감소지역,경상남도,34845.0,35.7~41,48860
경상남도 의령군,33.48070810916387,34.20324238829577,34.71125280776755,35.25743318842972,36.43783542039356,인구감소지역,경상남도,26832.0,35.7~41,48720
경상남도 창녕군,26.614938178147867,27.235468569315845,28.057917865385225,29.014181611204194,30.367695605748146,인구감소지역,경상남도,61341.5,25.4~30,48740
경상남도 하동군,29.027286737376485,29.76110191486318,30.755898935059513,31.91675934639405,33.571641018297186,인구감소지역,경상남도,45389.5,30.5~35,48850
경상남도 함안군,20.0779016163856,20.715639183889305,21.639734902077592,22.730341766870236,24.1961489566215,인구감소지역,경상남도,64502.0,20.3~25,48730
경상남도 함양군,30.403984781738085,30.953097567093053,31.44703102217306,31.989675852121763,33.13868613138686,인구감소지역,경상남도,39045.0,30.5~35,48870
경상남도 합천군,34.910307842607416,35.99264588669139,36.92819336818424,37.72430533234319,38.9089550379873,인구감소지역,경상남도,44159.5,35.7~41,48890
경상북도 고령군,25.62107941335595,26.72509511895421,27.98152675903287,29.182657480618364,30.79013477003776,인구감소지역,경상북도,31646.5,30.5~35,47830
경상북도 군위군,35.6818087014558,36.403746097814775,37.22963644730787,38.10166346903924,39.65447197930253,인구감소지역,경상북도,23384.5,35.7~41,47720
경상북도 문경시,25.365938583921473,26.452504647061627,27.682588169952794,28.585616270693308,29.55806725460069,인구감소지역,경상북도,71266.5,25.4~30,47280
경상북도 봉화군,31.60281047321643,32.44862754592501,33.301736790606654,34.298953522725505,35.85037469833608,인구감소지역,경상북도,31492.0,35.7~41,47920
경상북도 상주시,27.12138785381142,27.78702741925063,28.649095141548397,29.319366479550922,30.46197851191718,인구감소지역,경상북도,98240.5,25.4~30,47250
경상북도 성주군,27.083659108678653,27.953655898390895,28.94542028400296,30.02305796294824,31.394370902890582,인구감소지역,경상북도,43399.5,30.5~35,47840
경상북도 안동시,20.29025159103075,21.05932610156475,22.14441370191719,23.178692228005144,24.142995826871918,인구감소지역,경상북도,158634.0,20.3~25,47170
경상북도 영덕군,32.879505478196904,33.655585192895714,34.564226828561644,35.51066818273026,36.997039798267735,인구감소지역,경상북도,36484.0,35.7~41,47770
경상북도 영양군,32.845057627888494,33.6061572039861,34.54297566211238,35.47722725667883,36.7492650146997,인구감소지역,경상북도,16667.0,35.7~41,47760
