행정구역(시군구)별,senior_2016,senior_2017,senior_2018,senior_2019,senior_2020
부산광역시 중구,9092,9372,9685,9989,10430
부산광역시 서구,23012,23481,24124,24887,25914
부산광역시 동구,19597,20138,20659,21227,22184
부산광역시 영도구,26201,27105,28021,28912,30088
부산광역시 부산진구,58089,60204,62200,64239,67324
부산광역시 동래구,38712,40808,42733,44777,47577
부산광역시 남구,44221,46123,48294,50139,51965
부산광역시 북구,37102,39359,41652,44085,47157
부산광역시 해운대구,54904,57544,60478,63548,67223
부산광역시 사하구,44892,47808,50802,53615,56958
부산광역시 금정구,37913,40059,42488,44777,47024
부산광역시 강서구,11645,12529,13401,14377,15633
부산광역시 연제구,30916,32184,34020,36137,38594
부산광역시 수영구,29901,31324,32777,34281,36166
부산광역시 사상구,29488,31252,33116,34930,37177
부산광역시 기장군,20236,21669,23157,24488,26314
대구광역시 중구,14813,14962,15060,15074,15238
대구광역시 동구,54024,56687,59600,62125,64999
대구광역시 서구,32026,33450,34823,35801,37165
대구광역시 남구,29136,30012,31079,31978,32970
대구광역시 북구,49641,52198,55066,57976,61524
대구광역시 수성구,55018,57140,59443,61695,64404
대구광역시 달서구,61251,64586,68561,72911,77720
대구광역시 달성군,23049,25409,27681,29474,31631
인천광역시 중구,15191,15782,16630,17816,19308
인천광역시 동구,12205,12560,12868,13144,13723
인천광역시 미추홀구,55443,58182,60845,63224,66280
인천광역시 연수구,25983,27594,29730,32418,35874
인천광역시 남동구,52334,55622,59725,63670,68238
인천광역시 부평구,59177,61447,64161,66890,70322
인천광역시 계양구,28871,30405,32066,33703,36087
인천광역시 서구,41304,43983,47579,51318,55341
인천광역시 강화군,19349,19917,20684,21398,22227
인천광역시 옹진군,4506,4689,4889,5033,5291
광주광역시 동구,18983,19317,19775,20298,21206
광주광역시 서구,34140,35842,37459,39074,41056
광주광역시 남구,31219,32614,33856,35056,36560
광주광역시 북구,52274,54763,57312,59749,62735
광주광역시 광산구,31266,32511,33915,35357,37125
대전광역시 동구,34944,36055,37498,39165,41077
대전광역시 중구,37558,38974,40537,42164,44185
대전광역시 서구,47727,50122,52682,55344,58712
대전광역시 유성구,24609,26222,28090,29958,32158
대전광역시 대덕구,22153,23126,24138,25232,26758
울산광역시 중구,25069,26677,28327,29892,31785
울산광역시 남구,28402,30231,32421,34750,37418
울산광역시 동구,13716,14860,16067,17316,18892
울산광역시 북구,12527,13439,14436,15630,17149
울산광역시 울주군,25320,26510,28005,29569,31574
경기도 장안구,29260,30688,32203,33459,35171
경기도 권선구,29754,31948,34761,37271,39663
경기도 팔달구,23078,23899,24251,24438,25524
경기도 영통구,18519,19940,21805,23750,25794
경기도 수정구,28241,30204,31900,33627,36054
경기도 중원구,27987,28559,29674,30908,32535
경기도 분당구,49634,51521,53798,55838,58204
경기도 의정부시,53221,55767,58709,62020,66408
경기도 만안구,29118,30895,32822,34539,36483
경기도 동안구,30713,31299,32313,34013,35938
경기도 부천시,83059,88055,93731,99422,106461
경기도 광명시,35327,36701,38331,39816,40679
경기도 평택시,50884,53001,55628,58505,62365
경기도 동두천시,15408,16060,16807,17472,18298
경기도 상록구,31875,33200,34558,35870,38058
경기도 단원구,23946,24800,26154,27968,30204
경기도 덕양구,52451,54986,57875,61500,66282
경기도 일산동구,28346,29742,31586,33621,35973
경기도 일산서구,29860,30918,32320,34007,36315
경기도 과천시,7644,7399,7404,7702,8298
경기도 구리시,19585,21073,22656,24036,25596
경기도 남양주시,73436,78019,83331,88947,95826
경기도 오산시,15523,16509,17786,19214,20945
경기도 시흥시,30591,32729,35656,39074,43659
경기도 군포시,27691,29052,30621,32323,34644
경기도 의왕시,16417,17325,18416,19710,21259
경기도 하남시,20912,24640,28117,31472,35076
경기도 처인구,26810,28508,31142,33713,35960
경기도 기흥구,41438,43992,46977,50424,54346
경기도 수지구,37399,39387,41762,44132,46883
경기도 파주시,50430,52614,55542,58384,61840
경기도 이천시,24732,25882,27176,28309,29861
경기도 안성시,26009,27137,28482,29766,31514
경기도 김포시,38980,42233,46212,50006,54750
경기도 화성시,50752,55031,60326,65980,72272
경기도 광주시,33696,36852,40638,44179,48271
경기도 양주시,26111,27642,29832,31975,34524
경기도 포천시,23767,24538,25546,26613,28098
경기도 여주시,19321,20234,21318,22297,23544
경기도 연천군,9937,10128,10344,10617,11047
경기도 가평군,13273,13723,14331,14895,15643
경기도 양평군,22892,24329,25964,27382,29181
강원도 춘천시,40954,42350,44257,46090,48578
강원도 원주시,41284,43336,45793,48133,51186
강원도 강릉시,36929,38337,40087,41726,43830
강원도 동해시,14804,15293,15983,16699,17571
강원도 태백시,8689,8983,9309,9641,10033
강원도 속초시,12483,12959,13549,14217,15169
강원도 삼척시,14356,14653,15101,15543,16075
강원도 홍천군,14704,15277,16007,16641,17499
강원도 횡성군,11118,11576,12132,12607,13230
강원도 영월군,9674,9970,10339,10647,11051
강원도 평창군,9664,10012,10426,10821,11392
강원도 정선군,8623,8859,9116,9357,9749
강원도 철원군,8980,9075,9244,9525,9871
강원도 화천군,4770,4831,4956,5136,5403
강원도 양구군,4060,4147,4255,4371,4557
강원도 인제군,5538,5680,5884,6046,6300
강원도 고성군,7036,7188,7319,7493,7754
강원도 양양군,6913,7107,7393,7705,8082
충청북도 상당구,23082,23856,25005,26359,28094
충청북도 서원구,23734,24756,25965,27090,28507
충청북도 흥덕구,22872,23993,25200,26642,28477
충청북도 청원구,19754,20732,21799,22776,23977
충청북도 충주시,34142,35504,37168,38716,40566
충청북도 제천시,23631,24672,25903,26937,28247
충청북도 보은군,10064,10233,10460,10682,10966
