sigungu,뚜레쥬르,파바,sum
강원도 고성군,0,2,2
강원도 삼척시,1,3,4
강원도 양구군,1,1,2
강원도 양양군,1,1,2
강원도 영월군,2,2,4
강원도 정선군,0,3,3
강원도 철원군,0,3,3
강원도 태백시,1,3,4
강원도 평창군,1,0,1
강원도 홍천군,2,4,6
강원도 화천군,1,0,1
강원도 횡성군,1,3,4
경기도 가평군,1,6,7
경기도 연천군,1,1,2
경상남도 거창군,3,3,6
경상남도 고성군,1,1,2
경상남도 남해군,1,1,2
경상남도 밀양시,2,4,6
경상남도 산청군,0,2,2
경상남도 의령군,1,1,2
경상남도 창녕군,1,2,3
경상남도 하동군,1,1,2
경상남도 함안군,1,3,4
경상남도 함양군,1,1,2
경상남도 합천군,1,1,2
경상북도 고령군,0,2,2
경상북도 군위군,1,0,1
경상북도 문경시,2,2,4
경상북도 봉화군,1,1,2
경상북도 상주시,2,3,5
경상북도 성주군,1,1,2
경상북도 안동시,8,10,18
경상북도 영덕군,1,2,3
경상북도 영양군,0,1,1
경상북도 영주시,2,6,8
경상북도 영천시,2,6,8
경상북도 울릉군,0,0,0
경상북도 울진군,3,3,6
경상북도 의성군,2,1,3
경상북도 청도군,3,1,4
경상북도 청송군,0,0,0
대구광역시 남구,5,9,14
대구광역시 서구,3,10,13
부산광역시 동구,2,9,11
부산광역시 서구,3,6,9
부산광역시 영도구,2,5,7
인천광역시 강화군,2,2,4
인천광역시 옹진군,0,1,1
전라남도 강진군,1,1,2
전라남도 고흥군,1,2,3
전라남도 곡성군,0,1,1
전라남도 구례군,1,1,2
전라남도 담양군,0,1,1
전라남도 보성군,2,2,4
전라남도 신안군,0,1,1
전라남도 영광군,0,2,2
전라남도 영암군,0,3,3
전라남도 완도군,1,2,3
전라남도 장성군,1,3,4
전라남도 장흥군,1,1,2
전라남도 진도군,1,1,2
전라남도 함평군,1,1,2
전라남도 해남군,1,2,3
전라남도 화순군,1,2,3
전라북도 고창군,1,3,4
전라북도 김제시,1,4,5
전라북도 남원시,1,4,5
전라북도 무주군,0,1,1
전라북도 부안군,1,1,2
전라북도 순창군,0,1,1
전라북도 임실군,0,1,1
전라북도 장수군,0,1,1
전라북도 정읍시,2,6,8
전라북도 진안군,1,1,2
충청남도 공주시,3,5,8
충청남도 금산군,1,3,4
충청남도 논산시,3,8,11
충청남도 보령시,3,8,11
충청남도 부여군,1,2,3
충청남도 서천군,1,3,4
충청남도 예산군,2,4,6
충청남도 청양군,1,1,2
충청남도 태안군,3,3,6
충청북도 괴산군,1,1,2
충청북도 단양군,1,2,3
충청북도 보은군,1,1,2
충청북도 영동군,1,2,3
충청북도 옥천군,2,2,4
충청북도 제천시,7,10,17
