,sigungu,뚜레쥬르,파바,sum,pop,sido,rate,hp_bin,sig_cd
0,강원도 고성군,0,2,2,26791.5,강원도,0.7465054214956236,0~4개,
1,강원도 삼척시,1,3,4,65623.0,강원도,0.6095423860536702,0~4개,
2,강원도 양구군,1,1,2,22379.0,강원도,0.8936949819026766,0~4개,
3,강원도 양양군,1,1,2,27627.5,강원도,0.7239163876572255,0~4개,
4,강원도 영월군,2,2,4,38345.0,강원도,1.043160777154779,0~4개,
5,강원도 정선군,0,3,3,36313.0,강원도,0.8261504144521247,0~4개,
6,강원도 철원군,0,3,3,44767.5,강원도,0.6701289998324677,0~4개,
7,강원도 태백시,1,3,4,42288.0,강원도,0.9458948164964056,0~4개,
8,강원도 평창군,1,0,1,41489.0,강원도,0.24102774229313795,0~4개,
9,강원도 홍천군,2,4,6,68652.0,강원도,0.8739730816290858,4.5~8개,
10,강원도 화천군,1,0,1,24703.5,강원도,0.40480093913817883,0~4개,
11,강원도 횡성군,1,3,4,46150.0,강원도,0.8667388949079089,0~4개,
12,경기도 가평군,1,6,7,61675.0,경기도,1.1349817592217268,4.5~8개,
13,경기도 연천군,1,1,2,43104.5,경기도,0.46398867867624033,0~4개,
14,경상남도 거창군,3,3,6,61478.0,경상남도,0.9759588795992061,4.5~8개,
15,경상남도 고성군,1,1,2,51428.0,경상남도,0.3888932099245547,0~4개,
16,경상남도 남해군,1,1,2,43004.5,경상남도,0.465067609203688,0~4개,
17,경상남도 밀양시,2,4,6,104300.5,경상남도,0.5752609047895264,4.5~8개,
18,경상남도 산청군,0,2,2,34845.0,경상남도,0.5739704405223132,0~4개,
19,경상남도 의령군,1,1,2,26832.0,경상남도,0.7453786523553965,0~4개,
20,경상남도 창녕군,1,2,3,61341.5,경상남도,0.4890653146727746,0~4개,
21,경상남도 하동군,1,1,2,45389.5,경상남도,0.44063054230604,0~4개,
22,경상남도 함안군,1,3,4,64502.0,경상남도,0.6201358097423335,0~4개,
23,경상남도 함양군,1,1,2,39045.0,경상남도,0.5122294788065053,0~4개,
24,경상남도 합천군,1,1,2,44159.5,경상남도,0.4529036787101303,0~4개,
25,경상북도 고령군,0,2,2,31646.5,경상북도,0.6319814197462594,0~4개,
