sigungu,2016,2017,2018,2019,2020,인구감소지수 분류,sido,pop,hp_bin,sig_cd
강원도 고성군,4.921820068972444,4.521855635571931,3.671249956706958,4.620870324552467,3.657876565328556,인구감소지역,강원도,26791.5,2~4,42820
강원도 삼척시,5.483474018263855,4.9289903614105395,5.030500173338349,5.449956445020214,5.455404355180348,인구감소지역,강원도,65623.0,4.1~6,42230
강원도 양구군,8.703293024812753,8.4537253170147,6.984965288129818,7.454228421970357,7.104875106126279,인구감소지역,강원도,22379.0,6.2~8,42800
강원도 양양군,4.896907216494846,3.5166299579855265,4.95058649672116,4.282028290665544,3.221427925074654,인구감소지역,강원도,27627.5,2~4,42830
강원도 영월군,4.118970004801254,3.593981346730616,3.100617582026584,3.1127804074912535,3.2077193897509453,인구감소지역,강원도,38345.0,2~4,42750
강원도 정선군,4.618877035520739,3.9868699084348878,3.661080826435157,4.195442224129242,3.6626001707377522,인구감소지역,강원도,36313.0,2~4,42770
강원도 철원군,7.854575759154122,7.392736477541121,7.196337193643954,7.651243601126859,7.639470598090133,인구감소지역,강원도,44767.5,6.2~8,42780
강원도 태백시,5.2765883828554125,5.324356731901037,5.139939357733017,4.06030475355565,3.807226636398033,인구감소지역,강원도,42288.0,2~4,42190
강원도 평창군,4.326335988835262,4.323743193025919,3.3457030099546445,3.43233064785241,2.627202390995204,인구감소지역,강원도,41489.0,2~4,42760
강원도 홍천군,5.785657885291795,5.427135678391959,5.186818870825221,4.463379995942382,4.297034318009672,인구감소지역,강원도,68652.0,4.1~6,42720
강원도 화천군,8.350809575091159,7.662687716596072,7.959336459277355,7.857042125833551,6.072014087072682,인구감소지역,강원도,24703.5,4.1~6,42790
강원도 횡성군,4.566611047685957,3.800786369593709,3.2290921699932817,3.8675943131238926,3.445287107258938,인구감소지역,강원도,46150.0,2~4,42730
경기도 가평군,5.901527406335607,5.841064945542557,4.838139325553734,4.213381117272442,4.296716659910823,인구감소지역,경기도,61675.0,4.1~6,41820
경기도 연천군,8.904404697460146,7.493044548145028,7.399077926459013,6.298671552908841,5.63746244591632,인구감소지역,경기도,43104.5,4.1~6,41800
경상남도 거창군,5.596673795005923,4.692250604486365,4.273469945135715,3.841342855989993,3.871303555743518,인구감소지역,경상남도,61478.0,2~4,48880
경상남도 고성군,5.00196964005973,4.242469154099818,3.8871414487582743,3.017714749558325,2.6639184879832,인구감소지역,경상남도,51428.0,2~4,48820
경상남도 남해군,3.0970025439663758,2.803067677266,2.430464854796761,2.7116774482655606,2.441604948319362,인구감소지역,경상남도,43004.5,2~4,48840
경상남도 밀양시,5.952991891614492,5.849617255904429,4.398951019372303,4.342971181487728,3.576205291441556,인구감소지역,경상남도,104300.5,2~4,48270
경상남도 산청군,5.786648775578665,5.3175939975221675,3.9885086324714805,4.097260486867573,2.4680728942459464,인구감소지역,경상남도,34845.0,2~4,48860
경상남도 의령군,4.367975283652053,4.744958481613287,4.021447721179625,3.2282323593609568,3.242397137745975,인구감소지역,경상남도,26832.0,2~4,48720
경상남도 창녕군,6.13487257128438,6.057221072836117,5.279630741993613,5.066579016987469,3.9451268716937147,인구감소지역,경상남도,61341.5,2~4,48740
경상남도 하동군,4.593116369020639,3.8419880244415836,3.675088745040718,3.9567114381042003,2.996287687681072,인구감소지역,경상남도,45389.5,2~4,48850
경상남도 함안군,6.9148625780475,5.684572335081302,4.57219450443071,4.415278989492849,3.2092028154165764,인구감소지역,경상남도,64502.0,2~4,48730
경상남도 함양군,4.4553464156988385,4.01304238776022,3.7709286540298654,3.441382626078595,2.689204763734153,인구감소지역,경상남도,39045.0,2~4,48870
경상남도 합천군,3.6167868797938016,2.6143235172215906,2.717066437708535,3.0369196324662227,2.423034681099197,인구감소지역,경상남도,44159.5,2~4,48890
경상북도 고령군,5.995116173653657,5.063141220187425,4.256089830661958,3.575777192090134,3.1599070987312974,인구감소지역,경상북도,31646.5,2~4,47830
경상북도 군위군,4.2130730405039,4.162330905306972,3.3886959795841527,3.3311547300288837,2.5230387649939066,인구감소지역,경상북도,23384.5,2~4,47720
경상북도 문경시,5.919299326378379,5.31092757392743,4.179394612607609,4.37820409704786,4.5884111047967835,인구감소지역,경상북도,71266.5,4.1~6,47280
경상북도 봉화군,5.434782608695652,5.054020518718034,4.678326810176125,4.384941922843682,3.4294423980693507,인구감소지역,경상북도,31492.0,2~4,47920
경상북도 상주시,5.034178121067048,4.443141211377225,4.565592851242773,4.380513231756215,3.6441182607987543,인구감소지역,경상북도,98240.5,2~4,47250
경상북도 성주군,6.768680889087457,6.088517680118648,5.653139511407228,4.793330228648667,4.3318471410960955,인구감소지역,경상북도,43399.5,4.1~6,47840
경상북도 안동시,7.910545411288883,7.109772487280408,5.796870791606474,5.41680707929257,4.576572487612996,인구감소지역,경상북도,158634.0,4.1~6,47170
경상북도 영덕군,4.207048742402147,5.412790319432698,4.003476703452999,4.8157313892047355,4.1388005701129265,인구감소지역,경상북도,36484.0,4.1~6,47770
경상북도 영양군,4.201442116618407,4.594928347836076,3.6550343747280483,4.354478051076851,3.119937601247975,인구감소지역,경상북도,16667.0,2~4,47760
경상북도 영주시,5.617538488413253,4.948228580413339,4.732421765399076,3.752149174052226,3.499207361868306,인구감소지역,경상북도,103452.0,2~4,47210
경상북도 영천시,6.325243837648734,5.854489862409463,4.974058143649604,6.457951723354778,5.615431600102457,인구감소지역,경상북도,101506.0,4.1~6,47230
경상북도 울릉군,3.846932577444827,3.267640151128357,3.290657617358219,4.604677934174036,3.2663726931242856,인구감소지역,경상북도,9184.5,2~4,47940
경상북도 울진군,5.8857808857808855,5.172565808164425,4.860993515354962,4.760602469435919,4.249640730856087,인구감소지역,경상북도,48710.0,4.1~6,47930
경상북도 의성군,4.9375815166759836,4.154799169040166,4.556370850617483,4.880569591180524,4.37585919801731,인구감소지역,경상북도,51647.0,4.1~6,47730
경상북도 청도군,3.7622619734564338,3.3155576165082308,3.4046125504279083,3.140158882665854,2.6491006066913445,인구감소지역,경상북도,42278.5,2~4,47820
경상북도 청송군,4.511996941019023,4.928384413984291,3.2727485243410674,4.573050540093037,3.113586012813604,인구감소지역,경상북도,25051.5,2~4,47750
대구광역시 남구,5.630194238498615,4.646134737907399,4.106473557458809,3.8719994556064035,3.3350789669523992,인구감소지역,대구광역시,145124.0,2~4,27200
대구광역시 서구,5.557081159347929,4.468349193214729,3.5879601612699337,3.046497091468119,2.3694949465400987,인구감소지역,대구광역시,170922.5,2~4,27170
부산광역시 동구,4.8963182157636735,4.263320017601911,3.7293275011763067,3.894725794978836,3.997649796661329,인구감소지역,부산광역시,86801.0,2~4,26170
부산광역시 서구,5.123101707849324,4.196617965739836,3.9451202289281038,3.6042934044231965,3.388454713633103,인구감소지역,부산광역시,105948.0,2~4,26140
부산광역시 영도구,4.921584607127949,3.8173375494971937,3.373709284798684,2.9734154316823433,2.5565605856204527,인구감소지역,부산광역시,113042.5,2~4,26200
인천광역시 강화군,4.097569666107457,3.564196030781693,3.775987354833044,4.36435822769105,4.558562232384726,인구감소지역,인천광역시,68662.0,4.1~6,28710
인천광역시 옹진군,5.758614125261755,4.875647546939828,5.151593922064418,4.795814561836942,3.928019050892397,인구감소지역,인천광역시,20366.5,2~4,28720
전라남도 강진군,7.114155852710625,5.99845985490212,5.357488056115545,5.335742416329066,3.7232123529836207,인구감소지역,전라남도,34647.5,2~4,46810
