시군구별,2016,2017,2018,2019,2020,2021
부산광역시 중구,211,174,163,112,94,83
부산광역시 서구,574,458,426,386,359,344
부산광역시 동구,436,373,321,334,347,380
부산광역시 영도구,619,469,404,346,289,266
부산광역시 부산진구,2692,2288,2018,1695,1468,1564
부산광역시 동래구,1737,1458,1297,1291,1270,1216
부산광역시 남구,1718,1439,1295,1203,998,963
부산광역시 북구,2417,2113,1797,1468,1272,1236
부산광역시 해운대구,2845,2275,2084,1948,1728,1577
부산광역시 사하구,2398,2065,1828,1526,1327,1153
부산광역시 금정구,1275,1204,1080,1000,782,749
부산광역시 강서구,1601,1731,1607,1449,1312,1294
부산광역시 연제구,1478,1278,1264,1214,1058,1005
부산광역시 수영구,1263,1082,955,854,787,775
부산광역시 사상구,1682,1437,1245,1015,823,765
부산광역시 기장군,1960,1636,1368,1208,1144,1076
대구광역시 중구,700,577,546,483,413,404
대구광역시 동구,2806,2441,2202,2001,1649,1630
대구광역시 서구,1113,864,667,541,405,364
대구광역시 남구,879,707,613,569,484,451
대구광역시 북구,3575,3022,2785,2438,2198,2011
대구광역시 수성구,2400,1977,1714,1568,1342,1390
대구광역시 달서구,4504,3706,3041,2927,2373,2231
대구광역시 달성군,2321,2652,2832,2706,2329,2180
인천광역시 중구,915,790,794,856,776,807
인천광역시 동구,527,430,382,344,219,206
인천광역시 연수구,2542,2440,2480,2517,2525,2478
인천광역시 남동구,4521,3850,3782,3333,2831,2446
인천광역시 부평구,4537,3845,3576,2977,2399,2165
인천광역시 계양구,2455,1984,1921,1654,1261,1278
인천광역시 서구,4717,3867,4148,4084,3571,3374
인천광역시 강화군,276,242,258,299,313,277
인천광역시 옹진군,121,104,109,99,80,74
인천광역시 미추홀구,2998,2893,2637,2359,2065,1842
광주광역시 동구,559,524,460,459,493,639
광주광역시 서구,2205,2011,1749,1589,1336,1302
광주광역시 남구,1416,1298,1165,1120,951,1039
광주광역시 북구,3437,3035,2796,2538,2220,2508
광주광역시 광산구,3963,3252,2935,2658,2318,2468
대전광역시 동구,1666,1409,1182,1100,950,958
대전광역시 중구,1689,1427,1264,1110,918,922
대전광역시 서구,4069,3522,3078,2803,2580,2453
대전광역시 유성구,3647,3375,2876,2582,2332,2332
대전광역시 대덕구,1365,1118,937,815,701,749
울산광역시 중구,2107,1801,1453,1170,937,904
울산광역시 남구,2840,2409,2077,1860,1701,1659
울산광역시 동구,2013,1717,1312,1091,819,749
울산광역시 북구,2122,1861,1826,1970,1826,1584
울산광역시 울주군,1828,1593,1481,1448,1334,1231
경기도 장안구,2105,1820,1551,1313,1148,999
경기도 권선구,3538,3133,3085,2677,2295,2107
경기도 팔달구,1483,1215,1012,808,724,816
경기도 영통구,3814,3329,3184,2993,2647,2586
경기도 수정구,1885,1716,1579,1425,1294,1266
경기도 중원구,1916,1684,1356,1258,1102,1048
경기도 분당구,4511,3968,3518,3125,2714,2710
경기도 의정부시,2967,2669,2559,2418,2302,2288
경기도 만안구,1950,1694,1732,1618,1371,1341
경기도 동안구,2826,2431,2334,2212,1905,1936
경기도 부천시,6426,6059,5447,4747,4243,3912
경기도 광명시,2905,2374,2123,1827,1667,1663
경기도 평택시,4179,3870,3586,3562,3597,3714
경기도 동두천시,714,583,464,426,393,352
경기도 안산시,5131,4381,3747,3621,3539,3398
경기도 상록구,2899,2438,2094,1865,1713,1681
경기도 단원구,2232,1943,1653,1756,1826,1717
경기도 덕양구,3572,3144,2706,2725,2803,2859
경기도 일산동구,1859,1773,1584,1359,1314,1322
경기도 일산서구,2076,1764,1526,1454,1427,1410
경기도 과천시,414,317,281,282,393,497
경기도 구리시,1340,1306,1318,1176,1015,926
경기도 남양주시,5218,4422,4120,3855,3683,3596
경기도 오산시,2261,1959,1847,1709,1506,1403
경기도 시흥시,3069,2812,3185,3309,3211,3341
경기도 군포시,2887,2266,2081,1985,1682,1529
경기도 의왕시,1218,941,869,923,942,1008
경기도 하남시,1600,1850,1892,1981,1958,2213
경기도 처인구,1697,1499,1590,1520,1414,1342
경기도 기흥구,3806,3127,2814,2694,2582,2476
경기도 수지구,2785,2371,2194,2249,2256,2172
경기도 파주시,3876,3409,3227,3077,2691,2542
경기도 이천시,1879,1725,1525,1359,1261,1216
경기도 안성시,1400,1236,1043,1001,831,847
경기도 김포시,3346,3172,3238,3160,3164,3360
경기도 화성시,7262,7004,7178,7158,6842,6551
경기도 광주시,3044,2842,2827,2662,2441,2249
경기도 양주시,1525,1402,1304,1256,1243,1218
경기도 포천시,983,875,772,617,582,536
경기도 여주시,781,628,627,591,554,457
경기도 연천군,403,338,329,275,243,217
경기도 가평군,363,362,301,261,265,242
경기도 양평군,629,618,520,530,493,474
강원도 춘천시,1993,1742,1705,1675,1592,1487
강원도 원주시,2468,2291,2041,2146,2076,2035
강원도 강릉시,1236,1084,1036,964,950,892
강원도 동해시,662,561,472,422,404,422
강원도 태백시,244,242,228,176,161,131
강원도 속초시,517,383,416,414,415,380
강원도 삼척시,381,337,341,366,358,287
강원도 홍천군,403,378,361,308,295,265
강원도 횡성군,208,174,149,179,159,150
강원도 영월군,163,142,122,121,123,91
강원도 평창군,186,185,142,144,109,106
강원도 정선군,176,150,136,154,133,128
강원도 철원군,377,349,334,349,342,277
강원도 화천군,221,199,202,195,150,138
강원도 양구군,208,201,164,171,159,161
강원도 인제군,335,310,262,255,222,230
강원도 고성군,147,135,106,127,98,93
강원도 양양군,133,95,134,117,89,84
충청북도 충주시,1428,1234,1155,1100,1042,954
충청북도 제천시,891,760,755,675,612,574
충청북도 상당구,1183,1018,958,882,993,1089
충청북도 서원구,1799,1595,1368,1042,904,837
충청북도 흥덕구,2402,2230,2043,1830,1836,1829
충청북도 청원구,2413,2105,2060,1706,1464,1345
충청북도 보은군,185,174,178,102,112,71
충청북도 옥천군,274,209,172,178,177,153
충청북도 영동군,228,299,285,221,216,159
충청북도 진천군,533,513,545,619,525,505
충청북도 괴산군,120,128,101,112,78,83
충청북도 음성군,772,670,538,503,375,341
충청북도 단양군,112,92,104,95,74,69
충청북도 증평군,402,367,324,268,199,181
충청남도 동남구,2114,1678,1594,1515,1370,1250
충청남도 서북구,3907,3761,3619,3319,3276,3159
충청남도 공주시,547,569,513,548,454,373
충청남도 보령시,627,539,455,461,407,368
충청남도 아산시,3441,3031,2693,2362,1969,1810
충청남도 서산시,1564,1396,1341,1193,1106,1031
충청남도 논산시,713,659,629,607,488,454
충청남도 계룡시,371,334,269,223,183,169
충청남도 당진시,1717,1585,1380,1247,1058,953
충청남도 금산군,289,233,211,207,185,149
충청남도 부여군,292,262,210,186,167,129
충청남도 서천군,226,214,205,169,170,160
충청남도 청양군,135,121,110,104,92,90
충청남도 홍성군,691,698,627,574,560,508
충청남도 예산군,316,318,256,296,247,206
충청남도 태안군,352,272,268,217,218,175
전라북도 완산구,2620,2224,1865,1572,1438,1357
전라북도 덕진구,2177,2074,1962,1930,1769,1777
전라북도 군산시,2104,1799,1529,1357,1296,1134
전라북도 익산시,2010,1874,1597,1341,1199,1068
전라북도 정읍시,646,536,527,463,368,357
전라북도 남원시,520,433,450,427,381,343
전라북도 김제시,454,417,353,297,293,269
전라북도 완주군,809,712,561,474,396,344
전라북도 진안군,173,155,160,151,138,120
전라북도 무주군,124,104,79,73,89,62
전라북도 장수군,126,98,87,96,95,72
전라북도 임실군,162,178,156,151,165,150
전라북도 순창군,252,219,216,181,166,85
전라북도 고창군,253,235,244,232,203,169
전라북도 부안군,268,290,215,226,169,168
전라남도 목포시,1823,1431,1318,1208,963,792
전라남도 여수시,2286,2023,1744,1572,1471,1356
전라남도 순천시,1961,1852,1722,1792,1608,1563
전라남도 나주시,902,943,889,820,733,701
전라남도 광양시,1447,1300,1171,1111,1024,892
전라남도 담양군,314,292,273,238,240,155
전라남도 곡성군,144,115,130,88,68,44
전라남도 구례군,145,118,72,105,88,87
전라남도 고흥군,270,227,219,252,243,191
전라남도 보성군,244,228,170,154,127,91
전라남도 화순군,332,304,269,281,262,191
전라남도 장흥군,163,161,176,205,233,161
전라남도 강진군,270,222,194,189,129,102
전라남도 해남군,786,640,533,490,395,295
전라남도 영암군,504,436,368,342,285,228
전라남도 무안군,612,502,448,414,422,458
전라남도 함평군,205,160,146,123,132,83
전라남도 영광군,403,360,411,570,558,413
전라남도 장성군,385,329,344,267,260,153
전라남도 완도군,386,331,310,282,244,203
전라남도 진도군,181,174,133,160,110,129
전라남도 신안군,217,206,198,169,143,142
경상북도 남구,1956,1608,1440,1221,1070,956
경상북도 북구,2132,1903,1669,1480,1391,1265
경상북도 경주시,1627,1364,1251,1112,1103,1062
경상북도 김천시,1123,1066,1017,878,842,809
경상북도 안동시,1330,1185,947,868,726,737
경상북도 구미시,4286,3727,3360,2891,2695,2409
경상북도 영주시,611,535,506,395,362,375
경상북도 영천시,631,584,499,654,570,539
경상북도 상주시,510,447,456,437,358,314
경상북도 문경시,442,390,301,313,327,300
경상북도 경산시,2509,2091,1859,1639,1340,1409
경상북도 군위군,101,100,81,79,59,54
경상북도 의성군,265,221,240,255,226,178
경상북도 청송군,118,128,84,116,78,88
경상북도 영양군,74,80,63,74,52,40
경상북도 영덕군,163,208,152,180,151,105
경상북도 청도군,163,143,146,134,112,93
경상북도 고령군,205,171,141,116,100,100
경상북도 성주군,303,273,252,211,188,184
경상북도 칠곡군,1307,1039,876,662,464,443
경상북도 예천군,238,231,310,337,314,293
경상북도 봉화군,181,167,153,141,108,70
경상북도 울진군,303,264,244,235,207,196
경상북도 울릉군,38,32,32,44,30,26
경상남도 진주시,2624,2296,2161,1972,1822,1751
경상남도 통영시,1059,845,641,536,468,424
경상남도 사천시,871,738,610,497,523,462
경상남도 김해시,4700,3995,3433,3431,2995,2802
경상남도 밀양시,638,627,468,457,373,342
경상남도 거제시,3233,2614,2030,1618,1446,1198
경상남도 양산시,2901,3005,3033,2678,2370,2096
경상남도 의창구,2020,1817,1680,1611,1521,1227
경상남도 성산구,1902,1616,1624,1387,1136,1296
경상남도 마산합포구,1265,1153,1062,958,713,861
경상남도 마산회원구,1429,1199,982,841,789,708
경상남도 진해구,1958,1730,1574,1452,1217,1121
경상남도 의령군,123,132,111,88,87,73
경상남도 함안군,474,387,307,291,207,171
경상남도 창녕군,389,385,334,316,242,215
경상남도 고성군,273,229,207,158,137,120
경상남도 남해군,140,125,107,118,105,91
경상남도 하동군,228,188,176,185,136,127
경상남도 산청군,207,191,143,145,86,89
경상남도 함양군,178,160,150,136,105,99
경상남도 거창군,352,294,266,238,238,203
경상남도 합천군,174,123,125,137,107,86
