sigungu,2016,2017,2018,2019,2020,인구감소지수 분류,sido,pop,hp_bin,sig_cd
부산광역시 서구,908.6,904.4,974.2,932.8,987.3,인구감소지역,부산광역시,105948.0,973.75~1250,26140
부산광역시 동구,909.6,949.8,985.2,988.8,962.0,인구감소지역,부산광역시,86801.0,696.8~973,26170
부산광역시 영도구,883.3,891.3,955.3,995.1,1073.9,인구감소지역,부산광역시,113042.5,973.75~1250,26200
대구광역시 서구,694.0,720.4,781.1,751.8,830.2,인구감소지역,대구광역시,170922.5,696.8~973,27170
대구광역시 남구,716.7,812.9,813.3,798.9,939.2,인구감소지역,대구광역시,145124.0,696.8~973,27200
인천광역시 강화군,1193.6,1104.6,1172.3,1137.1,1316.6,인구감소지역,인천광역시,68662.0,1250.7~1527,28710
인천광역시 옹진군,918.5,820.4,978.3,881.7,957.5,인구감소지역,인천광역시,20366.5,696.8~973,28720
경기도 연천군,987.7,995.4,1023.3,1037.6,1090.4,인구감소지역,경기도,43104.5,973.75~1250,41800
경기도 가평군,988.5,976.2,1064.1,1036.4,1060.4,인구감소지역,경기도,61675.0,973.75~1250,41820
강원도 태백시,813.1,853.7,867.9,779.8,848.9,인구감소지역,강원도,42288.0,696.8~973,42190
강원도 삼척시,875.1,906.8,984.0,926.2,964.6,인구감소지역,강원도,65623.0,696.8~973,42230
강원도 홍천군,1002.1,959.1,992.8,1020.2,1091.0,인구감소지역,강원도,68652.0,973.75~1250,42720
강원도 횡성군,994.6,1046.3,1103.1,1151.6,1118.1,인구감소지역,강원도,46150.0,973.75~1250,42730
강원도 영월군,1026.0,1131.3,1029.3,1111.3,1053.6,인구감소지역,강원도,38345.0,973.75~1250,42750
강원도 평창군,965.3,941.9,977.8,896.2,993.0,인구감소지역,강원도,41489.0,973.75~1250,42760
강원도 정선군,1044.5,1002.0,1079.5,1043.4,1027.2,인구감소지역,강원도,36313.0,973.75~1250,42770
강원도 철원군,843.8,877.0,881.2,898.9,965.0,인구감소지역,강원도,44767.5,696.8~973,42780
강원도 화천군,759.5,770.1,803.8,813.9,829.8,인구감소지역,강원도,24703.5,696.8~973,42790
강원도 양구군,698.8,727.6,749.6,810.8,862.4,인구감소지역,강원도,22379.0,696.8~973,42800
강원도 고성군,1017.8,1028.3,1149.9,1080.6,1228.0,인구감소지역,강원도,26791.5,973.75~1250,42820
강원도 양양군,1086.2,1114.2,997.5,1087.0,1104.0,인구감소지역,강원도,27627.5,973.75~1250,42830
충청북도 제천시,792.4,819.4,837.4,861.6,852.6,인구감소지역,충청북도,132882.5,696.8~973,43150
충청북도 보은군,1270.2,1327.3,1447.7,1420.2,1638.8,인구감소지역,충청북도,32402.5,1527.65~1805,43720
충청북도 옥천군,1054.3,1087.5,1122.9,1215.5,1206.8,인구감소지역,충청북도,50381.0,973.75~1250,43730
충청북도 영동군,1248.1,1199.7,1211.8,1326.5,1432.9,인구감소지역,충청북도,47736.5,1250.7~1527,43740
충청북도 괴산군,1287.0,1383.0,1367.2,1246.8,1275.4,인구감소지역,충청북도,38968.0,1250.7~1527,43760
