시군구별,사망률_2016,사망률_2017,사망률_2018,사망률_2019,사망률_2020
부산광역시 중구,887.0,862.0,869.5,995.9,947.0
부산광역시 서구,908.6,904.4,974.2,932.8,987.3
부산광역시 동구,909.6,949.8,985.2,988.8,962.0
부산광역시 영도구,883.3,891.3,955.3,995.1,1073.9
부산광역시 부산진구,654.5,652.4,684.6,689.9,714.8
부산광역시 동래구,539.6,561.8,622.8,577.8,579.4
부산광역시 남구,616.9,602.8,645.2,629.1,667.3
부산광역시 북구,508.3,527.4,565.8,583.3,600.4
부산광역시 해운대구,527.6,522.8,585.8,578.7,571.7
부산광역시 사하구,571.4,630.5,655.0,651.3,719.0
부산광역시 금정구,616.7,639.3,693.2,688.8,707.0
부산광역시 강서구,488.6,455.1,466.0,443.3,452.9
부산광역시 연제구,546.2,580.2,617.2,589.4,628.9
부산광역시 수영구,603.8,629.7,652.9,666.5,710.8
부산광역시 사상구,604.5,614.2,629.6,659.3,704.7
부산광역시 기장군,550.3,607.2,609.5,598.9,615.5
대구광역시 중구,720.2,801.1,760.2,706.9,788.7
대구광역시 동구,658.4,642.2,669.5,649.3,689.7
대구광역시 서구,694.0,720.4,781.1,751.8,830.2
대구광역시 남구,716.7,812.9,813.3,798.9,939.2
대구광역시 북구,509.6,499.8,507.7,524.7,529.1
대구광역시 수성구,472.4,481.3,507.1,506.8,520.2
대구광역시 달서구,451.7,462.6,490.4,483.8,523.9
대구광역시 달성군,542.6,498.9,512.9,496.4,498.4
인천광역시 중구,591.1,568.3,654.6,570.5,549.9
인천광역시 동구,759.7,760.5,826.3,770.0,852.0
인천광역시 연수구,359.2,375.2,367.5,370.4,380.4
인천광역시 남동구,444.4,463.7,505.8,493.2,519.8
인천광역시 부평구,494.1,484.9,518.8,543.9,567.7
인천광역시 계양구,436.3,441.2,489.9,504.5,522.2
인천광역시 서구,379.4,403.6,421.3,405.7,421.4
인천광역시 미추홀구,585.0,581.3,621.7,617.7,625.1
인천광역시 강화군,1193.6,1104.6,1172.3,1137.1,1316.6
인천광역시 옹진군,918.5,820.4,978.3,881.7,957.5
광주광역시 동구,835.6,811.0,800.5,776.8,769.6
광주광역시 서구,467.0,493.3,502.9,494.6,517.4
광주광역시 남구,553.0,613.5,623.0,591.1,626.5
광주광역시 북구,503.5,546.2,562.5,559.9,580.1
광주광역시 광산구,397.0,388.7,423.2,422.6,407.9
대전광역시 동구,639.0,629.3,687.2,731.7,730.4
대전광역시 중구,611.4,593.9,654.6,673.0,689.9
대전광역시 서구,399.5,422.1,438.5,417.2,447.2
대전광역시 유성구,305.7,332.4,329.0,336.4,340.9
대전광역시 대덕구,485.2,483.0,535.1,596.4,569.2
울산광역시 중구,455.6,451.8,479.9,506.9,522.0
울산광역시 남구,391.4,378.5,427.0,423.2,449.5
울산광역시 동구,364.9,402.6,436.7,408.1,422.0
울산광역시 북구,337.5,319.6,363.6,366.4,333.8
울산광역시 울주군,563.9,554.9,612.9,592.4,599.0
경기도 장안구,420.6,445.5,500.2,482.9,504.2
경기도 권선구,396.8,397.9,425.7,408.5,438.2
경기도 팔달구,511.3,562.5,570.2,606.6,576.0
경기도 영통구,253.0,239.1,264.6,277.2,252.2
경기도 수정구,528.8,525.7,545.6,534.4,537.2
경기도 중원구,532.9,542.3,546.8,555.6,556.5
경기도 분당구,346.1,343.2,371.3,369.9,377.2
경기도 의정부시,496.2,526.3,554.7,551.6,555.5
경기도 만안구,464.8,473.5,478.6,488.5,548.7
경기도 동안구,345.2,354.4,359.9,361.5,364.5
경기도 부천시,429.9,442.8,466.9,455.2,482.1
경기도 광명시,416.9,422.7,436.9,447.7,463.1
경기도 평택시,503.6,485.2,515.3,504.3,494.9
경기도 동두천시,744.4,782.5,847.8,872.0,847.9
경기도 상록구,403.7,416.0,461.7,479.8,499.3
