행정구역별,15세이상인구_2016,경제활동인구_2016,취업자_2016,비경제활동인구_2016,15세이상인구_2017,경제활동인구_2017,취업자_2017,비경제활동인구_2017,15세이상인구_2018,경제활동인구_2018,취업자_2018,비경제활동인구_2018,15세이상인구_2019,경제활동인구_2019,취업자_2019,비경제활동인구_2018,15세이상인구_2020,경제활동인구_2020,취업자_2020,비경제활동인구_2020,15세이상인구_2021,경제활동인구_2021,취업자_2021,비경제활동인구_2021
부산광역시 중구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77.9,41.8,40.0,36.1
부산광역시 서구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,189.8,100.6,95.7,89.2
부산광역시 동구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,158.7,82.3,78.4,76.5
부산광역시 영도구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,206.6,99.9,95.7,106.6
부산광역시 부산진구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,636.9,355.2,338.2,281.7
부산광역시 동래구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,454.2,254.1,240.3,200.2
부산광역시 남구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,475.4,248.1,235.8,227.3
부산광역시 북구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489.2,263.4,251.7,225.8
부산광역시 해운대구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,676.9,368.0,351.5,308.8
부산광역시 사하구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,548.0,308.0,292.3,240.0
부산광역시 금정구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,424.9,223.5,214.0,201.3
부산광역시 강서구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,223.7,147.6,141.4,75.9
부산광역시 연제구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,356.1,198.6,188.6,157.5
부산광역시 수영구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,308.4,171.5,162.8,136.9
