sigungu,경제활동인구,고용율
부산광역시 중구,41.8,53.1
부산광역시 서구,100.6,51.5
부산광역시 동구,82.3,50.4
부산광역시 영도구,99.9,47.5
부산광역시 부산진구,355.2,54.0
부산광역시 동래구,254.1,53.8
부산광역시 남구,248.1,50.0
부산광역시 북구,263.4,52.2
부산광역시 해운대구,368.0,52.7
부산광역시 사하구,308.0,54.2
부산광역시 금정구,223.5,51.7
부산광역시 강서구,147.6,63.6
부산광역시 연제구,198.6,54.3
부산광역시 수영구,171.5,54.2
부산광역시 사상구,221.2,55.2
부산광역시 기장군,173.2,57.6
대구광역시 중구,75.2,56.6
대구광역시 동구,328.6,54.9
대구광역시 서구,163.7,52.4
대구광역시 남구,137.9,50.5
대구광역시 북구,434.4,54.8
대구광역시 수성구,383.1,53.0
대구광역시 달서구,554.5,55.0
대구광역시 달성군,277.1,63.2
인천광역시 중구,152.0,60.1
인천광역시 동구,66.0,57.7
인천광역시 연수구,413.0,59.8
인천광역시 남동구,550.2,58.5
인천광역시 부평구,529.4,59.4
인천광역시 계양구,319.2,59.8
인천광역시 서구,594.3,61.7
인천광역시 미추홀구,449.3,59.3
인천광역시 강화군,78.9,67.2
인천광역시 옹진군,24.4,79.5
광주광역시 동구,111.7,54.6
광주광역시 서구,315.8,59.9
광주광역시 남구,220.3,56.8
광주광역시 북구,437.1,55.4
광주광역시 광산구,444.7,61.4
대전광역시 동구,225.4,54.3
대전광역시 중구,239.4,58.3
대전광역시 서구,505.4,60.1
대전광역시 유성구,385.9,60.4
대전광역시 대덕구,183.8,59.0
울산광역시 중구,207.0,55.6
울산광역시 남구,321.6,56.4
울산광역시 동구,150.4,54.6
울산광역시 북구,221.3,60.5
울산광역시 울주군,236.0,60.2
경기도 수원시,1283.0,60.5
경기도 성남시,996.9,60.6
경기도 의정부시,464.9,56.2
경기도 안양시,578.1,58.5
경기도 부천시,884.3,58.7
경기도 광명시,300.6,57.9
경기도 평택시,601.8,60.5
경기도 동두천시,94.6,55.3
경기도 안산시,778.8,60.1
경기도 고양시,1107.3,59.6
경기도 과천시,63.5,56.6
경기도 구리시,202.7,58.5
경기도 남양주시,693.5,56.4
경기도 오산시,265.3,62.6
경기도 시흥시,602.6,62.7
경기도 군포시,288.2,59.8
경기도 의왕시,169.8,59.1
경기도 하남시,324.4,61.1
경기도 용인시,1075.4,56.8
경기도 파주시,487.3,60.0
경기도 이천시,269.3,68.4
경기도 안성시,236.0,63.9
경기도 김포시,500.9,60.8
경기도 화성시,998.1,65.7
경기도 광주시,428.8,62.6
경기도 양주시,235.9,57.0
경기도 포천시,178.3,63.4
경기도 여주시,127.9,63.8
경기도 연천군,45.2,62.0
경기도 가평군,64.9,61.0
경기도 양평군,123.4,59.1
강원도 춘천시,300.2,58.6
강원도 원주시,382.5,60.1
강원도 강릉시,235.2,61.4
강원도 동해시,91.4,61.9
강원도 태백시,45.0,61.6
강원도 속초시,84.5,62.3
강원도 삼척시,70.0,61.0
강원도 홍천군,81.7,71.1
강원도 횡성군,52.9,66.2
강원도 영월군,43.4,65.8
강원도 평창군,50.6,72.4
강원도 정선군,43.1,70.0
강원도 철원군,43.6,65.7
강원도 화천군,24.5,69.9
강원도 양구군,23.4,71.2
강원도 인제군,33.7,71.5
강원도 고성군,34.2,70.1
강원도 양양군,33.9,71.5
충청북도 청주시,928.1,61.7
충청북도 충주시,241.2,63.8
충청북도 제천시,144.9,60.1
충청북도 보은군,39.3,69.1
충청북도 옥천군,56.4,63.2
충청북도 영동군,53.4,63.0
충청북도 진천군,113.0,71.4
충청북도 괴산군,49.5,68.9
충청북도 음성군,126.9,69.4
충청북도 단양군,32.6,66.1
충청북도 증평군,41.8,65.8
충청남도 천안시,767.6,63.8
충청남도 공주시,124.5,62.7
충청남도 보령시,111.7,63.6
충청남도 아산시,378.4,62.0
충청남도 서산시,205.8,67.8
충청남도 논산시,133.3,64.6
충청남도 계룡시,37.3,57.4
충청남도 당진시,201.1,68.8
충청남도 금산군,66.1,67.2
충청남도 부여군,77.1,66.1
충청남도 서천군,62.2,69.2
충청남도 청양군,43.9,79.3
충청남도 홍성군,118.4,66.0
충청남도 예산군,93.4,67.7
충청남도 태안군,76.9,71.9
전라북도 전주시,698.4,60.1
전라북도 군산시,264.8,56.1
전라북도 익산시,289.0,58.3
전라북도 정읍시,119.3,64.1
전라북도 남원시,90.9,66.0
전라북도 김제시,90.1,64.5
전라북도 완주군,104.3,62.0
전라북도 진안군,28.9,72.2
전라북도 무주군,30.0,74.4
전라북도 장수군,29.1,79.5
전라북도 임실군,31.8,73.9
전라북도 순창군,31.9,71.7
전라북도 고창군,62.3,68.2
전라북도 부안군,60.1,70.2
전라남도 목포시,222.9,57.1
전라남도 여수시,295.7,64.0
전라남도 순천시,294.7,63.3
전라남도 나주시,134.1,67.6
전라남도 광양시,162.0,66.0
전라남도 담양군,52.5,68.6
전라남도 곡성군,33.5,68.7
전라남도 구례군,28.6,69.9
전라남도 고흥군,79.7,74.9
전라남도 보성군,47.1,72.8
전라남도 화순군,67.8,63.8
전라남도 장흥군,43.4,72.7
전라남도 강진군,39.0,70.2
전라남도 해남군,81.3,74.3
전라남도 영암군,69.6,69.7
전라남도 무안군,90.9,59.2
전라남도 함평군,36.6,70.4
전라남도 영광군,57.8,69.7
전라남도 장성군,47.0,67.6
전라남도 완도군,54.6,66.4
전라남도 진도군,36.9,73.6
전라남도 신안군,45.7,78.5
경상북도 포항시,517.8,58.5
경상북도 경주시,286.7,61.3
경상북도 김천시,158.9,64.7
경상북도 안동시,175.2,61.7
경상북도 구미시,442.3,60.5
경상북도 영주시,109.1,59.0
경상북도 영천시,121.9,67.3
경상북도 상주시,113.7,66.6
경상북도 문경시,75.9,60.6
경상북도 경산시,306.1,57.3
경상북도 군위군,28.7,70.6
경상북도 의성군,64.4,72.8
경상북도 청송군,33.9,79.7
경상북도 영양군,20.7,71.5
경상북도 영덕군,39.3,63.4
경상북도 청도군,52.9,71.4
경상북도 고령군,37.9,69.0
경상북도 성주군,50.4,68.7
경상북도 칠곡군,125.5,63.1
경상북도 예천군,65.3,69.9
경상북도 봉화군,39.1,73.0
경상북도 울진군,52.3,62.0
경상북도 울릉군,11.3,84.3
경상남도 진주시,367.7,57.6
경상남도 통영시,126.5,56.8
경상남도 사천시,122.0,62.6
경상남도 김해시,575.7,59.0
경상남도 밀양시,113.1,61.2
경상남도 거제시,246.9,59.8
경상남도 양산시,355.5,57.1
경상남도 창원시,1080.5,58.6
경상남도 의령군,32.3,69.5
경상남도 함안군,72.2,64.7
경상남도 창녕군,72.9,67.7
경상남도 고성군,61.0,67.7
경상남도 남해군,51.5,67.5
경상남도 하동군,51.0,70.3
경상남도 산청군,44.7,74.5
경상남도 함양군,45.8,67.6
경상남도 거창군,71.7,67.9
경상남도 합천군,49.6,66.8
