sigungu,경제활동인구,고용율,인구감소지수 분류,sido,pop,sig_cd
강원도 고성군,34.2,70.1,인구감소지역,강원도,26791.5,42820
강원도 삼척시,70.0,61.0,인구감소지역,강원도,65623.0,42230
강원도 양구군,23.4,71.2,인구감소지역,강원도,22379.0,42800
강원도 양양군,33.9,71.5,인구감소지역,강원도,27627.5,42830
강원도 영월군,43.4,65.8,인구감소지역,강원도,38345.0,42750
강원도 정선군,43.1,70.0,인구감소지역,강원도,36313.0,42770
강원도 철원군,43.6,65.7,인구감소지역,강원도,44767.5,42780
강원도 태백시,45.0,61.6,인구감소지역,강원도,42288.0,42190
강원도 평창군,50.6,72.4,인구감소지역,강원도,41489.0,42760
강원도 홍천군,81.7,71.1,인구감소지역,강원도,68652.0,42720
강원도 화천군,24.5,69.9,인구감소지역,강원도,24703.5,42790
강원도 횡성군,52.9,66.2,인구감소지역,강원도,46150.0,42730
경기도 가평군,64.9,61.0,인구감소지역,경기도,61675.0,41820
경기도 연천군,45.2,62.0,인구감소지역,경기도,43104.5,41800
경상남도 거창군,71.7,67.9,인구감소지역,경상남도,61478.0,48880
경상남도 고성군,61.0,67.7,인구감소지역,경상남도,51428.0,48820
경상남도 남해군,51.5,67.5,인구감소지역,경상남도,43004.5,48840
경상남도 밀양시,113.1,61.2,인구감소지역,경상남도,104300.5,48270
경상남도 산청군,44.7,74.5,인구감소지역,경상남도,34845.0,48860
경상남도 의령군,32.3,69.5,인구감소지역,경상남도,26832.0,48720
경상남도 창녕군,72.9,67.7,인구감소지역,경상남도,61341.5,48740
경상남도 하동군,51.0,70.3,인구감소지역,경상남도,45389.5,48850
경상남도 함안군,72.2,64.7,인구감소지역,경상남도,64502.0,48730
경상남도 함양군,45.8,67.6,인구감소지역,경상남도,39045.0,48870
경상남도 합천군,49.6,66.8,인구감소지역,경상남도,44159.5,48890
경상북도 고령군,37.9,69.0,인구감소지역,경상북도,31646.5,47830
경상북도 군위군,28.7,70.6,인구감소지역,경상북도,23384.5,47720
경상북도 문경시,75.9,60.6,인구감소지역,경상북도,71266.5,47280
경상북도 봉화군,39.1,73.0,인구감소지역,경상북도,31492.0,47920
경상북도 상주시,113.7,66.6,인구감소지역,경상북도,98240.5,47250
경상북도 성주군,50.4,68.7,인구감소지역,경상북도,43399.5,47840
경상북도 안동시,175.2,61.7,인구감소지역,경상북도,158634.0,47170
경상북도 영덕군,39.3,63.4,인구감소지역,경상북도,36484.0,47770
경상북도 영양군,20.7,71.5,인구감소지역,경상북도,16667.0,47760
경상북도 영주시,109.1,59.0,인구감소지역,경상북도,103452.0,47210
경상북도 영천시,121.9,67.3,인구감소지역,경상북도,101506.0,47230
경상북도 울릉군,11.3,84.3,인구감소지역,경상북도,9184.5,47940
경상북도 울진군,52.3,62.0,인구감소지역,경상북도,48710.0,47930
경상북도 의성군,64.4,72.8,인구감소지역,경상북도,51647.0,47730
경상북도 청도군,52.9,71.4,인구감소지역,경상북도,42278.5,47820
경상북도 청송군,33.9,79.7,인구감소지역,경상북도,25051.5,47750
대구광역시 남구,137.9,50.5,인구감소지역,대구광역시,145124.0,27200
대구광역시 서구,163.7,52.4,인구감소지역,대구광역시,170922.5,27170
부산광역시 동구,82.3,50.4,인구감소지역,부산광역시,86801.0,26170
부산광역시 서구,100.6,51.5,인구감소지역,부산광역시,105948.0,26140
부산광역시 영도구,99.9,47.5,인구감소지역,부산광역시,113042.5,26200
인천광역시 강화군,78.9,67.2,인구감소지역,인천광역시,68662.0,28710
인천광역시 옹진군,24.4,79.5,인구감소지역,인천광역시,20366.5,28720
전라남도 강진군,39.0,70.2,인구감소지역,전라남도,34647.5,46810
전라남도 고흥군,79.7,74.9,인구감소지역,전라남도,64022.0,46770
전라남도 곡성군,33.5,68.7,인구감소지역,전라남도,28267.0,46720
전라남도 구례군,28.6,69.9,인구감소지역,전라남도,25985.0,46730
전라남도 담양군,52.5,68.6,인구감소지역,전라남도,46033.5,46710
전라남도 보성군,47.1,72.8,인구감소지역,전라남도,40543.5,46780
전라남도 신안군,45.7,78.5,인구감소지역,전라남도,39200.5,46910
전라남도 영광군,57.8,69.7,인구감소지역,전라남도,52970.0,46870
전라남도 영암군,69.6,69.7,인구감소지역,전라남도,53651.0,46830
전라남도 완도군,54.6,66.4,인구감소지역,전라남도,50007.0,46890
전라남도 장성군,47.0,67.6,인구감소지역,전라남도,44714.5,46880
전라남도 장흥군,43.4,72.7,인구감소지역,전라남도,37858.5,46800
전라남도 진도군,36.9,73.6,인구감소지역,전라남도,30721.5,46900
전라남도 함평군,36.6,70.4,인구감소지역,전라남도,32098.0,46860
전라남도 해남군,81.3,74.3,인구감소지역,전라남도,68999.5,46820
전라남도 화순군,67.8,63.8,인구감소지역,전라남도,62181.5,46790
전라북도 고창군,62.3,68.2,인구감소지역,전라북도,54578.5,45790
전라북도 김제시,90.1,64.5,인구감소지역,전라북도,82405.0,45210
전라북도 남원시,90.9,66.0,인구감소지역,전라북도,80653.5,45190
전라북도 무주군,30.0,74.4,인구감소지역,전라북도,24068.5,45730
전라북도 부안군,60.1,70.2,인구감소지역,전라북도,52251.0,45800
전라북도 순창군,31.9,71.7,인구감소지역,전라북도,27930.0,45770
전라북도 임실군,31.8,73.9,인구감소지역,전라북도,27928.0,45750
전라북도 장수군,29.1,79.5,인구감소지역,전라북도,22158.5,45740
전라북도 정읍시,119.3,64.1,인구감소지역,전라북도,108474.0,45180
전라북도 진안군,28.9,72.2,인구감소지역,전라북도,25360.5,45720
충청남도 공주시,124.5,62.7,인구감소지역,충청남도,104677.0,44150
충청남도 금산군,66.1,67.2,인구감소지역,충청남도,51373.0,44710
충청남도 논산시,133.3,64.6,인구감소지역,충청남도,116625.5,44230
충청남도 보령시,111.7,63.6,인구감소지역,충청남도,99852.5,44180
충청남도 부여군,77.1,66.1,인구감소지역,충청남도,65431.0,44760
충청남도 서천군,62.2,69.2,인구감소지역,충청남도,51820.5,44770
충청남도 예산군,93.4,67.7,인구감소지역,충청남도,78071.5,44810
충청남도 청양군,43.9,79.3,인구감소지역,충청남도,31134.0,44790
충청남도 태안군,76.9,71.9,인구감소지역,충청남도,62050.5,44825
충청북도 괴산군,49.5,68.9,인구감소지역,충청북도,38968.0,43760
충청북도 단양군,32.6,66.1,인구감소지역,충청북도,29143.0,43800
충청북도 보은군,39.3,69.1,인구감소지역,충청북도,32402.5,43720
