sigungu,상급종합병원,종합병원,병원,요양병원,정신병원,의원,한방병원,한의원,보건의료원,보건소,보건지소,보건진료소,sum
부산광역시 남구,0,1,5,8,3,169,1,91,0,1,0,0,279
부산광역시 동구,0,3,5,5,1,72,1,42,0,1,0,0,130
부산광역시 동래구,0,3,15,15,2,199,2,115,0,1,0,0,352
부산광역시 진구,1,3,18,15,0,457,2,160,0,1,0,0,657
부산광역시 북구,0,2,9,13,1,162,1,82,0,1,1,0,272
부산광역시 서구,2,2,2,6,1,61,1,32,0,1,0,0,108
부산광역시 영도구,0,2,2,5,0,71,0,32,0,1,0,0,113
부산광역시 중구,0,1,2,4,0,66,1,22,0,1,0,0,97
부산광역시 해운대구,0,2,13,15,2,333,1,129,0,1,2,0,498
부산광역시 사하구,0,0,18,22,3,194,2,87,0,1,0,0,327
부산광역시 금정구,0,0,11,18,3,145,2,81,0,1,0,0,261
부산광역시 강서구,0,0,6,0,0,50,0,20,0,1,4,3,84
부산광역시 연제구,0,1,10,14,2,166,2,81,0,1,0,0,277
부산광역시 수영구,0,2,9,11,0,134,0,85,0,1,0,0,242
부산광역시 사상구,0,2,7,13,6,104,1,46,0,1,0,0,180
부산광역시 기장군,0,1,4,5,0,85,1,36,0,1,4,2,139
대구광역시 남구,2,2,6,9,0,113,0,61,0,1,0,0,194
대구광역시 동구,0,1,7,8,3,243,1,112,0,1,0,0,376
대구광역시 북구,1,1,18,12,3,259,1,126,0,1,1,0,423
대구광역시 서구,0,1,7,10,1,118,0,69,0,1,0,0,207
대구광역시 수성구,0,1,13,10,2,369,4,214,0,1,0,0,614
대구광역시 중구,1,2,10,2,0,264,1,68,0,1,0,0,349
대구광역시 달서구,1,5,22,14,5,393,3,173,0,1,0,0,617
대구광역시 달성군,0,0,5,9,2,125,0,59,0,1,7,8,216
인천광역시 미추홀구,0,2,11,15,3,211,7,95,0,2,1,0,347
인천광역시 동구,0,2,0,0,0,43,0,18,0,1,0,0,64
인천광역시 부평구,1,2,8,7,1,315,7,118,0,1,1,0,461
인천광역시 중구,1,1,2,4,0,60,2,16,0,1,2,1,90
