sigungu,sum,상급종합병원,종합병원,병원,요양병원,한의원,pop,인구감소지수 분류,sido,전체,삼차,이차,일차,요양,한의,sig_cd
강원도 고성군,23,0,0,0,0,4,26791.5,인구감소지역,강원도,8.584812347199671,0.0,0.0,0.0,0.0,1.4930108429912472,42820
강원도 삼척시,55,0,1,1,1,10,65623.0,인구감소지역,강원도,8.381207808237965,0.0,0.15238559651341754,0.15238559651341754,0.15238559651341754,1.5238559651341754,42230
강원도 양구군,20,0,0,3,0,4,22379.0,인구감소지역,강원도,8.936949819026765,0.0,0.0,1.3405424728540147,0.0,1.7873899638053532,42800
강원도 양양군,20,0,0,0,0,3,27627.5,인구감소지역,강원도,7.239163876572255,0.0,0.0,0.0,0.0,1.0858745814858384,42830
강원도 영월군,32,0,1,1,1,6,38345.0,인구감소지역,강원도,8.345286217238232,0.0,0.26079019428869477,0.26079019428869477,0.26079019428869477,1.5647411657321686,42750
강원도 정선군,33,0,0,2,0,5,36313.0,인구감소지역,강원도,9.08765455897337,0.0,0.0,0.550766942968083,0.0,1.3769173574202076,42770
강원도 철원군,42,0,0,1,1,10,44767.5,인구감소지역,강원도,9.38180599765455,0.0,0.0,0.22337633327748924,0.22337633327748924,2.2337633327748927,42780
강원도 태백시,35,0,1,1,0,7,42288.0,인구감소지역,강원도,8.276579644343549,0.0,0.2364737041241014,0.2364737041241014,0.0,1.6553159288687098,42190
강원도 평창군,48,0,0,0,2,9,41489.0,인구감소지역,강원도,11.56933163007062,0.0,0.0,0.0,0.4820554845862759,2.1692496806382415,42760
강원도 홍천군,74,0,1,2,3,12,68652.0,인구감소지역,강원도,10.779001340092057,0.0,0.14566218027151429,0.29132436054302857,0.4369865408145429,1.7479461632581716,42720
강원도 화천군,22,0,0,0,0,4,24703.5,인구감소지역,강원도,8.905620661039935,0.0,0.0,0.0,0.0,1.6192037565527153,42790
강원도 횡성군,46,0,0,1,1,14,46150.0,인구감소지역,강원도,9.967497291440953,0.0,0.0,0.21668472372697722,0.21668472372697722,3.033586132177682,42730
경기도 가평군,69,0,0,2,4,15,61675.0,인구감소지역,경기도,11.18767734089988,0.0,0.0,0.3242805026347791,0.6485610052695582,2.432103769760843,41820
경기도 연천군,36,0,0,0,1,7,43104.5,인구감소지역,경기도,8.351796216172325,0.0,0.0,0.0,0.23199433933812016,1.623960375366841,41800
경상남도 거창군,81,0,0,3,3,14,61478.0,인구감소지역,경상남도,13.175444874589283,0.0,0.0,0.48797943979960307,0.48797943979960307,2.2772373857314814,48880
경상남도 고성군,60,0,0,2,2,11,51428.0,인구감소지역,경상남도,11.66679629773664,0.0,0.0,0.3888932099245547,0.3888932099245547,2.138912654585051,48820
경상남도 남해군,61,0,0,1,1,10,43004.5,인구감소지역,경상남도,14.184562080712483,0.0,0.0,0.232533804601844,0.232533804601844,2.32533804601844,48840
경상남도 밀양시,109,0,0,8,4,24,104300.5,인구감소지역,경상남도,10.450573103676396,0.0,0.0,0.7670145397193686,0.3835072698596843,2.3010436191581056,48270
경상남도 산청군,53,0,0,0,1,14,34845.0,인구감소지역,경상남도,15.210216673841296,0.0,0.0,0.0,0.2869852202611566,4.0177930836561915,48860
경상남도 의령군,42,0,0,1,2,6,26832.0,인구감소지역,경상남도,15.652951699463328,0.0,0.0,0.37268932617769823,0.7453786523553965,2.23613595706619,48720
경상남도 창녕군,88,0,0,2,7,12,61341.5,인구감소지역,경상남도,14.345915897068053,0.0,0.0,0.326043543115183,1.1411524009031406,1.9562612586910983,48740
경상남도 하동군,67,0,0,2,2,11,45389.5,인구감소지역,경상남도,14.761123167252338,0.0,0.0,0.44063054230604,0.44063054230604,2.4234679826832197,48850
경상남도 함안군,58,0,0,3,3,12,64502.0,인구감소지역,경상남도,8.991969241263837,0.0,0.0,0.46510185730675013,0.46510185730675013,1.8604074292270005,48730
경상남도 함양군,54,0,0,1,0,10,39045.0,인구감소지역,경상남도,13.830195927775643,0.0,0.0,0.25611473940325263,0.0,2.5611473940325267,48870
경상남도 합천군,67,0,0,3,2,13,44159.5,인구감소지역,경상남도,15.172273236789366,0.0,0.0,0.6793555180651956,0.4529036787101303,2.9438739116158468,48890
경상북도 고령군,40,0,0,1,1,9,31646.5,인구감소지역,경상북도,12.63962839492519,0.0,0.0,0.3159907098731297,0.3159907098731297,2.8439163888581676,47830
경상북도 군위군,31,0,0,0,0,5,23384.5,인구감소지역,경상북도,13.256644358442557,0.0,0.0,0.0,0.0,2.13816844491009,47720
경상북도 문경시,89,0,1,2,1,18,71266.5,인구감소지역,경상북도,12.488336034462193,0.0,0.14031838240968758,0.28063676481937516,0.14031838240968758,2.5257308833743766,47280
경상북도 봉화군,31,0,0,1,1,4,31492.0,인구감소지역,경상북도,9.843769846310174,0.0,0.0,0.3175409627841992,0.3175409627841992,1.2701638511367968,47920
경상북도 상주시,121,0,2,0,3,25,98240.5,인구감소지역,경상북도,12.316712557448302,0.0,0.20358202574294715,0.0,0.3053730386144207,2.5447753217868394,47250
경상북도 성주군,56,0,0,1,5,11,43399.5,인구감소지역,경상북도,12.903374462839434,0.0,0.0,0.23041740112213274,1.1520870056106638,2.5345914123434605,47840
경상북도 안동시,179,0,3,3,7,42,158634.0,인구감소지역,경상북도,11.283835747695953,0.0,0.18911456560384282,0.18911456560384282,0.44126731974229993,2.6476039184537994,47170
경상북도 영덕군,50,0,0,1,2,8,36484.0,인구감소지역,경상북도,13.704637649380551,0.0,0.0,0.274092752987611,0.548185505975222,2.192742023900888,47770
경상북도 영양군,18,0,0,1,0,2,16667.0,인구감소지역,경상북도,10.799784004319912,0.0,0.0,0.5999880002399952,0.0,1.1999760004799904,47760
경상북도 영주시,114,0,1,4,4,26,103452.0,인구감소지역,경상북도,11.019603294281405,0.0,0.09666318679194216,0.38665274716776865,0.38665274716776865,2.5132428565904963,47210
경상북도 영천시,127,0,1,1,3,37,101506.0,인구감소지역,경상북도,12.51157567040372,0.0,0.09851634386144661,0.09851634386144661,0.29554903158433987,3.645104722873525,47230
경상북도 울릉군,8,0,0,0,1,1,9184.5,인구감소지역,경상북도,8.710327181664761,0.0,0.0,0.0,1.0887908977080951,1.0887908977080951,47940
경상북도 울진군,53,0,0,1,2,9,48710.0,인구감소지역,경상북도,10.8807226442209,0.0,0.0,0.20529665366454525,0.4105933073290905,1.8476698829809075,47930
경상북도 의성군,75,0,0,3,6,8,51647.0,인구감소지역,경상북도,14.521656630588419,0.0,0.0,0.5808662652235367,1.1617325304470734,1.5489767072627645,47730
경상북도 청도군,57,0,0,2,5,12,42278.5,인구감소지역,경상북도,13.482029873339878,0.0,0.0,0.47305367976631146,1.1826341994157787,2.8383220785978684,47820
경상북도 청송군,37,0,0,0,0,9,25051.5,인구감소지역,경상북도,14.769574676167096,0.0,0.0,0.0,0.0,3.5925992455541587,47750
대구광역시 남구,194,2,2,6,9,61,145124.0,인구감소지역,대구광역시,13.367878503900114,0.13781318045257848,0.13781318045257848,0.4134395413577354,0.6201593120366032,4.2033020038036435,27200
대구광역시 서구,207,0,1,7,10,69,170922.5,인구감소지역,대구광역시,12.110751948982728,0.0,0.05850604806271849,0.4095423364390294,0.5850604806271849,4.0369173163275756,27170
부산광역시 동구,130,0,3,5,5,42,86801.0,인구감소지역,부산광역시,14.976785981728321,0.0,0.34561813803988434,0.5760302300664739,0.5760302300664739,4.838653932558381,26170
부산광역시 서구,108,2,2,2,6,32,105948.0,인구감소지역,부산광역시,10.193679918450561,0.18877185034167704,0.18877185034167704,0.18877185034167704,0.5663155510250312,3.0203496054668326,26140
