행정구역별(시군구),sum_2016,1자녀_2016,2자녀_2016,3자녀_2016,4자녀_2016,5자녀+_2016,sum_2017,1자녀_2017,2자녀_2017,3자녀_2017,4자녀_2017,5자녀+_2017,sum_2018,1자녀_2018,2자녀_2018,3자녀_2018,4자녀_2018,5자녀+_2018,sum_2019,1자녀_2019,2자녀_2019,3자녀_2019,4자녀_2019,5자녀+_2019,sum_2020,1자녀_2020,2자녀_2020,3자녀_2020,4자녀_2020,5자녀+_2020
부산광역시 > 중구,3007,1398,1346,229,29,5,2705,1286,1187,205,21,6,2428,1154,1059,188,22,5,2130,1032,909,164,21,NaN,1939,911,851,154,19,NaN
부산광역시 > 서구,8380,3591,3985,726,68,10,7868,3397,3711,693,59,8,7768,3327,3700,680,53,8,7301,3172,3450,623,51,5,7179,3152,3351,614,56,6
부산광역시 > 동구,6238,2643,2984,550,44,17,5899,2517,2806,512,47,17,5505,2397,2591,454,44,19,5420,2427,2482,452,41,18,5386,2462,2416,458,33,17
부산광역시 > 영도구,9565,3937,4692,859,66,11,8956,3747,4326,811,61,11,8330,3557,3960,739,60,14,7661,3285,3614,692,59,11,7101,3007,3368,655,61,10
부산광역시 > 부산진구,33279,13739,16717,2627,174,22,31773,13393,15719,2488,152,21,29959,12801,14686,2310,148,14,28194,12082,13732,2220,145,15,26962,11518,13198,2079,149,18
부산광역시 > 동래구,27196,10263,14517,2239,155,22,26815,10256,14163,2229,146,21,25703,10141,13292,2112,140,18,25604,10328,13024,2109,124,19,25748,10317,13229,2062,121,19
부산광역시 > 남구,27104,10704,14021,2221,137,21,25798,10342,13220,2087,126,23,26200,10762,13211,2078,127,22,24895,10400,12409,1945,122,19,23529,9669,11803,1918,123,16
부산광역시 > 북구,32047,12298,16854,2733,150,12,30083,11791,15541,2584,152,15,28291,11180,14512,2448,136,15,26159,10471,13305,2242,129,12,24716,9919,12549,2109,128,11
부산광역시 > 해운대구,46218,19000,23518,3455,223,22,43708,18096,22072,3293,221,26,41839,17592,20855,3150,213,29,39776,17043,19589,2898,219,27,38465,16340,18983,2887,225,30
부산광역시 > 사하구,33417,13183,17242,2771,190,31,31970,12899,16154,2701,185,31,30358,12579,15054,2530,166,29,28181,11787,13868,2347,150,29,26442,10869,13163,2234,150,26
부산광역시 > 금정구,21279,8469,10803,1874,124,9,20484,8258,10347,1751,116,12,19872,8214,9797,1734,112,15,18644,7831,9112,1576,111,14,17521,7194,8696,1506,114,11
부산광역시 > 강서구,13440,5539,6694,1126,67,14,15170,6381,7434,1253,87,15,16031,6661,7931,1339,86,14,16969,7004,8424,1438,87,16,18258,7577,8999,1568,103,11
