시군구별,2016,2017,2018,2019,2020
부산광역시 > 중구,214,224,184,163,135
부산광역시 > 서구,476,435,420,391,343
부산광역시 > 동구,385,361,384,369,425
부산광역시 > 영도구,521,436,413,366,307
부산광역시 > 부산진구,1914,1819,1741,1475,1418
부산광역시 > 동래구,1237,1088,1064,1058,974
부산광역시 > 남구,1153,1023,1065,1045,761
부산광역시 > 북구,1668,1357,1238,1084,1016
부산광역시 > 해운대구,1760,1576,1456,1471,1306
부산광역시 > 사하구,1738,1697,1505,1337,1096
부산광역시 > 금정구,1004,974,930,815,663
부산광역시 > 강서구,839,905,851,804,712
부산광역시 > 연제구,1030,960,904,997,806
부산광역시 > 수영구,983,884,856,814,697
부산광역시 > 사상구,1209,1106,998,845,730
부산광역시 > 기장군,982,832,772,746,739
대구광역시 > 중구,469,363,428,363,311
대구광역시 > 동구,1978,1753,1725,1510,1288
대구광역시 > 서구,946,771,766,605,492
대구광역시 > 남구,830,732,667,625,521
대구광역시 > 북구,2126,2077,1984,1810,1546
대구광역시 > 수성구,1572,1403,1314,1213,1072
대구광역시 > 달서구,2786,2521,2379,2249,1895
대구광역시 > 달성군,1509,1772,1704,1505,1215
인천광역시 > 중구,677,704,709,757,661
인천광역시 > 동구,380,310,308,238,172
인천광역시 > 연수구,1627,1535,1546,1751,1539
인천광역시 > 남동구,3036,2826,2679,2311,2095
인천광역시 > 부평구,3064,2851,2651,2191,1872
인천광역시 > 계양구,1690,1585,1493,1249,1020
인천광역시 > 서구,2860,2630,2935,2692,2225
인천광역시 > 미추홀구,2428,2441,2200,1883,1709
인천광역시 > 강화군,219,234,207,221,195
인천광역시 > 옹진군,111,119,122,108,86
광주광역시 > 동구,452,450,378,430,410
광주광역시 > 서구,1655,1532,1289,1263,1044
광주광역시 > 남구,989,926,837,789,721
광주광역시 > 북구,2190,2153,2178,1887,1694
광주광역시 > 광산구,2182,2080,1950,1928,1691
대전광역시 > 동구,1178,1039,983,937,799
대전광역시 > 중구,1212,1106,1034,901,758
대전광역시 > 서구,2624,2584,2446,2213,2059
대전광역시 > 유성구,2320,2126,2107,1879,1721
대전광역시 > 대덕구,991,842,807,672,639
울산광역시 > 중구,1361,1210,1038,952,790
울산광역시 > 남구,1939,1785,1662,1540,1395
울산광역시 > 동구,1395,1085,882,703,630
울산광역시 > 북구,1197,1200,1241,1274,1047
울산광역시 > 울주군,1114,1051,1071,973,875
경기도 > 장안구,1433,1248,1237,1053,960
경기도 > 권선구,2457,2310,2293,1978,1800
경기도 > 팔달구,1289,1165,1077,892,764
경기도 > 영통구,2586,2389,2295,2103,2015
경기도 > 수정구,1531,1314,1408,1223,1213
경기도 > 중원구,1394,1129,1217,1088,1039
경기도 > 분당구,3125,2719,2603,2142,2017
경기도 > 의정부시,2149,2019,2025,1876,1800
경기도 > 만안구,1424,1372,1254,1167,1020
경기도 > 동안구,1884,1786,1681,1526,1317
경기도 > 부천시,4769,4459,4434,3646,3225
경기도 > 광명시,1897,1722,1674,1489,1230
경기도 > 평택시,2901,2887,2886,3016,2863
경기도 > 동두천시,501,423,433,361,327
경기도 > 상록구,2190,1954,1970,1654,1461
경기도 > 단원구,1754,1563,1619,1678,1457
경기도 > 덕양구,2214,2132,2009,2141,2031
경기도 > 일산동구,1504,1429,1275,1169,1097
경기도 > 일산서구,1214,1169,1033,1130,1060
경기도 > 과천시,266,207,232,240,311
경기도 > 구리시,874,948,923,793,730
경기도 > 남양주시,3037,2675,2759,2630,2362
경기도 > 오산시,1373,1294,1332,1223,1160
경기도 > 시흥시,2195,2303,2582,2596,2534
경기도 > 군포시,1772,1639,1428,1294,1167
경기도 > 의왕시,756,621,613,628,677
경기도 > 하남시,1124,1193,1357,1309,1357
경기도 > 처인구,1136,1160,1281,1252,1115
경기도 > 기흥구,1969,1849,1757,1843,1649
경기도 > 수지구,1575,1519,1543,1575,1468
경기도 > 파주시,2329,2310,2324,2127,1866
경기도 > 이천시,1108,1079,1059,1059,995
경기도 > 안성시,998,907,921,871,773
경기도 > 김포시,1720,1908,2076,1934,2031
경기도 > 화성시,4247,4363,4933,4788,4547
경기도 > 광주시,2162,2173,2210,1931,1736
경기도 > 양주시,971,910,994,958,896
경기도 > 포천시,755,727,715,641,569
경기도 > 여주시,525,476,484,466,425
경기도 > 연천군,230,248,269,214,206
경기도 > 가평군,269,269,244,272,202
경기도 > 양평군,445,462,418,380,342
강원도 > 춘천시,1332,1292,1244,1186,1041
강원도 > 원주시,1763,1740,1645,1698,1514
강원도 > 강릉시,920,924,876,893,801
강원도 > 동해시,447,419,375,382,327
강원도 > 태백시,192,209,158,167,147
강원도 > 속초시,353,358,344,316,312
강원도 > 삼척시,289,274,298,257,208
강원도 > 홍천군,304,322,313,258,227
강원도 > 횡성군,169,172,174,184,131
강원도 > 영월군,182,139,145,138,106
강원도 > 평창군,184,184,164,132,126
강원도 > 정선군,171,157,171,142,113
강원도 > 철원군,295,272,287,250,207
강원도 > 화천군,190,196,190,177,123
강원도 > 양구군,168,172,152,135,113
강원도 > 인제군,232,210,216,205,169
강원도 > 고성군,178,137,140,130,98
강원도 > 양양군,99,118,102,112,105
충청북도 > 충주시,934,954,1003,870,811
충청북도 > 제천시,619,569,576,531,417
충청북도 > 상당구,782,671,685,675,727
충청북도 > 서원구,1037,1007,973,792,765
충청북도 > 흥덕구,1551,1494,1424,1452,1396
충청북도 > 청원구,1440,1360,1305,1262,1050
충청북도 > 보은군,115,125,97,103,75
충청북도 > 옥천군,187,181,170,167,135
충청북도 > 영동군,188,166,189,122,97
충청북도 > 진천군,362,420,430,438,430
충청북도 > 괴산군,155,149,132,116,123
충청북도 > 음성군,589,533,508,421,395
충청북도 > 단양군,113,113,104,100,66
충청북도 > 증평군,262,248,231,190,195
충청남도 > 동남구,1488,1245,1380,1210,1099
충청남도 > 서북구,2774,2662,2665,2477,2217
충청남도 > 공주시,403,383,399,362,296
충청남도 > 보령시,488,444,430,408,325
충청남도 > 아산시,1973,1921,1800,1554,1339
충청남도 > 서산시,1007,977,1003,873,742
