행정구역별(시군구),전체_남녀_2016,미성년_남녀_2016,청년_남녀_2016,장년_남녀_2016,노년_남녀_2016,전체_남_2016,미성년_남_2016,청년_남_2016,장년_남_2016,노년_남_2016,전체_여_2016,미성년_여_2016,청년_여_2016,장년_여_2016,노년_여_2016
부산광역시 > 중구,8609,36,1850,4328,2395,4086,15,1002,2381,688,4523,21,848,1947,1707
부산광역시 > 서구,15965,107,3370,7224,5264,7071,55,1602,4034,1380,8894,52,1768,3190,3884
부산광역시 > 동구,12890,36,1824,6201,4829,5792,18,965,3573,1236,7098,18,859,2628,3593
부산광역시 > 영도구,16617,193,2964,7391,6069,7790,93,2018,4234,1445,8827,100,946,3157,4624
부산광역시 > 부산진구,48209,467,14764,20936,12042,20947,178,6866,10968,2935,27262,289,7898,9968,9107
부산광역시 > 동래구,23848,88,4437,12467,6856,10093,36,2254,6138,1665,13755,52,2183,6329,5191
부산광역시 > 남구,30212,903,9543,12061,7705,13721,399,5298,6294,1730,16491,504,4245,5767,5975
부산광역시 > 북구,26802,248,4267,14077,8210,12135,141,2502,7414,2078,14667,107,1765,6663,6132
부산광역시 > 해운대구,36743,239,6695,19097,10712,14783,126,3281,8923,2453,21960,113,3414,10174,8259
부산광역시 > 사하구,33384,339,7409,16696,8940,16353,168,4448,9395,2342,17031,171,2961,7301,6598
부산광역시 > 금정구,30978,1131,10713,11870,7264,14269,519,5977,6002,1771,16709,612,4736,5868,5493
부산광역시 > 강서구,8752,38,2124,4732,1858,5158,22,1493,3106,537,3594,16,631,1626,1321
부산광역시 > 연제구,19964,279,4354,9950,5381,8525,112,2130,4924,1359,11439,167,2224,5026,4022
부산광역시 > 수영구,20807,88,5490,9978,5251,8517,40,2599,4616,1262,12290,48,2891,5362,3989
부산광역시 > 사상구,25712,397,5196,13787,6332,12812,150,2770,8249,1643,12900,247,2426,5538,4689
부산광역시 > 기장군,12920,35,2278,6838,3769,5983,15,1460,3613,895,6937,20,818,3225,2874
대구광역시 > 중구,12242,52,3927,5064,3199,5406,16,1830,2788,772,6836,36,2097,2276,2427
대구광역시 > 동구,35608,129,6242,18397,10840,16034,59,3564,9752,2659,19574,70,2678,8645,8181
대구광역시 > 서구,23715,92,3195,13398,7030,11217,44,1888,7626,1659,12498,48,1307,5772,5371
대구광역시 > 남구,25841,364,6471,12459,6547,11201,130,3087,6488,1496,14640,234,3384,5971,5051
대구광역시 > 북구,44680,1188,13932,20337,9223,22250,505,8331,11452,1962,22430,683,5601,8885,7261
대구광역시 > 수성구,33472,293,6491,17153,9535,13332,164,3239,7945,1984,20140,129,3252,9208,7551
대구광역시 > 달서구,55091,641,13634,28811,12005,26173,278,7819,15300,2776,28918,363,5815,13511,9229
대구광역시 > 달성군,16795,69,3712,8999,4015,8821,39,2759,5149,874,7974,30,953,3850,3141
인천광역시 > 중구,13735,43,3511,7371,2810,7825,18,2090,4846,871,5910,25,1421,2525,1939
인천광역시 > 동구,6550,77,660,3326,2487,3102,25,407,2079,591,3448,52,253,1247,1896
인천광역시 > 남구,46794,1110,13310,22817,9557,25427,607,8780,13436,2604,21367,503,4530,9381,6953
인천광역시 > 연수구,24227,389,6970,12782,4086,12938,175,4248,7508,1007,11289,214,2722,5274,3079
인천광역시 > 남동구,45452,140,10141,25933,9238,23107,68,5975,14677,2387,22345,72,4166,11256,6851
인천광역시 > 부평구,46426,154,9563,25914,10795,23050,69,5449,14764,2768,23376,85,4114,11150,8027
인천광역시 > 계양구,24708,216,4476,14981,5035,12455,53,2517,8623,1262,12253,163,1959,6358,3773
