행정구역별(시군구),전체_남녀,미성년_남녀,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
부산광역시 > 중구,"8,609",36,397,814,639,501,574,671,748,953,881,721,636,540,312,186,"4,086",15,165,450,387,298,354,386,437,511,395,283,206,118,54,27,"4,523",21,232,364,252,203,220,285,311,442,486,438,430,422,258,159
부산광역시 > 서구,"15,965",107,"1,275","1,261",834,776,831,"1,025","1,194","1,730","1,668","1,516","1,294","1,235",746,473,"7,071",55,472,641,489,477,524,664,745,896,728,563,357,258,137,65,"8,894",52,803,620,345,299,307,361,449,834,940,953,937,977,609,408
부산광역시 > 동구,"12,890",36,343,786,695,702,769,927,"1,030","1,364","1,409","1,312","1,176","1,199",748,394,"5,792",18,132,412,421,458,474,600,646,725,670,472,328,238,128,70,"7,098",18,211,374,274,244,295,327,384,639,739,840,848,961,620,324
부산광역시 > 영도구,"16,617",193,"1,516",894,554,608,752,"1,061","1,224","1,809","1,937","1,710","1,581","1,490",828,460,"7,790",93,964,676,378,404,506,696,789,979,860,586,397,276,123,63,"8,827",100,552,218,176,204,246,365,435,830,"1,077","1,124","1,184","1,214",705,397
부산광역시 > 부산진구,"48,209",467,"4,792","5,540","4,432","3,395","2,949","3,190","3,232","4,188","3,982","3,444","3,033","2,888","1,753",924,"20,947",178,"1,794","2,664","2,408","1,882","1,662","1,899","1,862","1,987","1,676","1,144",761,602,283,145,"27,262",289,"2,998","2,876","2,024","1,513","1,287","1,291","1,370","2,201","2,306","2,300","2,272","2,286","1,470",779
부산광역시 > 동래구,"23,848",88,879,"1,738","1,820","1,741","1,595","1,903","1,944","2,690","2,594","2,068","1,782","1,475","1,000",531,"10,093",36,349,860,"1,045","1,026",890,"1,068","1,015","1,199",940,651,447,309,168,90,"13,755",52,530,878,775,715,705,835,929,"1,491","1,654","1,417","1,335","1,166",832,441
부산광역시 > 남구,"30,212",903,"4,604","3,056","1,883","1,543","1,755","1,849","1,832","2,605","2,477","2,287","2,052","1,742","1,082",542,"13,721",399,"2,181","1,944","1,173",933,"1,073","1,104","1,028","1,220",936,686,476,336,155,77,"16,491",504,"2,423","1,112",710,610,682,745,804,"1,385","1,541","1,601","1,576","1,406",927,465
부산광역시 > 북구,"26,802",248,"1,105","1,532","1,630","1,627","1,647","2,055","2,428","3,291","3,029","2,506","2,122","1,853","1,198",531,"12,135",141,520,908,"1,074","1,067","1,031","1,218","1,337","1,537","1,224",804,577,414,200,83,"14,667",107,585,624,556,560,616,837,"1,091","1,754","1,805","1,702","1,545","1,439",998,448
부산광역시 > 해운대구,"36,743",239,"1,477","2,443","2,775","2,772","2,773","3,079","3,044","3,753","3,676","3,101","2,651","2,528","1,573",859,"14,783",126,568,"1,214","1,499","1,455","1,464","1,566","1,531","1,590","1,317",962,636,476,249,130,"21,960",113,909,"1,229","1,276","1,317","1,309","1,513","1,513","2,163","2,359","2,139","2,015","2,052","1,324",729
부산광역시 > 사하구,"33,384",339,"2,721","2,431","2,257","2,079","2,110","2,544","2,817","3,655","3,491","2,803","2,292","2,029","1,168",648,"16,353",168,"1,298","1,613","1,537","1,440","1,420","1,645","1,646","1,777","1,467",946,655,428,207,106,"17,031",171,"1,423",818,720,639,690,899,"1,171","1,878","2,024","1,857","1,637","1,601",961,542
부산광역시 > 금정구,"30,978","1,131","5,479","3,446","1,788","1,446","1,538","1,806","1,965","2,558","2,557","2,093","1,799","1,709","1,115",548,"14,269",519,"2,574","2,287","1,116",869,893,"1,033","1,044","1,166",997,660,457,363,200,91,"16,709",612,"2,905","1,159",672,577,645,773,921,"1,392","1,560","1,433","1,342","1,346",915,457
부산광역시 > 강서구,"8,752",38,275,759,"1,090",887,679,753,768,909,736,563,459,411,273,152,"5,158",22,149,517,827,681,517,525,523,493,367,258,131,93,38,17,"3,594",16,126,242,263,206,162,228,245,416,369,305,328,318,235,135
부산광역시 > 연제구,"19,964",279,"1,192","1,606","1,556","1,275","1,325","1,545","1,511","2,126","2,168","1,659","1,358","1,223",749,392,"8,525",112,438,782,910,698,777,862,802,955,830,547,350,266,124,72,"11,439",167,754,824,646,577,548,683,709,"1,171","1,338","1,112","1,008",957,625,320
부산광역시 > 수영구,"20,807",88,"1,054","2,249","2,187","1,740","1,432","1,588","1,448","1,934","1,836","1,683","1,290","1,117",739,422,"8,517",40,337,"1,092","1,170",911,739,822,706,795,643,506,320,240,127,69,"12,290",48,717,"1,157","1,017",829,693,766,742,"1,139","1,193","1,177",970,877,612,353
부산광역시 > 사상구,"25,712",397,"1,998","1,667","1,531","1,493","1,744","2,266","2,620","3,023","2,641","2,160","1,604","1,381",822,365,"12,812",150,787,975,"1,008",960,"1,192","1,568","1,734","1,611","1,184",753,448,270,128,44,"12,900",247,"1,211",692,523,533,552,698,886,"1,412","1,457","1,407","1,156","1,111",694,321
부산광역시 > 기장군,"12,920",35,297,901,"1,080","1,097","1,076","1,116","1,020","1,314","1,215","1,080",956,828,557,348,"5,983",15,148,562,750,744,636,663,537,560,473,377,233,154,82,49,"6,937",20,149,339,330,353,440,453,483,754,742,703,723,674,475,299
대구광역시 > 중구,"12,242",52,932,"1,656","1,339",874,806,785,727,942,930,834,789,730,504,342,"5,406",16,320,819,691,501,481,474,445,461,426,256,225,159,84,48,"6,836",36,612,837,648,373,325,311,282,481,504,578,564,571,420,294
대구광역시 > 동구,"35,608",129,"1,111","2,459","2,672","2,420","2,555","2,905","3,160","3,776","3,581","3,179","2,613","2,582","1,639",827,"16,034",59,495,"1,371","1,698","1,508","1,612","1,725","1,793","1,701","1,413","1,034",641,537,314,133,"19,574",70,616,"1,088",974,912,943,"1,180","1,367","2,075","2,168","2,145","1,972","2,045","1,325",694
대구광역시 > 서구,"23,715",92,653,"1,174","1,368","1,306","1,752","2,236","2,628","2,892","2,584","2,134","1,755","1,609","1,023",509,"11,217",44,318,695,875,834,"1,192","1,483","1,652","1,442","1,023",671,427,323,174,64,"12,498",48,335,479,493,472,560,753,976,"1,450","1,561","1,463","1,328","1,286",849,445
대구광역시 > 남구,"25,841",364,"2,250","2,040","2,181","1,913","1,905","2,010","2,016","2,461","2,154","1,805","1,548","1,500","1,030",664,"11,201",130,862,"1,023","1,202","1,028","1,064","1,190","1,109","1,187",910,573,373,279,178,93,"14,640",234,"1,388","1,017",979,885,841,820,907,"1,274","1,244","1,232","1,175","1,221",852,571
대구광역시 > 북구,"44,680","1,188","6,026","4,413","3,493","3,056","3,346","3,657","3,444","3,705","3,129","2,636","2,309","2,154","1,410",714,"22,250",505,"3,120","2,919","2,292","2,054","2,191","2,317","1,990","1,697","1,203",742,510,398,213,99,"22,430",683,"2,906","1,494","1,201","1,002","1,155","1,340","1,454","2,008","1,926","1,894","1,799","1,756","1,197",615
대구광역시 > 수성구,"33,472",293,"1,499","2,404","2,588","2,404","2,583","3,029","2,803","3,289","3,045","2,527","2,214","2,195","1,654",945,"13,332",164,595,"1,212","1,432","1,240","1,354","1,557","1,332","1,362","1,100",694,511,384,250,145,"20,140",129,904,"1,192","1,156","1,164","1,229","1,472","1,471","1,927","1,945","1,833","1,703","1,811","1,404",800
대구광역시 > 달서구,"55,091",641,"4,097","4,836","4,701","4,156","4,360","4,982","5,014","5,519","4,780","3,575","2,863","2,813","1,845",909,"26,173",278,"1,742","2,957","3,120","2,724","2,720","2,989","2,640","2,436","1,791","1,129",673,536,288,150,"28,918",363,"2,355","1,879","1,581","1,432","1,640","1,993","2,374","3,083","2,989","2,446","2,190","2,277","1,557",759
대구광역시 > 달성군,"16,795",69,480,"1,409","1,823","1,581","1,423","1,521","1,446","1,626","1,402","1,065",935,"1,017",664,334,"8,821",39,290,"1,059","1,410","1,164",999,947,789,706,544,310,226,177,103,58,"7,974",30,190,350,413,417,424,574,657,920,858,755,709,840,561,276
인천광역시 > 중구,"13,735",43,615,"1,531","1,365","1,285","1,201","1,175","1,223","1,373","1,114",828,709,634,376,263,"7,825",18,223,927,940,893,884,834,838,822,575,326,237,176,78,54,"5,910",25,392,604,425,392,317,341,385,551,539,502,472,458,298,209
인천광역시 > 동구,"6,550",77,158,196,306,388,438,484,576,737,703,628,633,537,415,274,"3,102",25,61,133,213,283,297,341,400,405,353,213,164,108,58,48,"3,448",52,97,63,93,105,141,143,176,332,350,415,469,429,357,226
인천광역시 > 남구,"46,794","1,110","4,834","4,557","3,919","3,773","3,633","3,695","3,755","4,379","3,582","2,850","2,357","2,153","1,394",803,"25,427",607,"3,024","3,159","2,597","2,495","2,398","2,410","2,302","2,243","1,588","1,084",669,491,236,124,"21,367",503,"1,810","1,398","1,322","1,278","1,235","1,285","1,453","2,136","1,994","1,766","1,688","1,662","1,158",679
인천광역시 > 연수구,"24,227",389,"1,850","2,490","2,630","2,352","2,327","2,361","2,137","2,068","1,537","1,078",996,912,669,431,"12,938",175,849,"1,562","1,837","1,601","1,514","1,451","1,230","1,049",663,408,266,173,97,63,"11,289",214,"1,001",928,793,751,813,910,907,"1,019",874,670,730,739,572,368
인천광역시 > 남동구,"45,452",140,"1,579","3,723","4,839","4,490","4,328","4,570","4,268","4,635","3,642","2,764","2,409","2,013","1,242",810,"23,107",68,711,"2,098","3,166","2,941","2,812","2,753","2,424","2,235","1,512",962,680,413,210,122,"22,345",72,868,"1,625","1,673","1,549","1,516","1,817","1,844","2,400","2,130","1,802","1,729","1,600","1,032",688
인천광역시 > 부평구,"46,426",154,"1,477","3,498","4,588","4,110","4,018","4,304","4,436","5,091","3,955","3,085","2,705","2,459","1,620",926,"23,050",69,641,"1,890","2,918","2,624","2,536","2,686","2,617","2,594","1,707","1,089",727,524,272,156,"23,376",85,836,"1,608","1,670","1,486","1,482","1,618","1,819","2,497","2,248","1,996","1,978","1,935","1,348",770
인천광역시 > 계양구,"24,708",216,829,"1,561","2,086","2,259","2,500","2,800","2,682","2,795","1,945","1,403","1,248","1,127",835,422,"12,455",53,308,890,"1,319","1,456","1,615","1,715","1,569","1,403",865,491,318,235,148,70,"12,253",163,521,671,767,803,885,"1,085","1,113","1,392","1,080",912,930,892,687,352
인천광역시 > 서구,"35,016",137,949,"2,902","3,639","3,665","3,639","3,940","3,694","3,784","2,613","1,895","1,526","1,269",869,495,"19,536",74,398,"1,697","2,537","2,539","2,514","2,571","2,315","2,059","1,221",683,412,248,184,84,"15,480",63,551,"1,205","1,102","1,126","1,125","1,369","1,379","1,725","1,392","1,212","1,114","1,021",685,411
인천광역시 > 강화군,"7,090",32,108,192,178,218,279,444,604,865,835,662,848,755,665,405,"3,227",19,64,134,116,141,199,288,357,461,412,283,306,210,147,90,"3,863",13,44,58,62,77,80,156,247,404,423,379,542,545,518,315
인천광역시 > 옹진군,"4,078",8,508,420,227,224,270,294,375,500,377,235,209,188,136,107,"2,815",7,475,374,179,177,233,222,277,346,235,123,80,53,19,15,"1,263",NaN,33,46,48,47,37,72,98,154,142,112,129,135,117,92
광주광역시 > 동구,"17,178",464,"2,618","2,217","1,648","1,097",957,"1,074","1,081","1,354","1,121",974,850,815,541,367,"8,803",258,"1,284","1,289",991,708,628,753,678,735,518,358,223,210,97,73,"8,375",206,"1,334",928,657,389,329,321,403,619,603,616,627,605,444,294
광주광역시 > 서구,"36,179",273,"2,204","4,184","4,639","3,547","3,330","3,231","2,908","3,044","2,290","1,917","1,644","1,421",965,582,"17,796",116,913,"2,073","2,753","2,145","2,136","1,983","1,605","1,472",954,639,436,298,167,106,"18,383",157,"1,291","2,111","1,886","1,402","1,194","1,248","1,303","1,572","1,336","1,278","1,208","1,123",798,476
광주광역시 > 남구,"22,211",359,"1,760","1,680","1,915","1,587","1,524","1,740","1,829","2,166","1,849","1,631","1,432","1,287",909,543,"10,208",173,750,907,"1,165","1,007",965,"1,032",980,"1,025",741,536,399,277,149,102,"12,003",186,"1,010",773,750,580,559,708,849,"1,141","1,108","1,095","1,033","1,010",760,441
광주광역시 > 북구,"50,894",606,"4,225","5,200","5,039","4,222","3,948","4,263","4,187","4,774","3,642","3,067","2,753","2,472","1,517",979,"25,388",288,"1,880","2,987","3,155","2,795","2,638","2,716","2,402","2,301","1,554","1,079",715,501,237,140,"25,506",318,"2,345","2,213","1,884","1,427","1,310","1,547","1,785","2,473","2,088","1,988","2,038","1,971","1,280",839
