행정구역별(시군구),1인가구,,,,,,,,,,,,,,,,,,,남자,,,,,,,,,,,,,,,,여자,,,,,,,,,,,,,,,
,전체_남녀,미성년_남녀,20~24,25~29,30~34,청년_남녀,35~39,40~44,45~49,50~54,55~59,60~64,장년_남녀,65~69,70~74,75~79,80~84,85세 이상,노년_남녀,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상,합계,20세 미만,20~24,25~29,30~34,35~39,40~44,45~49,50~54,55~59,60~64,65~69,70~74,75~79,80~84,85세 이상
부산광역시 > 중구,10007,42,660,1239,734,2633,532,475,681,722,866,1085,4361,934,778,609,404,246,,4716,14,203,607,435,321,295,439,439,457,549,400,272,146,87,52,5291,28,457,632,299,211,180,242,283,409,536,534,506,463,317,194
부산광역시 > 서구,18384,202,1889,1870,987,4746,774,751,934,1147,1579,1898,7083,1829,1600,1358,978,588,,7997,55,654,873,566,468,447,599,693,925,900,704,506,305,195,107,10387,147,1235,997,421,306,304,335,454,654,998,1125,1094,1053,783,481
부산광역시 > 동구,15508,40,463,1350,1096,2909,901,746,1029,1131,1331,1727,6865,1549,1377,1247,954,567,,7064,19,155,616,663,529,483,678,724,789,845,637,414,267,150,95,8444,21,308,734,433,372,263,351,407,542,882,912,963,980,804,472
부산광역시 > 영도구,19073,582,2068,905,541,3514,619,688,989,1277,1683,2242,7498,2083,1919,1696,1177,604,,9489,429,1483,638,363,407,451,657,853,981,1108,831,570,386,212,120,9584,153,585,267,178,212,237,332,424,702,1134,1252,1349,1310,965,484
부산광역시 > 부산진구,58924,741,6049,8557,5660,20266,3906,3107,3281,3554,4020,5104,22972,4379,3659,3199,2384,1324,,25431,284,2056,3979,3063,2180,1748,1823,2089,2050,2112,1658,1022,648,456,263,33493,457,3993,4578,2597,1726,1359,1458,1465,1970,2992,2721,2637,2551,1928,1061
부산광역시 > 동래구,29008,83,1095,2601,2310,6006,2019,1742,1939,2149,2464,3323,13636,2948,2251,1960,1289,835,,12435,33,376,1326,1335,1166,1038,1095,1186,1156,1285,991,611,420,270,147,16573,50,719,1275,975,853,704,844,963,1308,2038,1957,1640,1540,1019,688
부산광역시 > 남구,34934,763,5221,3932,2147,11300,1776,1643,2008,2039,2383,3142,12991,2782,2477,2250,1509,862,,15628,305,2288,2345,1332,1131,1001,1188,1159,1197,1227,929,614,461,289,162,19306,458,2933,1587,815,645,642,820,880,1186,1915,1853,1863,1789,1220,700
부산광역시 > 북구,31397,160,1071,2093,1761,4925,1628,1560,1984,2454,3304,4163,15093,3452,2784,2403,1633,947,,14131,70,487,1210,1125,1062,1040,1218,1389,1603,1769,1254,822,572,336,174,17266,90,584,883,636,566,520,766,1065,1701,2394,2198,1962,1831,1297,773
부산광역시 > 해운대구,44867,178,1643,3801,3400,8844,3249,2810,3381,3540,3893,4681,21554,4208,3464,3065,2258,1296,,18177,77,568,1806,1885,1730,1532,1725,1759,1732,1827,1388,893,628,392,235,26690,101,1075,1995,1515,1519,1278,1656,1781,2161,2854,2820,2571,2437,1866,1061
부산광역시 > 사하구,39817,359,3074,3299,2398,8771,2188,2096,2596,3071,3675,4537,18163,4063,3276,2506,1765,914,,19502,183,1485,2034,1610,1475,1443,1677,1902,1956,2051,1566,1001,589,364,166,20315,176,1589,1265,788,713,653,919,1169,1719,2486,2497,2275,1917,1401,748
