인구수,사망률,고령화비율,전체 가구수,산림면적(ha),고용률,경제활동인구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,3차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률
26791.5,1228,28.94201519,12096,54827,70.1,34.2,7.629285408,3.657876565,0.3648313492,1,0.7465054215,8.584812347,0,0,0,0,1.493010843,23.08,12.13,64.2,78.2998,15.6,44.13772561,8.6,-2.9116
65623,964.6,24.49598464,31016,104323,61,70,9.679533091,5.455404355,0.40353366,20,0.6095423861,8.381207808,0,0.1523855965,0.1523855965,0.1523855965,1.523855965,9.12,16.64,74.38,6.574,17.2,13.05962162,13.5,-1.6028
22379,862.4,20.36284016,8606,52993,71.2,23.4,11.83699004,7.104875106,0.2940971415,7,0.8936949819,8.936949819,0,0,1.340542473,0,1.787389964,28.26,7.83,63.48,69.6764,7.8,142.8382749,8.1,-1.8544
27627.5,1104,29.25346123,12445,52485,71.5,33.9,7.984797756,3.221427925,0.3611088791,52,0.7239163877,7.239163877,0,0,0,0,1.085874581,25.15,12.57,62.28,42.4503,23.7,44.81186445,14.1,0.6621
38345,1053.6,28.81992437,17175,95389,65.8,43.4,7.560307732,3.20771939,0.3787481805,11,1.043160777,8.345286217,0,0.2607901943,0.2607901943,0.2607901943,1.564741166,25.87,12.82,61.07,23.651,11.3,36.15424558,15.2,-0.8921
36313,1027.2,26.84713463,16375,104220,70,43.1,8.385426707,3.662600171,0.3777709924,1,0.8261504145,9.087654559,0,0,0.550766943,0,1.376917357,16.63,13.35,70.02,28.7242,14.3,24.497452,21.5,-1.2152
44767.5,965,22.04947786,17244,59849,65.7,43.6,11.64014073,7.639470598,0.2782996984,3,0.6701289998,9.381805998,0,0,0.2233763333,0.2233763333,2.233763333,30.05,12.44,57.51,64.3458,7.7,22.62149096,8.5,-1.7721
42288,848.9,23.72540673,18688,26855,61.6,45,10.75482406,3.807226636,0.3435359589,3,0.9458948165,8.276579644,0,0.2364737041,0.2364737041,0,1.655315929,2.48,16.93,80.14,39.1708,15.2,4.035657449,18.5,-2.3956
41489,993,27.4578804,18519,119586,72.4,50.6,8.009351876,2.627202391,0.3668124629,30,0.2410277423,11.56933163,0,0,0,0.4820554846,2.169249681,33,10.54,56.86,21.5334,25.2,71.6908062,11.5,-0.9584
68652,1091,25.48942493,29533,151734,71.1,81.7,9.220416011,4.297034318,0.3343717198,88,0.8739730816,10.77900134,0,0.1456621803,0.2913243605,0.4369865408,1.747946163,28.52,13.7,57.66,26.1157,13.1,49.40029692,12.1,-0.2989
24703.5,829.8,21.87139474,9997,76832,69.9,24.5,10.88914526,6.072014087,0.3382014604,7,0.4048009391,8.905620661,0,0,0,0,1.619203757,23.46,5.76,69.96,70.7184,9.9,58.07451303,8.8,-1.3671
