시군구,SIG_CD,SIG_KOR_NM,인구수,사망률,고령화비율,전체 가구수,산림면적(ha),고용률,경제활동인구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,3차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률,시도,총가구수,cluster
강원도 삼척시,42230,삼척시,65623.0,964.6,24.49598464,31016,104323,61.0,70.0,9.679533091,5.455404355,0.40353366,20,0.6095423861,8.381207808,0.0,0.1523855965,0.1523855965,0.1523855965,1.523855965,9.12,16.64,74.38,6.574,17.2,13.05962162,13.5,-1.6028,강원도,31016,0
강원도 영월군,42750,영월군,38345.0,1053.6,28.81992437,17175,95389,65.8,43.4,7.560307732,3.20771939,0.3787481805,11,1.043160777,8.345286217,0.0,0.2607901943,0.2607901943,0.2607901943,1.564741166,25.87,12.82,61.07,23.651,11.3,36.15424558,15.2,-0.8921,강원도,17175,0
강원도 정선군,42770,정선군,36313.0,1027.2,26.84713463,16375,104220,70.0,43.1,8.385426707,3.662600171,0.3777709924,1,0.8261504145,9.087654559,0.0,0.0,0.550766943,0.0,1.376917357,16.63,13.35,70.02,28.7242,14.3,24.497452,21.5,-1.2152,강원도,16375,0
강원도 태백시,42190,태백시,42288.0,848.9,23.72540673,18688,26855,61.6,45.0,10.75482406,3.807226636,0.3435359589,3,0.9458948165,8.276579644,0.0,0.2364737041,0.2364737041,0.0,1.655315929,2.48,16.93,80.14,39.1708,15.2,4.035657449,18.5,-2.3956,강원도,18688,0
강원도 홍천군,42720,홍천군,68652.0,1091.0,25.48942493,29533,151734,71.1,81.7,9.220416011,4.297034318,0.3343717198,88,0.8739730816,10.77900134,0.0,0.1456621803,0.2913243605,0.4369865408,1.747946163,28.52,13.7,57.66,26.1157,13.1,49.40029692,12.1,-0.2989,강원도,29533,0
강원도 횡성군,42730,횡성군,46150.0,1118.1,28.66738895,19775,76193,66.2,52.9,8.047670639,3.445287107,0.3227812895,17,0.8667388949,9.967497291,0.0,0.0,0.2166847237,0.2166847237,3.033586132,34.74,15.93,49.52,2.4118,13.2,76.81597758,11.4,0.2604,강원도,19775,0
경기도 가평군,41820,가평군,61675.0,1060.4,25.36359951,26056,69030,61.0,64.9,9.139845967,4.29671666,0.3452563709,24,1.134981759,11.18767734,0.0,0.0,0.3242805026,0.6485610053,2.43210377,13.1,13.42,73.48,37.6521,15.6,8.429662447,18.0,-0.0284,경기도,26056,0
경기도 연천군,41800,연천군,43104.5,1090.4,25.62841467,18368,41162,62.0,45.2,9.985036365,5.637462446,0.337543554,2,0.4639886787,8.351796216,0.0,0.0,0.0,0.2319943393,1.623960375,25.0,18.92,55.86,55.5834,6.9,13.52007384,18.3,-1.3283,경기도,18368,0
경상남도 거창군,48880,거창군,61478.0,1159.8,27.19672078,26054,60250,67.9,71.7,10.52083672,3.871303556,0.3372610732,8,0.9759588796,13.17544487,0.0,0.0,0.4879794398,0.4879794398,2.277237386,35.69,13.88,50.42,53.3994,14.8,18.88329964,8.9,-0.7209,경상남도,26054,0
경상남도 밀양시,48270,밀양시,104300.5,1131.3,27.73332822,46860,51798,61.2,113.1,9.109256427,3.576205291,0.3552069996,47,0.5752609048,10.4505731,0.0,0.0,0.7670145397,0.3835072699,2.301043619,30.88,18.07,50.95,3.8183,15.0,8.430430799,13.7,-0.8229,경상남도,46860,0
경상남도 함안군,48730,함안군,64502.0,1003.1,24.19614896,27594,20927,64.7,72.2,11.43995535,3.209202815,0.320576937,16,0.6201358097,8.991969241,0.0,0.0,0.4651018573,0.4651018573,1.860407429,24.4,28.07,47.25,16.0169,12.3,5.339078832,16.8,-1.7709,경상남도,27594,0
경상북도 고령군,47830,고령군,31646.5,1317.7,30.79013477,13917,24367,69.0,37.9,7.887128118,3.159907099,0.336710498,31,0.6319814197,12.63962839,0.0,0.0,0.3159907099,0.3159907099,2.843916389,34.4,22.4,43.2,30.5452,13.2,7.503610614,11.7,-2.1839,경상북도,13917,0
