시군구,유소년비율,조출생률,1인 가구비율,터널수,만명당 매장 수,만명 당 의료기관 수,만명당 3차병원수,만명당 2차병원 수,만명당 1차병원 수,만명당 요양병원 수,만먕당 한의원 수,1차산업비율,2차산업비율,ktx거리,빈집비율,산지면적/도시면적,재정자립도,연평균인구증감률,cluster,pca_x,pca_y
강원도 삼척시,9.679533091,5.455404355,0.40353366,20,0.6095423861,8.381207808,0.0,0.1523855965,0.1523855965,0.1523855965,1.523855965,9.12,16.64,6.574,17.2,13.05962162,13.5,-1.6028,0,6.284670374105848,-12.262461286601104
강원도 영월군,7.560307732,3.20771939,0.3787481805,11,1.043160777,8.345286217,0.0,0.2607901943,0.2607901943,0.2607901943,1.564741166,25.87,12.82,23.651,11.3,36.15424558,15.2,-0.8921,2,3.3952438347893508,16.677566233216467
강원도 정선군,8.385426707,3.662600171,0.3777709924,1,0.8261504145,9.087654559,0.0,0.0,0.550766943,0.0,1.376917357,16.63,13.35,28.7242,14.3,24.497452,21.5,-1.2152,2,-12.87518840280315,11.64078383269827
강원도 태백시,10.75482406,3.807226636,0.3435359589,3,0.9458948165,8.276579644,0.0,0.2364737041,0.2364737041,0.0,1.655315929,2.48,16.93,39.1708,15.2,4.035657449,18.5,-2.3956,2,-28.093993590138243,2.0927074868300695
강원도 홍천군,9.220416011,4.297034318,0.3343717198,88,0.8739730816,10.77900134,0.0,0.1456621803,0.2913243605,0.4369865408,1.747946163,28.52,13.7,26.1157,13.1,49.40029692,12.1,-0.2989,1,61.41598501936609,23.514509624909312
강원도 횡성군,8.047670639,3.445287107,0.3227812895,17,0.8667388949,9.967497291,0.0,0.0,0.2166847237,0.2166847237,3.033586132,34.74,15.93,2.4118,13.2,76.81597758,11.4,0.2604,1,39.356730464553024,34.21671795957672
경기도 가평군,9.139845967,4.29671666,0.3452563709,24,1.134981759,11.18767734,0.0,0.0,0.3242805026,0.6485610053,2.43210377,13.1,13.42,37.6521,15.6,8.429662447,18.0,-0.0284,2,-9.790455507211714,3.1326993714469515
경기도 연천군,9.985036365,5.637462446,0.337543554,2,0.4639886787,8.351796216,0.0,0.0,0.0,0.2319943393,1.623960375,25.0,18.92,55.5834,6.9,13.52007384,18.3,-1.3283,2,-31.19516020270179,18.667331810984795
경상남도 거창군,10.52083672,3.871303556,0.3372610732,8,0.9759588796,13.17544487,0.0,0.0,0.4879794398,0.4879794398,2.277237386,35.69,13.88,53.3994,14.8,18.88329964,8.9,-0.7209,2,-21.941006655292348,20.5106752210306
경상남도 밀양시,9.109256427,3.576205291,0.3552069996,47,0.5752609048,10.4505731,0.0,0.0,0.7670145397,0.3835072699,2.301043619,30.88,18.07,3.8183,15.0,8.430430799,13.7,-0.8229,0,25.857800620747746,-20.20466215294677
경상남도 함안군,11.43995535,3.209202815,0.320576937,16,0.6201358097,8.991969241,0.0,0.0,0.4651018573,0.4651018573,1.860407429,24.4,28.07,16.0169,12.3,5.339078832,16.8,-1.7709,0,-4.266706359153884,-13.769766596964445
경상북도 고령군,7.887128118,3.159907099,0.336710498,31,0.6319814197,12.63962839,0.0,0.0,0.3159907099,0.3159907099,2.843916389,34.4,22.4,30.5452,13.2,7.503610614,11.7,-2.1839,2,0.35088731545932816,-4.184615576828951
경상북도 문경시,9.304511938,4.588411105,0.3470281138,23,0.5612735296,12.48833603,0.0,0.1403183824,0.2806367648,0.1403183824,2.525730883,28.07,13.9,43.5487,12.1,18.53681189,11.3,-1.1218,2,-7.23949630924297,13.855682442287224
경상북도 안동시,10.94973335,4.576572488,0.3706737231,43,1.134687394,11.28383575,0.0,0.1891145656,0.1891145656,0.4412673197,2.647603918,26.14,13.54,4.9948,14.8,13.53644432,10.6,-1.4983,0,24.744806092563003,-14.818039891886215
