SIG_KOR_NM,gap,,,
청주시 서원구,11.15558217,,,
청주시 청원구,-1.841593602,,,
청주시 상당구,-11.58657693,,,
청주시 흥덕구,-5.468463459,,,
충주시,-0.4838012959,,,
제천시,3.608341818,,,
보은군,6.846673095,,,
옥천군,4.159412249,,,
영동군,9.453631904,,,
증평군,2.364104214,,,
진천군,-21.76697641,,,
괴산군,2.183562979,,,
음성군,5.716506284,,,
단양군,7.120611087,,,
당진시,-0.2772609974,,,
천안시동남구,1.400824196,,,
천안시서북구,-12.29904522,,,
공주시,6.17296304,,,
보령시,5.261232467,,,
아산시,-7.147219315,,,
서산시,-3.42939785,,,
논산시,7.085291325,,,
계룡시,-1.634845429,,,
금산군,7.571595986,,,
부여군,9.137019676,,,
서천군,9.403342141,,,
청양군,7.061948524,,,
홍성군,0.6471876844,,,
예산군,5.579119488,,,
태안군,3.715179969,,,
전주시완산구,7.196727881,,,
전주시덕진구,-10.88861983,,,
군산시,4.412522383,,,
익산시,7.443448627,,,
정읍시,7.541698141,,,
남원시,5.650448995,,,
김제시,7.825066642,,,
완주군,4.543359866,,,
진안군,4.15052361,,,
무주군,4.813820193,,,
장수군,8.180971728,,,
임실군,11.48127297,,,
순창군,10.33089586,,,
고창군,11.89992904,,,
부안군,10.89378125,,,
목포시,8.055051969,,,
여수시,4.230625493,,,
순천시,-1.036805147,,,
나주시,-11.83222197,,,
광양시,3.245275742,,,
담양군,2.221092973,,,
곡성군,9.424342105,,,
구례군,7.941777324,,,
고흥군,7.233652595,,,
보성군,11.45517102,,,
화순군,4.102414897,,,
장흥군,10.13548403,,,
강진군,10.59518449,,,
해남군,10.58958214,,,
영암군,7.201332282,,,
무안군,-10.95860381,,,
함평군,9.07928017,,,
영광군,6.532057967,,,
장성군,5.940916189,,,
완도군,7.664995823,,,
진도군,6.272211485,,,
신안군,10.3981056,,,
포항시 남구,5.69851439,,,
포항시 북구,-0.3764332217,,,
경주시,2.914990056,,,
김천시,1.417866382,,,
안동시,7.00600718,,,
구미시,1.740928003,,,
영주시,6.686682472,,,
영천시,-1.359914844,,,
상주시,6.12284993,,,
문경시,4.749538165,,,
경산시,-4.004076935,,,
군위군,5.072193951,,,
의성군,6.261339653,,,
청송군,6.699365043,,,
영양군,7.864280472,,,
영덕군,9.571852914,,,
청도군,3.840326875,,,
고령군,10.59929358,,,
성주군,5.227297865,,,
칠곡군,7.611263078,,,
예천군,-20.73603951,,,
봉화군,8.279912937,,,
울진군,7.499323515,,,
울릉군,11.33886611,,,
창원시 의창구,13.63043952,,,
창원시 성산구,-8.632773534,,,
창원시 마산합포구,0.2612804392,,,
창원시 마산회원구,11.34298903,,,
창원시 진해구,-4.076599061,,,
진주시,-0.1032476877,,,
통영시,9.247973364,,,
사천시,4.31547619,,,
김해시,-1.558492091,,,
밀양시,4.456688263,,,
거제시,6.208419686,,,
양산시,-11.8878869,,,
의령군,6.364056775,,,
함안군,9.269332869,,,
창녕군,6.022006189,,,
남해군,6.344035986,,,
하동군,12.44004675,,,
산청군,4.814671173,,,
함양군,4.798588504,,,
거창군,3.530359512,,,
합천군,10.60050806,,,
고성군,7.72352521799536,,,
