행정구역별(읍면동),총가구_2016,일반가구_2016,집단가구_비혈연_2016,집단가구_집단시설_2016,외국인가구_2016,총가구_2017,일반가구_2017,집단가구_비혈연_2017,집단가구_집단시설_2017,외국인가구_2017,총가구_2018,일반가구_2018,집단가구_비혈연_2018,집단가구_집단시설_2018,외국인가구_2018,총가구_2019,일반가구_2019,집단가구_비혈연_2019,집단가구_집단시설_2019,외국인가구_2019,총가구_2020,일반가구_2020,집단가구_비혈연_2020,집단가구_집단시설_2020,외국인가구_2020
부산광역시 중구,20923,20468,5,15,435,20759,20307,12,15,425,20391,19886,10,14,481,20483,19847,5,13,618,21101,20508,9,14,570
부산광역시 서구,46808,46391,11,30,376,46093,45600,15,32,446,46595,46072,17,36,470,47186,46608,17,34,527,47829,47261,15,33,520
부산광역시 동구,37981,37308,11,13,649,38077,37402,13,14,648,37890,37194,12,14,670,38948,38163,19,11,755,40501,39776,16,13,696
부산광역시 영도구,52345,51910,7,19,409,51416,50951,21,19,425,50767,50356,18,18,375,50231,49823,18,20,370,51276,50842,24,20,390
부산광역시 부산진구,152729,151910,15,33,771,153934,153075,21,41,797,152704,151852,42,34,776,153322,152433,34,36,819,158049,157105,37,37,870
부산광역시 동래구,100085,99683,8,24,370,100950,100540,15,25,370,101031,100613,17,27,374,103600,103176,11,27,386,106443,106013,13,26,391
부산광역시 남구,109652,108478,11,30,1133,109597,108016,70,31,1480,113116,111261,69,29,1757,113506,111594,43,29,1840,112568,110605,34,29,1900
부산광역시 북구,114512,114093,NaN,29,387,114011,113476,NaN,29,503,113514,112896,8,28,582,113002,112242,12,29,719,113727,113121,7,32,567
부산광역시 해운대구,155657,154367,6,36,1248,155172,153815,8,34,1315,156338,154967,9,34,1328,157561,156230,10,36,1285,160011,158613,10,37,1351
부산광역시 사하구,128475,127097,5,49,1324,129779,128433,24,50,1272,130646,129242,26,50,1328,130005,128548,15,53,1389,129762,128354,14,53,1341
부산광역시 금정구,99883,98500,26,52,1305,100968,99425,35,53,1455,102728,101118,48,52,1510,103039,101294,44,49,1652,103542,101802,43,50,1647
부산광역시 강서구,39004,37589,NaN,36,1376,43383,41987,7,46,1343,45412,44028,8,46,1330,48509,47138,7,45,1319,52737,51376,7,38,1316
부산광역시 연제구,78375,78070,6,25,274,79788,79475,10,26,277,80416,80104,10,26,276,83732,83398,8,25,301,86043,85699,11,25,308
부산광역시 수영구,71355,70784,6,22,543,72792,72186,12,20,574,73151,72556,14,21,560,74773,74187,13,20,553,77302,76700,10,22,570
부산광역시 사상구,92084,90745,10,31,1298,92305,90925,29,31,1320,91737,90355,28,31,1323,91625,90171,26,32,1396,92172,90678,21,36,1437
부산광역시 기장군,57362,56777,NaN,41,540,59336,58788,5,37,506,61728,61108,9,38,573,62769,62178,NaN,37,552,67189,66584,5,40,560
대구광역시 중구,33679,33349,12,18,300,33318,32968,23,16,311,34431,34109,22,18,282,34523,34207,21,20,275,35114,34805,18,19,272
대구광역시 동구,134469,133741,15,48,665,136701,135974,22,52,653,139492,138759,28,52,653,139879,139168,25,55,631,142473,141788,14,57,614
대구광역시 서구,80477,79496,NaN,32,945,79183,78170,11,33,969,77152,76111,24,32,985,75067,73980,14,34,1039,75132,74097,10,35,990
대구광역시 남구,69009,68498,6,40,465,68748,68227,20,39,462,68808,68263,23,39,483,68768,68268,18,38,444,69654,69120,14,40,480
대구광역시 북구,168913,167089,9,48,1767,171098,169117,38,52,1891,173151,171041,41,50,2019,176876,174696,34,50,2096,181778,179584,21,48,2125
대구광역시 수성구,157836,157126,7,27,676,157640,156945,17,29,649,157323,156596,17,32,678,158648,157906,8,36,698,160984,160239,6,32,707
대구광역시 달서구,223654,220750,10,67,2827,222577,219535,62,65,2915,223693,220531,69,61,3032,228034,224644,62,65,3263,230703,226813,51,70,3769
대구광역시 달성군,77446,75704,6,50,1686,89008,87094,28,59,1827,94215,92106,27,62,2020,98057,95751,13,66,2227,101578,99370,18,59,2131
인천광역시 중구,45249,43924,17,29,1279,47262,45897,25,31,1309,50199,48828,38,36,1297,57204,55660,28,38,1478,61142,59494,23,33,1592
인천광역시 동구,26921,26576,5,9,331,26796,26449,8,9,330,26108,25737,9,9,353,25539,25183,10,8,338,25606,25234,NaN,11,357
인천광역시 연수구,116091,112840,14,25,3212,119930,115927,44,33,3926,125118,120190,48,36,4844,136244,130428,36,34,5746,147391,141117,32,33,6209
인천광역시 남동구,196605,192717,9,81,3798,200748,196858,32,79,3779,205814,201623,39,90,4062,208136,203704,39,96,4297,211978,207421,25,91,4441
인천광역시 부평구,203908,198909,16,65,4918,204175,198443,26,66,5640,202267,195852,39,68,6308,202092,194930,40,74,7048,201550,193963,37,70,7480
인천광역시 계양구,117247,116055,12,41,1139,117201,115976,19,46,1160,115300,114050,27,45,1178,114163,112858,21,55,1229,114972,113632,13,54,1273
인천광역시 서구,178831,174707,12,78,4034,182582,178307,32,81,4162,194339,189779,46,80,4434,200391,195663,42,88,4598,205791,200854,31,78,4828
인천광역시 미추홀구,165620,162564,25,58,2973,170460,166978,52,62,3368,166596,162813,67,64,3652,170328,166240,92,66,3930,173122,168908,91,60,4063
