sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
강원도 강릉시,0.5784727439152878,7.081027549150741e-05,0.00041896079665808543,0.005865451153213196,99109,관심지역
강원도 고성군,0.06917573829891177,0.00012659710651810206,8.851284436438425e-05,0.002094803983290427,12096,인구감소지역
강원도 동해시,0.2208513484017206,3.5405137745753704e-05,9.44137006553432e-05,0.0024901613547846767,37871,관심지역
강원도 삼척시,0.18153394293506112,4.130599403671265e-05,0.00012391798211013795,0.0013217918091748047,31016,인구감소지역
강원도 속초시,0.2097813419998816,0.00012659710651810206,8.851284436438425e-05,0.0020771014144175502,35922,관심지역
강원도 양구군,0.05028119645526121,0.00012659710651810206,4.130599403671265e-05,0.0004543659344038391,8606,인구감소지역
강원도 양양군,0.0727221529297781,0.00012659710651810206,7.081027549150741e-05,0.0006313916231326076,12445,인구감소지역
강원도 영월군,0.10072171603037831,0.00012659710651810206,9.44137006553432e-05,0.0005133744973134286,17175,인구감소지역
강원도 원주시,0.8865564508662546,0.0001770256887287685,0.0004956719284405518,0.007859940579557322,151688,안심지역
강원도 인제군,0.0743035824157551,0.00012659710651810206,4.130599403671265e-05,0.0005605813476411003,12698,관심지역
강원도 정선군,0.09603643613535691,4.130599403671265e-05,7.671113178246635e-05,0.00047206850327671595,16375,인구감소지역
강원도 철원군,0.10012572954499147,0.00012659710651810206,7.081027549150741e-05,0.0015342226356493268,17244,인구감소지역
강원도 춘천시,0.6964780680218848,0.00010621541323726111,0.0004543659344038391,0.009423667496661443,119722,안심지역
강원도 태백시,0.10967331502376304,3.5405137745753704e-05,8.851284436438425e-05,0.00047796935956767497,18688,인구감소지역
강원도 평창군,0.10801517440600357,3.5405137745753704e-05,8.26119880734253e-05,0.0011447661204460361,18519,인구감소지역
강원도 홍천군,0.17234630969003806,2.9504281454794747e-05,0.00021833168276548116,0.0016758431866323417,29533,인구감소지역
강원도 화천군,0.058412576424202646,0.00012659710651810206,8.26119880734253e-05,0.0004897710721495929,9997,인구감소지역
강원도 횡성군,0.11520831822468254,2.9504281454794747e-05,0.00014752140727397375,0.001304089240301928,19775,인구감소지역
경기도 가평군,0.151368765575679,5.9008562909589494e-05,0.00021833168276548116,0.002106605695872345,26056,인구감소지역
경기도 과천시,0.12099115738982232,0.00012659710651810206,3.5405137745753704e-05,0.0006785984734602792,20629,안심지역
경기도 광명시,0.6572550762558806,8.851284436438425e-05,0.00010621541323726111,0.017737974010622604,114422,안심지역
경기도 광주시,0.8440525830024772,0.0001652239761468506,0.0004366633655309623,0.02697281410597336,147712,안심지역
경기도 구리시,0.432255425881616,4.130599403671265e-05,0.00011211626952822005,0.0037175394633041383,73909,안심지역
경기도 군포시,0.6088857572388903,5.3107706618630557e-05,0.0003009436708389064,0.023420498618816073,107215,안심지역
경기도 권선구,0.8451855474103414,0.00011211626952822005,0.00018292654501972743,0.034986176949095615,149210,안심지역
경기도 기흥구,0.9287888793406477,0.00014162055098301482,0.00031274538342082435,0.013229719804329966,159718,안심지역
경기도 김포시,1.0140857570264594,0.00013571969469205585,0.0005192753536043876,0.04213801477373786,179106,안심지역
경기도 남양주시,1.4927809219179224,0.00021243082647452223,0.0008084173118613761,0.014309576505575454,255575,안심지역
경기도 단원구,0.7164052597164532,0.0004661676469857571,0.000590085629095895,0.1362448709019512,144675,안심지역
경기도 덕양구,1.0679428723940418,0.00010621541323726111,0.00044256422182192124,0.011949233989191874,183099,안심지역
경기도 동두천시,0.22385488425381872,0.00012659710651810206,0.0003009436708389064,0.006278511093580323,39055,관심지역
경기도 동안구,0.6547295097633503,2.9504281454794747e-05,0.00010031455694630215,0.005068835553933738,111836,안심지역
경기도 만안구,0.5457465949256294,0.00011801712581917899,0.0002478359642202759,0.01917778294561659,95798,안심지역
경기도 부천시,1.8628767276305767,0.0004012582277852086,0.0008084173118613761,0.0808004251921009,329594,안심지역
경기도 분당구,1.0331750271277116,8.851284436438425e-05,0.00014162055098301482,0.010314696796596245,176876,안심지역
경기도 상록구,0.8213460879948672,0.00034224966487561906,0.00027734024567507067,0.04321197061869239,146619,안심지역
경기도 수정구,0.618262217885224,8.26119880734253e-05,0.00013571969469205585,0.03784219139391975,111225,안심지역
경기도 수지구,0.7623198225164048,0.00012391798211013795,0.0001534222635649327,0.007747824310029102,130548,안심지역
