sigungu,일반,비혈연집단,집단시설집단,외국인,2020,인구감소지수 분류
강원도 고성군,0.06917573829891180,0.00012659710651810200,8.85128443643843E-05,0.002094803983290430,12096,인구감소지역
강원도 삼척시,0.18153394293506100,4.13059940367127E-05,0.00012391798211013800,0.0013217918091748000,31016,인구감소지역
강원도 양구군,0.05028119645526120,0.00012659710651810200,4.13059940367127E-05,0.0004543659344038390,8606,인구감소지역
강원도 양양군,0.0727221529297781,0.00012659710651810200,7.08102754915074E-05,0.0006313916231326080,12445,인구감소지역
강원도 영월군,0.10072171603037800,0.00012659710651810200,9.44137006553432E-05,0.0005133744973134290,17175,인구감소지역
강원도 정선군,0.09603643613535690,4.13059940367127E-05,7.67111317824664E-05,0.00047206850327671600,16375,인구감소지역
강원도 철원군,0.10012572954499100,0.00012659710651810200,7.08102754915074E-05,0.0015342226356493300,17244,인구감소지역
강원도 태백시,0.10967331502376300,3.54051377457537E-05,8.85128443643843E-05,0.00047796935956767500,18688,인구감소지역
강원도 평창군,0.10801517440600400,3.54051377457537E-05,8.26119880734253E-05,0.0011447661204460400,18519,인구감소지역
강원도 홍천군,0.17234630969003800,2.95042814547947E-05,0.00021833168276548100,0.0016758431866323400,29533,인구감소지역
강원도 화천군,0.058412576424202600,0.00012659710651810200,8.26119880734253E-05,0.0004897710721495930,9997,인구감소지역
강원도 횡성군,0.11520831822468300,2.95042814547947E-05,0.00014752140727397400,0.001304089240301930,19775,인구감소지역
경기도 가평군,0.151368765575679,5.90085629095895E-05,0.00021833168276548100,0.002106605695872350,26056,인구감소지역
경기도 연천군,0.10629802522533500,8.26119880734253E-05,0.00012391798211013800,0.001882373156815910,18368,인구감소지역
경상남도 거창군,0.15267875567227200,0.00012659710651810200,0.00012391798211013800,0.0009264344376805550,26054,인구감소지역
경상남도 고성군,0.1300489717964440,0.00012659710651810200,0.00021243082647452200,0.002112506552163300,22436,인구감소지역
경상남도 남해군,0.11507259852999000,0.00012659710651810200,0.00012391798211013800,0.0011565678330279500,19721,인구감소지역
경상남도 밀양시,0.2711325448569820,4.72068503276716E-05,0.00025373682051123500,0.005080637266515660,46860,인구감소지역
경상남도 산청군,0.09211826755816020,5.31077066186306E-05,0.00011801712581917900,0.001079856701245490,15823,인구감소지역
경상남도 의령군,0.07270445036090520,0.00012659710651810200,0.00014162055098301500,0.0011034601264093200,12535,인구감소지역
경상남도 창녕군,0.15878024107712300,0.00012659710651810200,0.00026553853309315300,0.0047088833201852400,27754,인구감소지역
경상남도 하동군,0.11468314201478700,3.54051377457537E-05,0.00010031455694630200,0.0008379215933161710,19600,인구감소지역
경상남도 함안군,0.15716340645340100,3.54051377457537E-05,0.0003009436708389060,0.0053284732307359300,27594,인구감소지역
경상남도 함양군,0.10244476606733800,3.54051377457537E-05,0.0001298188384010970,0.0006608959045874020,17501,인구감소지역
경상남도 합천군,0.1188373448436220,0.00012659710651810200,0.00017112483243781000,0.0008969301562257600,20322,인구감소지역
경상북도 고령군,0.07964975821536390,0.00012659710651810200,0.00010621541323726100,0.00236034251638358,13917,인구감소지역
경상북도 군위군,0.0632925845768257,0.00012659710651810200,0.00010621541323726100,0.0006018873416778130,10850,인구감소지역
경상북도 문경시,0.1804127802397790,4.13059940367127E-05,0.00023013339534739900,0.00129228752772001,30839,인구감소지역
경상북도 봉화군,0.08315486685219350,2.95042814547947E-05,8.26119880734253E-05,0.0004602667906947980,14189,인구감소지역
경상북도 상주시,0.2579677344718520,6.49094192005484E-05,0.00028324110196603000,0.0015755286296860400,44043,인구감소지역
경상북도 성주군,0.10772013159145600,5.31077066186306E-05,0.00012391798211013800,0.0025255664925304300,18713,인구감소지역
경상북도 안동시,0.4185713401428820,6.49094192005484E-05,0.00036585309003945500,0.0024606570733298800,71424,인구감소지역
경상북도 영덕군,0.10013163040128200,5.90085629095895E-05,8.26119880734253E-05,0.0012568823899742600,17206,인구감소지역
경상북도 영양군,0.04520646004503650,0.00012659710651810200,2.95042814547947E-05,0.00034224966487561900,7725,인구감소지역
