시점,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
2000y,598035.0,628671.5,656500.5,680329.0,698846.0,713991.0,716217.0,722562.5,718438.5,674897.0,638364.5,630564.0,623109.5,623479.0,640979.5,658407.5,706719.0,787001.5,833497.5,841314.0,835065.5,777154.0,754222.5,775172.5,781546.5,831264.5,884652.5,903572.5,929534.0,942316.5,933107.0,938235.0,907621.5,852540.0,848267.5,858447.5,829953.0,855886.5,921371.0,945498.5,915582.0,843512.0,804425.0,764268.0,739973.5,698689.0,601203.5,589162.0,537115.0,470857.5,491170.0,494273.5,497701.5,452376.5,383180.5,378198.0,396757.5,452221.5,461714.0,399621.5,388474.5,381675.0,356147.5,340255.5,330152.0,312454.5,281016.5,258045.0,235004.0,214573.5,207546.5,195289.0,179724.5,158632.5,142282.0,131479.0,127857.5,126860.5,109515.0,91352.5,79111.0,67943.5,61669.0,55476.5,45299.5,37377.0,32042.0,27197.5,22332.5,17143.5,13472.5,10351.5,7849.5,5569.0,3839.5,2624.5,1786.0,1280.0,1009.5,832.5,2219.0
2001y,570380.0,628188.0,629879.5,657152.5,680592.5,699596.0,714788.0,716577.5,721997.0,717572.5,674360.0,638027.5,629921.0,622460.0,622968.5,640338.0,657598.5,705532.5,786082.0,832548.0,840637.5,833888.5,776767.5,753109.5,774263.0,780623.0,830168.0,883441.0,902379.0,928188.5,940819.5,931809.5,936592.5,905958.0,851278.5,846795.5,857012.0,828437.5,854133.5,919145.5,943304.5,913097.0,841189.5,801762.5,761693.5,737367.0,696141.0,599028.0,586814.0,534785.5,468833.0,488655.0,491686.5,495146.5,449549.5,380897.5,375555.0,393859.0,448666.5,457538.5,395771.0,384367.0,377356.0,351716.0,335720.0,325203.5,307426.5,276111.0,252941.0,229841.0,209432.5,201792.0,189517.5,173746.5,152660.0,136265.0,125254.0,121155.5,119622.5,102549.5,84854.5,72875.0,62071.5,55658.5,49556.5,39998.5,32700.5,27648.0,23111.0,18734.5,14185.0,10948.5,8274.5,6151.5,4262.5,2860.0,1925.0,1293.0,937.5,753.5,2224.5
2002y,501475.5,597764.0,628937.0,630230.0,657304.0,680907.5,700000.0,714813.0,715831.5,721311.5,716928.5,673855.0,637291.5,629202.0,621662.5,622163.0,639426.5,656424.0,704596.0,784978.5,831611.5,839280.5,833017.0,775385.5,751860.0,772913.0,779268.5,828556.5,881482.5,900478.0,926183.0,938553.0,929343.0,934233.0,903800.0,849096.5,844633.0,854781.5,826144.0,851460.5,916255.0,940282.5,910129.0,838066.0,798784.0,758670.0,734420.0,693423.0,596316.0,584308.0,532244.0,466476.5,486076.5,489083.5,492242.0,446862.0,378267.5,372882.5,390808.0,444631.5,453286.0,391846.0,380136.5,372799.5,347219.0,330826.0,320011.0,302234.5,270803.5,247715.5,224509.5,203911.5,196015.5,183462.0,167546.5,146504.0,130089.5,118736.0,114408.0,112230.0,95357.0,78380.5,66710.5,56186.5,49800.5,43855.0,35033.5,28255.5,23593.5,19476.5,15455.5,11529.0,8745.0,6497.0,4707.0,3179.5,2087.0,1409.5,944.0,678.5,2164.0
2003y,469760.5,524843.5,598326.0,629113.0,630466.0,657200.5,681163.0,699951.5,714091.5,715099.5,720442.0,716225.0,673101.0,636361.5,628358.0,620936.0,621144.0,638329.0,655332.0,703454.5,784075.5,830046.0,838046.0,831435.0,773672.0,750102.5,771269.0,777142.5,826126.5,878837.0,897534.5,923185.0,935273.0,926084.0,930742.5,900478.0,845791.5,841514.0,851443.0,822706.5,847841.0,912521.0,936116.0,905998.0,834014.0,794869.5,754920.0,730794.0,689827.5,593264.0,581036.0,529337.0,463859.5,483128.0,486117.0,489057.5,443840.0,375522.0,369975.0,387531.5,440579.5,448909.5,387550.0,375698.5,368072.5,342311.0,325770.5,314655.0,296695.5,265202.5,242033.5,218825.0,198232.0,190021.5,177149.0,161062.5,140165.0,123557.5,112124.0,107428.5,104579.5,88297.0,71879.0,60593.0,50353.0,44246.5,38470.5,30284.0,24150.0,19843.0,16141.0,12538.0,9209.0,6865.5,4989.0,3564.5,2357.5,1520.5,998.5,667.0,2026.0
2004y,460244.5,491437.0,525609.0,598517.5,629544.0,630413.0,657603.5,681147.0,699291.5,713359.0,714386.0,719735.0,715670.5,672170.5,635628.0,627738.5,619973.5,620091.0,637267.5,654557.5,702669.5,782714.5,829110.5,836679.5,830025.0,772367.5,748969.5,769599.0,775306.5,824057.0,876465.0,894993.5,920034.5,932032.5,922608.0,927370.5,897169.0,842684.5,838096.0,847841.0,819177.0,844220.5,908355.0,931628.5,901488.5,829937.0,790985.5,751095.0,727041.0,686295.0,590047.0,577839.0,526511.0,461096.0,480172.0,483006.5,485947.5,440754.5,372724.0,367162.0,384284.5,436567.5,444370.5,383317.5,371149.5,363279.0,337508.5,320567.5,309115.5,290720.0,259512.0,236233.5,213054.5,192433.5,183777.0,170629.5,154539.5,133650.5,117116.0,105525.0,100440.5,97258.0,81334.5,65517.0,54594.0,44999.5,39023.5,33431.5,25962.5,20338.5,16594.5,13228.5,10090.0,7231.0,5309.5,3821.0,2670.0,1756.0,1072.5,697.5,1933.5
2005y,432538.5,480935.5,492441.0,526186.5,599063.0,629830.5,630960.0,657726.0,680663.5,698708.0,712895.5,713909.0,719411.5,714831.0,671582.5,635116.0,626900.0,619128.5,619426.5,636831.5,653968.5,701972.0,782296.5,828483.5,836230.0,829683.5,772314.5,748545.5,769161.5,774798.5,823387.5,875361.5,893481.5,918484.5,930234.5,920806.0,925602.0,895229.0,840696.0,835963.0,845682.0,816965.5,841746.0,905425.5,928644.0,898470.5,827239.5,788255.5,748367.0,724249.5,683632.5,587562.5,575459.0,524104.5,458845.0,477661.5,480605.0,483228.5,438154.0,370320.5,364595.5,381374.5,432729.0,440059.5,379144.0,366819.0,358684.0,332525.0,315355.0,303498.0,284914.5,253722.5,230325.0,207196.5,186453.5,177501.0,164062.5,147783.0,127154.0,110678.0,98932.0,93599.5,89981.0,74445.5,59382.0,49002.5,39879.0,34115.5,28785.5,21967.0,17066.5,13680.5,10700.5,7979.5,5638.0,4096.5,2874.0,2005.0,1248.0,761.5,1924.0
2006y,419297.5,452105.0,481863.5,493123.5,526681.5,599450.5,630155.0,631065.0,657291.0,680142.5,698323.5,712451.5,713534.0,718651.5,714261.5,670994.0,634379.0,626146.0,618435.0,618835.5,636242.0,653455.5,701680.0,781960.0,828294.5,836015.0,829690.5,772175.0,748502.0,768943.5,774681.0,822988.0,874804.5,892918.5,917616.5,929081.5,919836.0,924451.5,893946.0,839310.0,834779.0,844199.5,815367.5,839946.0,903512.0,926338.0,896485.5,825136.5,786103.0,746106.0,721993.5,681387.5,585584.5,573181.5,522008.5,456822.0,475602.0,478382.5,480715.5,435689.0,368041.0,362087.0,378382.5,428957.5,435812.5,375090.0,362374.5,353729.5,327504.5,310015.0,297595.0,278909.5,247675.0,224364.0,201148.5,180454.5,170958.0,157235.0,140841.5,120576.5,104129.5,92289.0,86738.0,82728.0,67792.5,53446.5,43598.5,35047.0,29481.5,24513.0,18458.5,14126.0,11092.0,8527.0,6247.0,4393.5,3109.0,2134.5,1438.0,905.5,1963.0
2007y,447497.5,439612.5,452958.0,482522.0,493564.5,526975.0,599722.5,630233.0,630707.5,656900.5,679763.0,697941.0,712182.5,712963.0,718217.5,713771.0,670440.5,633761.0,625549.5,617969.5,618338.5,635878.5,653278.5,701356.0,781726.5,828149.5,835934.5,829489.0,772158.0,748389.5,768987.0,774503.0,822740.0,874450.5,892476.0,916961.0,928536.5,919176.0,923579.0,893038.5,838631.0,833797.0,843319.5,814305.5,838786.5,902123.5,924918.5,894820.0,823464.0,784247.5,744299.5,720172.5,679512.5,583777.0,571243.5,520091.0,454877.5,473547.0,476024.0,478165.5,433132.0,365646.0,359413.0,375333.0,425204.5,431423.0,370774.0,357649.0,348574.5,322249.5,304306.0,291640.0,272605.5,241501.5,218103.0,194917.0,174004.5,164151.0,150135.0,133829.5,113797.0,97472.0,85566.0,79817.0,75580.5,61142.0,47646.0,38418.0,30387.5,25240.5,20675.0,15283.0,11516.5,8834.0,6676.0,4866.0,3327.5,2307.0,1578.0,1041.5,2070.5
2008y,457339.5,468800.5,440415.0,453468.5,482888.5,493720.5,527165.0,599674.5,629976.0,630390.5,656573.5,679453.5,697688.5,711713.5,712563.5,717872.0,713271.5,669876.5,633279.5,625204.5,617621.0,618114.5,635684.5,653024.5,701228.0,781755.0,828278.5,835965.5,829702.5,772457.5,748712.0,769133.0,774720.0,822849.5,874492.0,892612.5,917075.5,928606.0,919179.0,923469.5,893060.0,838490.5,833851.0,843171.0,813940.5,838472.5,901516.5,924080.5,893907.0,822475.0,783099.5,743068.5,718817.5,678131.0,582323.5,569538.5,518286.0,453150.0,471470.5,473765.0,475658.0,430567.0,363261.5,356728.0,372428.5,421421.5,427085.0,366334.5,352810.5,343455.0,316817.0,298514.5,285350.0,266070.0,235019.0,211646.0,188307.5,167491.5,157138.0,142972.0,126612.5,106962.0,90689.5,78978.0,73094.5,68422.0,54708.0,42121.0,33430.0,26182.5,21331.0,17204.0,12504.5,9215.0,6997.5,5216.5,3717.5,2462.0,1708.5,1144.5,2241.5
2009y,434475.0,477890.0,469683.0,440876.0,453817.5,483013.0,493850.0,527080.0,599472.0,629759.5,630137.5,656265.0,679148.5,697265.5,711254.5,712191.0,717320.0,712661.0,669253.0,632790.0,624828.0,617421.0,618004.0,635731.0,653096.5,701365.0,781999.0,828420.5,836101.5,829983.5,772651.0,748991.0,769263.0,774901.0,822892.5,874536.5,892633.0,917226.0,928639.0,919180.5,923557.5,893078.5,838410.0,833780.5,842863.5,813664.0,838097.5,900954.0,923245.0,893021.0,821352.5,781876.0,741820.5,717413.5,676419.0,580631.5,567749.5,516384.0,451259.5,469419.0,471468.5,473013.5,427903.0,360720.5,354098.0,369443.0,417481.0,422378.0,361749.0,347889.5,337925.0,311126.5,292298.0,278807.0,259296.0,228420.5,204881.5,181667.5,160784.5,150033.0,135634.0,119383.0,100080.0,84191.5,72494.5,66436.5,61713.0,48676.0,36995.5,28980.5,22279.0,17922.0,14179.0,10140.5,7373.5,5473.5,4026.0,2807.5,1813.0,1245.0,2467.0
