행정구역(시군구)별,total_2016,total_2017,total_2018,total_2019,total_2020
부산광역시 서구,112041.5,109135.5,107981.5,107094.5,105948
부산광역시 동구,89046.5,87490.5,86074.5,85757,86801
부산광역시 영도구,125772.5,122860.5,119749.5,116364.5,113042.5
대구광역시 서구,200285,193360,185899.5,177581,170922.5
대구광역시 남구,156122.5,152169.5,149276.5,146952.5,145124
인천광역시 강화군,67357,67897.5,68326.5,68509.5,68662
인천광역시 옹진군,21012,21330.5,21158.5,20643,20366.5
경기도 연천군,45258.5,45108.5,44465,43660,43104.5
경기도 가평군,61509.5,61975,62214,61945.5,61675
강원도 태백시,46242,45451.5,44358.5,43346.5,42288
강원도 삼척시,69481.5,68371,67786.5,67156.5,65623
강원도 홍천군,69655,69650,69599.5,69006,68652
강원도 횡성군,45548,45780,46143,46282,46150
강원도 영월군,39573,39510.5,39347,38872,38345
강원도 평창군,42992.5,42787,42442.5,41954,41489
강원도 정선군,38104.5,37623.5,37147.5,36706.5,36313
강원도 철원군,47997.5,47208.5,46412.5,45613.5,44767.5
강원도 화천군,26464.5,25970,25379,24818.5,24703.5
강원도 양구군,23899,23776.5,23479,22940,22379
강원도 고성군,29867,29855,28873,27484,26791.5
강원도 양양군,27160,27014.5,27067.5,27323.5,27627.5
충청북도 제천시,135290,135469,134949,134051,132882.5
충청북도 보은군,33930.5,33828.5,33570,33023,32402.5
충청북도 옥천군,51881.5,51587,51207,50841.5,50381
충청북도 영동군,50237,50011,49597.5,48851,47736.5
충청북도 괴산군,38540.5,38684,38765.5,38819,38968
충청북도 단양군,30272.5,30010,29901,29679.5,29143
충청남도 공주시,109695,108324,107181,106193.5,104677
충청남도 보령시,103477.5,102696,101733.5,100695.5,99852.5
충청남도 논산시,122493,121534,120074.5,118380,116625.5
충청남도 금산군,54267,53785.5,53094,52269.5,51373
충청남도 부여군,69965.5,68960.5,67939,66784,65431
충청남도 서천군,55921.5,55065.5,54023.5,52842.5,51820.5
충청남도 청양군,32407.5,32578.5,32355.5,31801.5,31134
충청남도 예산군,81788,80225,79610,79068,78071.5
충청남도 태안군,63267.5,63503,63172,62563.5,62050.5
전라북도 정읍시,114412.5,113348,111881,110281,108474
전라북도 남원시,84042,83284,82495,81588,80653.5
전라북도 김제시,87391,86514.5,85310,83812.5,82405
전라북도 진안군,25939.5,25978,25926.5,25640.5,25360.5
전라북도 무주군,24977.5,24774.5,24598,24345.5,24068.5
전라북도 장수군,23341,23201.5,22998.5,22720.5,22158.5
전라북도 임실군,30046,29999,29940.5,29305.5,27928
전라북도 순창군,29921,29652,29289.5,28630.5,27930
전라북도 고창군,59861.5,60087,58313.5,55827,54578.5
전라북도 부안군,56421.5,56053,54794,53397,52251
전라남도 담양군,46729.5,46875,46720.5,46344,46033.5
전라남도 곡성군,30325.5,30060,29679,29056.5,28267
전라남도 구례군,27163,27283.5,27154,26677.5,25985
전라남도 고흥군,67676,66753.5,65825.5,64931.5,64022
전라남도 보성군,44449.5,43656,42834,41689,40543.5
전라남도 화순군,65073,64518,63842.5,62868,62181.5
전라남도 장흥군,41783.5,40096,39408.5,38610.5,37858.5
전라남도 강진군,37952.5,37009.5,36211,35421.5,34647.5
전라남도 해남군,75071.5,73798.5,72187.5,70538.5,68999.5
전라남도 영암군,57038,55804.5,54680.5,54171,53651
전라남도 함평군,34269,34000,33514,32780.5,32098
전라남도 영광군,55400.5,54659,53929.5,53477.5,52970
전라남도 장성군,45815,45700.5,45556.5,45377,44714.5
전라남도 완도군,52512,52081,51501.5,50784.5,50007
전라남도 진도군,31975,31635,31226,30714,30721.5
전라남도 신안군,42505,41916,41238.5,40349,39200.5
경상북도 안동시,168130,166672,163364,160242,158634
경상북도 영주시,108766.5,108119.5,106922,105273,103452
경상북도 영천시,99759,99752.5,100320.5,101270.5,101506
경상북도 상주시,101307.5,100604.5,99877.5,99760,98240.5
경상북도 문경시,74671,73433.5,72020,71490.5,71266.5
경상북도 군위군,23973,24025,23903,23715.5,23384.5
경상북도 의성군,53670,53191.5,52673.5,52248,51647
경상북도 청송군,26152.5,25972,25666.5,25366,25051.5
경상북도 영양군,17613,17410.5,17236.5,16994,16667
경상북도 영덕군,38744.5,38427.5,37967,37377.5,36484
경상북도 청도군,43325,43130,42883,42673,42278.5
경상북도 고령군,34194.5,33773.5,33129,32440.5,31646.5
경상북도 성주군,44765,44838.5,44577,44019.5,43399.5
경상북도 봉화군,33304,33043,32704,32155.5,31492
경상북도 울진군,51480,51038.5,50195.5,49363.5,48710
경상북도 울릉군,9878,9793,9724.5,9555.5,9184.5
경상남도 밀양시,107173,107186.5,106389,105227.5,104300.5
경상남도 의령군,28159.5,27819,27602,27259.5,26832
경상남도 함안군,68548,68079,67145,65907.5,64502
경상남도 창녕군,63408,63560.5,63262,62369.5,61341.5
경상남도 고성군,54578.5,53978,53252.5,52357.5,51428
경상남도 남해군,45205,44594,44024.5,43515.5,43004.5
경상남도 하동군,49639.5,48933,47890,46756,45389.5
경상남도 산청군,35772,35918.5,35853,35389.5,34845
경상남도 함양군,39952,39870,39778,39519,39045
경상남도 거창군,62894.5,62656.5,62244.5,61957.5,61478
경상남도 합천군,48109,47048.5,46005.5,45111.5,44159.5
