행정구역(시군구)별,total_2016,total_2017,total_2018,total_2019,total_2020
부산광역시 중구,44191.5,43386,42206.5,41066.5,40445.5
부산광역시 서구,112041.5,109135.5,107981.5,107094.5,105948
부산광역시 동구,89046.5,87490.5,86074.5,85757,86801
부산광역시 영도구,125772.5,122860.5,119749.5,116364.5,113042.5
부산광역시 부산진구,373849.5,368927.5,361954.5,355134.5,354107.5
부산광역시 동래구,270029.5,268940.5,265880,266204,268386.5
부산광역시 남구,278005.5,273393,274024.5,274381,268383
부산광역시 북구,308288.5,304530.5,297977.5,292109,285665.5
부산광역시 해운대구,417169.5,411650,406441.5,403494.5,400014.5
부산광역시 사하구,333063.5,330831.5,327489,321380.5,313486
부산광역시 금정구,242761.5,241970.5,241190,238545,233506
부산광역시 강서구,100898.5,112272.5,119317.5,125409,132917.5
부산광역시 연제구,206686,204744.5,205122,206489.5,207198.5
부산광역시 수영구,177698.5,177699,176131.5,174201,174590.5
부산광역시 사상구,232916.5,228741.5,224103.5,218573.5,213286
부산광역시 기장군,154999,159259.5,162425,163955.5,168798
대구광역시 중구,78863.5,77893.5,77744.5,76957.5,75567
대구광역시 동구,347356.5,347253.5,347292.5,345317,340729
대구광역시 서구,200285,193360,185899.5,177581,170922.5
대구광역시 남구,156122.5,152169.5,149276.5,146952.5,145124
대구광역시 북구,438818,437986.5,437647.5,435875.5,436379.5
대구광역시 수성구,446246.5,439885,432823,427587.5,423483
대구광역시 달서구,594190.5,581907.5,572790,568253.5,560982
대구광역시 달성군,204582.5,229913,246055,252615.5,257018.5
인천광역시 중구,113187,114900.5,118540.5,127071,135667
인천광역시 동구,70550,69034.5,66679,64156.5,62323.5
인천광역시 미추홀구,405289.5,412531,412441,407287,401345.5
인천광역시 연수구,321278,329127,337990.5,353687,374305.5
인천광역시 남동구,526960,529469,532600.5,530639.5,524803
인천광역시 부평구,546668.5,538647,526258,512190.5,497592.5
인천광역시 계양구,329338.5,324107,315358,305245,297385.5
인천광역시 서구,503911,509602,523621,537891,539670
인천광역시 강화군,67357,67897.5,68326.5,68509.5,68662
인천광역시 옹진군,21012,21330.5,21158.5,20643,20366.5
광주광역시 동구,95618.5,93963,93322.5,94881.5,99138
광주광역시 서구,305548,306487.5,303815,300833,297084
광주광역시 남구,219000.5,217588,215905.5,215693,214844.5
광주광역시 북구,441130.5,437357,436802,434200,429591
광주광역시 광산구,400233.5,401875.5,402626.5,403235.5,403809.5
대전광역시 동구,234575.5,230113.5,227308,225503.5,222608
대전광역시 중구,251735.5,248209,244282,240119.5,235822
대전광역시 서구,487806.5,486115.5,482977,479826,476497
대전광역시 유성구,337939,344436.5,347679.5,348086.5,348735
대전광역시 대덕구,193317.5,188415.5,183135.5,178234,175496.5
울산광역시 중구,241863.5,239029,233780,226293.5,219175.5
울산광역시 남구,339827,335808.5,330909,325167,319908
울산광역시 동구,173738.5,171129,166241.5,161242,157345.5
울산광역시 북구,192594,197422,202992.5,211523.5,217824.5
울산광역시 울주군,218291.5,218958.5,220258.5,221479,221860
경기도 장안구,295511.5,292924,287909,280200.5,273907.5
경기도 권선구,352354,359659,369309.5,372313,367861.5
경기도 팔달구,195962,193076,184309,175566,172566.5
경기도 영통구,336790.5,343851,351510.5,360785,367134
경기도 수정구,222394,231118,231841.5,230715.5,234558.5
