SIG_CD,SIG_KOR_NM,지역,시군구,코드,행정구역별,구분,
11110,종로구,서울,종로구,1101,서울 종로구,안심,
11140,중구,서울,중구,1102,서울 중구,안심,
11170,용산구,서울,용산구,1103,서울 용산구,안심,
11200,성동구,서울,성동구,1104,서울 성동구,안심,
11215,광진구,서울,광진구,1105,서울 광진구,안심,
11230,동대문구,서울,동대문구,1106,서울 동대문구,안심,
11260,중랑구,서울,중랑구,1107,서울 중랑구,안심,
11290,성북구,서울,성북구,1108,서울 성북구,안심,
11305,강북구,서울,강북구,1109,서울 강북구,안심,
11320,도봉구,서울,도봉구,1110,서울 도봉구,안심,
11350,노원구,서울,노원구,1111,서울 노원구,안심,
11380,은평구,서울,은평구,1112,서울 은평구,안심,
11410,서대문구,서울,서대문구,1113,서울 서대문구,안심,
11440,마포구,서울,마포구,1114,서울 마포구,안심,
11470,양천구,서울,양천구,1115,서울 양천구,안심,
11500,강서구,서울,강서구,1116,서울 강서구,안심,
11530,구로구,서울,구로구,1117,서울 구로구,안심,
11545,금천구,서울,금천구,1118,서울 금천구,안심,
11560,영등포구,서울,영등포구,1119,서울 영등포구,안심,
11590,동작구,서울,동작구,1120,서울 동작구,안심,
11620,관악구,서울,관악구,1121,서울 관악구,안심,
11650,서초구,서울,서초구,1122,서울 서초구,안심,
11680,강남구,서울,강남구,1123,서울 강남구,안심,
11710,송파구,서울,송파구,1124,서울 송파구,안심,
11740,강동구,서울,강동구,1125,서울 강동구,안심,
26110,중구,부산,중구,2101,부산 중구,관심,
26140,서구,부산,서구,2102,부산 서구,감소,
26170,동구,부산,동구,2103,부산 동구,감소,
26200,영도구,부산,영도구,2104,부산 영도구,감소,
26230,부산진구,부산,부산진구,2105,부산 부산진구,안심,
26260,동래구,부산,동래구,2106,부산 동래구,안심,
26290,남구,부산,남구,2107,부산 남구,안심,
26320,북구,부산,북구,2108,부산 북구,안심,
26350,해운대구,부산,해운대구,2109,부산 해운대구,안심,
26380,사하구,부산,사하구,2110,부산 사하구,안심,
26410,금정구,부산,금정구,2111,부산 금정구,관심,
26440,강서구,부산,강서구,2112,부산 강서구,안심,
26470,연제구,부산,연제구,2113,부산 연제구,안심,
26500,수영구,부산,수영구,2114,부산 수영구,안심,
26530,사상구,부산,사상구,2115,부산 사상구,안심,
26710,기장군,부산,기장군,2131,부산 기장군,안심,
27110,중구,대구,중구,2201,대구 중구,안심,
27140,동구,대구,동구,2202,대구 동구,안심,
27170,서구,대구,서구,2203,대구 서구,감소,
27200,남구,대구,남구,2204,대구 남구,감소,
27230,북구,대구,북구,2205,대구 북구,안심,
27260,수성구,대구,수성구,2206,대구 수성구,안심,
27290,달서구,대구,달서구,2207,대구 달서구,안심,
27710,달성군,대구,달성군,2231,대구 달성군,안심,
28110,중구,인천,중구,2301,인천 중구,안심,
28140,동구,인천,동구,2302,인천 동구,관심,
28185,연수구,인천,연수구,2304,인천 연수구,안심,
28200,남동구,인천,남동구,2305,인천 남동구,안심,
28237,부평구,인천,부평구,2306,인천 부평구,안심,
28245,계양구,인천,계양구,2307,인천 계양구,안심,
28260,서구,인천,서구,2308,인천 서구,안심,
28177,미추홀구,인천,미추홀구,2309,인천 미추홀구,안심,
28710,강화군,인천,강화군,2331,인천 강화군,감소,
28720,옹진군,인천,옹진군,2332,인천 옹진군,감소,
29110,동구,광주,동구,2401,광주 동구,관심,
29140,서구,광주,서구,2402,광주 서구,안심,
29155,남구,광주,남구,2403,광주 남구,안심,
29170,북구,광주,북구,2404,광주 북구,안심,
29200,광산구,광주,광산구,2405,광주 광산구,안심,
30110,동구,대전,동구,2501,대전 동구,관심,
30140,중구,대전,중구,2502,대전 중구,관심,
30170,서구,대전,서구,2503,대전 서구,안심,
30200,유성구,대전,유성구,2504,대전 유성구,안심,
30230,대덕구,대전,대덕구,2505,대전 대덕구,관심,
31110,중구,울산,중구,2601,울산 중구,안심,
31140,남구,울산,남구,2602,울산 남구,안심,
31170,동구,울산,동구,2603,울산 동구,안심,
31200,북구,울산,북구,2604,울산 북구,안심,
31710,울주군,울산,울주군,2631,울산 울주군,안심,
36110,세종시,세종,세종시,,세종특별자치시,안심,
41110,수원시,경기,수원시,3101,수원시,안심,
41111,수원시 장안구,경기,장안구,,,안심,
41113,수원시 권선구,경기,권선구,,,안심,
41115,수원시 팔달구,경기,팔달구,,,안심,
41117,수원시 영통구,경기,영통구,,,안심,
41130,성남시,경기,성남시,3102,성남시,안심,
41131,성남시 수정구,경기,수정구,,,안심,
41133,성남시 중원구,경기,중원구,,,안심,
41135,성남시 분당구,경기,분당구,,,안심,
41150,의정부시,경기,의정부시,3103,의정부시,안심,
41170,안양시,경기,안양시,3104,안양시,안심,
41171,안양시 만안구,경기,만안구,,,안심,
41173,안양시 동안구,경기,동안구,,,안심,
41190,부천시,경기,부천시,3105,부천시,안심,
41210,광명시,경기,광명시,3106,광명시,안심,
41220,평택시,경기,평택시,3107,평택시,안심,
41250,동두천시,경기,동두천시,3108,동두천시,관심,
41270,안산시,경기,안산시,3109,안산시,안심,
41271,안산시 상록구,경기,상록구,,,안심,
41273,안산시 단원구,경기,단원구,,,안심,
41280,고양시,경기,고양시,3110,고양시,안심,
41281,고양시 덕양구,경기,덕양구,,,안심,
41285,고양시 일산동구,경기,일산동구,,,안심,
41287,고양시 일산서구,경기,일산서구,,,안심,
41290,과천시,경기,과천시,3111,과천시,안심,
41310,구리시,경기,구리시,3112,구리시,안심,
41360,남양주시,경기,남양주시,3113,남양주시,안심,
41370,오산시,경기,오산시,3114,오산시,안심,
41390,시흥시,경기,시흥시,3115,시흥시,안심,
41410,군포시,경기,군포시,3116,군포시,안심,
41430,의왕시,경기,의왕시,3117,의왕시,안심,
41450,하남시,경기,하남시,3118,하남시,안심,
41460,용인시,경기,용인시,3119,용인시,안심,
41461,용인시 처인구,경기,처인구,,,안심,
41463,용인시 기흥구,경기,기흥구,,,안심,
41465,용인시 수지구,경기,수지구,,,안심,
41480,파주시,경기,파주시,3120,파주시,안심,
41500,이천시,경기,이천시,3121,이천시,안심,
41550,안성시,경기,안성시,3122,안성시,안심,
41570,김포시,경기,김포시,3123,김포시,안심,
41590,화성시,경기,화성시,3124,화성시,안심,
41610,광주시,경기,광주시,3125,광주시,안심,
41630,양주시,경기,양주시,3126,양주시,안심,
41650,포천시,경기,포천시,3127,포천시,관심,
41670,여주시,경기,여주시,3128,여주시,안심,
41800,연천군,경기,연천군,3135,연천군,감소,
41820,가평군,경기,가평군,3137,가평군,감소,
41830,양평군,경기,양평군,3138,양평군,안심,
42110,춘천시,강원,춘천시,3201,춘천시,안심,
42130,원주시,강원,원주시,3202,원주시,안심,
42150,강릉시,강원,강릉시,3203,강릉시,관심,
42170,동해시,강원,동해시,3204,동해시,관심,
42190,태백시,강원,태백시,3205,태백시,감소,
42210,속초시,강원,속초시,3206,속초시,관심,
42230,삼척시,강원,삼척시,3207,삼척시,감소,
42720,홍천군,강원,홍천군,3231,홍천군,감소,
42730,횡성군,강원,횡성군,3232,횡성군,감소,
42750,영월군,강원,영월군,3233,영월군,감소,
42760,평창군,강원,평창군,3234,평창군,감소,
42770,정선군,강원,정선군,3235,정선군,감소,
42780,철원군,강원,철원군,3236,철원군,감소,
42790,화천군,강원,화천군,3237,화천군,감소,
42800,양구군,강원,양구군,3238,양구군,감소,
42810,인제군,강원,인제군,3239,인제군,관심,
42820,고성군,강원,고성군,3240,고성군,감소,
42830,양양군,강원,양양군,3241,양양군,감소,
43110,청주시,충북,청주시,3301,청주시,안심,
43112,청주시 서원구,충북,서원구,,,안심,
43114,청주시 청원구,충북,청원구,,,안심,
43111,청주시 상당구,충북,상당구,,,안심,
43113,청주시 흥덕구,충북,흥덕구,,,안심,
43130,충주시,충북,충주시,3302,충주시,안심,
43150,제천시,충북,제천시,3303,제천시,감소,
43720,보은군,충북,보은군,3332,보은군,감소,
43730,옥천군,충북,옥천군,3333,옥천군,감소,
43740,영동군,충북,영동군,3334,영동군,감소,
43750,진천군,충북,진천군,3335,진천군,안심,
43760,괴산군,충북,괴산군,3336,괴산군,감소,
43770,음성군,충북,음성군,3337,음성군,안심,
43800,단양군,충북,단양군,3338,단양군,감소,
43745,증평군,충북,증평군,3339,증평군,안심,
44130,천안시,충남,천안시,3401,천안시,안심,
44131,천안시 동남구,충남,동남구,,,안심,
44133,천안시 서북구,충남,서북구,,,안심,
44150,공주시,충남,공주시,3402,공주시,감소,
44180,보령시,충남,보령시,3403,보령시,감소,
44200,아산시,충남,아산시,3404,아산시,안심,
44210,서산시,충남,서산시,3405,서산시,안심,
44230,논산시,충남,논산시,3406,논산시,감소,
44250,계룡시,충남,계룡시,3407,계룡시,안심,
44270,당진시,충남,당진시,3408,당진시,안심,
44710,금산군,충남,금산군,3431,금산군,감소,
44760,부여군,충남,부여군,3433,부여군,감소,
44770,서천군,충남,서천군,3434,서천군,감소,
44790,청양군,충남,청양군,3435,청양군,감소,
44800,홍성군,충남,홍성군,3436,홍성군,안심,
44810,예산군,충남,예산군,3437,예산군,감소,
44825,태안군,충남,태안군,3438,태안군,감소,
45110,전주시,전북,전주시,3501,전주시,안심,
45111,전주시 완산구,전북,완산구,,,안심,
45113,전주시 덕진구,전북,덕진구,,,안심,
45130,군산시,전북,군산시,3502,군산시,안심,
45140,익산시,전북,익산시,3503,익산시,관심,
45180,정읍시,전북,정읍시,3504,정읍시,감소,
45190,남원시,전북,남원시,3505,남원시,감소,
45210,김제시,전북,김제시,3506,김제시,감소,
45710,완주군,전북,완주군,3531,완주군,안심,
