행정구역(시군구)별,youth_2016,youth_2017,youth_2018,youth_2019,youth_2020
부산광역시 중구,3322.0,3068,2774,2510,2284
부산광역시 서구,9918.0,9489,9354,9189,8989
부산광역시 동구,7188.5,6813,6506,6332,6338
부산광역시 영도구,11269.0,10652,10053,9433,8825
부산광역시 부산진구,39603.5,38069,36385,34654,33445
부산광역시 동래구,32076.0,31860,31197,31176,31771
부산광역시 남구,32578.0,31192,31098,31152,29880
부산광역시 북구,36851.0,35602,33902,32318,30645
부산광역시 해운대구,54591.5,52316,50140,48487,47197
부산광역시 사하구,39834.5,38394,36853,34921,32870
부산광역시 금정구,24892.0,24275,23760,22878,21766
부산광역시 강서구,18079.5,21113,23131,24681,26293
부산광역시 연제구,24394.5,23781,23416,23218,22921
부산광역시 수영구,17789.5,17461,16853,16144,15842
부산광역시 사상구,25380.0,24104,22832,21444,20028
부산광역시 기장군,28103.5,28432,28360,27907,27976
대구광역시 중구,8064.5,8024,8084,7929,7612
대구광역시 동구,44182.0,43246,42213,40901,39036
대구광역시 서구,17972.5,16499,15137,13815,12679
대구광역시 남구,14207.0,13248,12396,11726,11213
대구광역시 북구,63308.0,60887,58805,56562,54715
대구광역시 수성구,63031.5,60346,57972,56090,54731
대구광역시 달서구,81522.0,77259,73533,70571,67558
대구광역시 달성군,32782.5,37848,40840,41827,42158
인천광역시 중구,17069.0,16758,16648,17486,18420
인천광역시 동구,8913.5,8483,7860,7155,6527
인천광역시 미추홀구,48707.5,48838,47633,45537,43209
인천광역시 연수구,50906.5,51803,53060,55115,58305
인천광역시 남동구,77586.5,76028,74357,71684,68366
인천광역시 부평구,70491.0,67416,63505,59313,55272
인천광역시 계양구,42852.0,40370,37404,34383,31933
인천광역시 서구,82828.5,81440,81547,81768,79664
인천광역시 강화군,5997.0,5922,5747,5602,5575
인천광역시 옹진군,1841.5,1813,1737,1605,1502
광주광역시 동구,9736.0,9328,9134,9343,10057
광주광역시 서구,44453.0,43072,41236,39224,37239
광주광역시 남구,30388.5,29772,29206,29031,28854
광주광역시 북구,61641.5,59538,58228,56395,54396
광주광역시 광산구,77249.5,75024,72612,69984,67285
대전광역시 동구,30925.0,29277,27826,26459,25055
대전광역시 중구,33064.5,31381,29553,27813,26202
대전광역시 서구,71203.0,69339,67144,64948,62816
대전광역시 유성구,60357.0,59710,58454,56540,54734
대전광역시 대덕구,25517.5,23796,22053,20379,19211
울산광역시 중구,32468.0,31665,30523,28772,27116
울산광역시 남구,45507.0,43760,41948,40101,38663
울산광역시 동구,27279.0,26974,25991,24742,23594
울산광역시 북구,34506.5,35147,35977,37356,38167
울산광역시 울주군,33094.0,32050,31243,30354,29303
경기도 장안구,42452.0,40407,37956,35079,32689
경기도 권선구,52346.5,52579,53105,52134,49890
경기도 팔달구,23100.0,21696,19644,17571,16153
경기도 영통구,60761.5,60341,59807,59578,59011
경기도 수정구,24587.0,25624,25323,24410,24072
경기도 중원구,28412.5,26517,24641,22814,21490
경기도 분당구,75183.0,73531,71391,68845,66817
경기도 의정부시,58170.0,57090,56288,55424,54706
경기도 만안구,29162.0,28854,27781,26236,24759
경기도 동안구,49576.5,47256,44839,42946,41011
경기도 부천시,107999.0,105653,102808,98367,93163
경기도 광명시,51018.0,48358,45617,42611,39586
경기도 평택시,71974.0,71798,72028,72954,74819
경기도 동두천시,13362.0,12822,12130,11424,10804
경기도 상록구,51312.0,48312,44689,40696,38965
경기도 단원구,43974.5,41467,38931,37082,35412
경기도 덕양구,61933.5,60480,58916,58231,58625
경기도 일산동구,38673.0,37845,36741,35860,35019
경기도 일산서구,45063.5,43537,41772,40359,39246
경기도 과천시,8949.5,7995,7502,7429,7744
경기도 구리시,26034.5,26470,26752,25876,24455
경기도 남양주시,107631.5,105384,104676,105564,105141
경기도 오산시,39180.0,38765,38732,38283,37380
경기도 시흥시,61264.5,61459,64763,68881,72083
경기도 군포시,42948.0,40839,38340,36158,34290
경기도 의왕시,21762.0,20674,19670,19490,19960
경기도 하남시,28136.5,34254,37965,40831,42889
경기도 처인구,32097.0,31916,33282,34531,33997
경기도 기흥구,77727.5,76345,74547,72767,70338
경기도 수지구,61932.5,60572,59813,59577,59795
경기도 파주시,70893.0,70465,70570,70213,69511
경기도 이천시,32729.0,32734,32084,31169,30210
경기도 안성시,26668.0,25921,25001,24105,23274
경기도 김포시,62884.5,66448,71885,75097,78593
경기도 화성시,125841.0,133089,142176,151409,156704
경기도 광주시,48610.0,49965,51665,52478,52343
