sigungu,2020,pop,인구감소지수 분류,rate
강원도 고성군,2044,26791.5,인구감소지역,7.629285407685274
강원도 삼척시,6352,65623.0,인구감소지역,9.679533090532283
강원도 양구군,2649,22379.0,인구감소지역,11.836990035300952
강원도 양양군,2206,27627.5,인구감소지역,7.984797755859198
강원도 영월군,2899,38345.0,인구감소지역,7.560307732429261
강원도 정선군,3045,36313.0,인구감소지역,8.385426706689064
강원도 철원군,5211,44767.5,인구감소지역,11.640140727089964
강원도 태백시,4548,42288.0,인구감소지역,10.754824063564133
강원도 평창군,3323,41489.0,인구감소지역,8.009351876400974
강원도 홍천군,6330,68652.0,인구감소지역,9.220416011186854
강원도 화천군,2690,24703.5,인구감소지역,10.88914526281701
강원도 횡성군,3714,46150.0,인구감소지역,8.047670639219936
경기도 가평군,5637,61675.0,인구감소지역,9.139845966761248
경기도 연천군,4304,43104.5,인구감소지역,9.985036365112691
경상남도 거창군,6468,61478.0,인구감소지역,10.520836722079444
경상남도 고성군,4621,51428.0,인구감소지역,8.985377615306838
경상남도 남해군,2918,43004.5,인구감소지역,6.785336418281808
경상남도 밀양시,9501,104300.5,인구감소지역,9.109256427342151
경상남도 산청군,2436,34845.0,인구감소지역,6.990959965561773
경상남도 의령군,1797,26832.0,인구감소지역,6.697227191413238
경상남도 창녕군,5282,61341.5,인구감소지역,8.610809973671984
경상남도 하동군,3361,45389.5,인구감소지역,7.404796263453001
경상남도 함안군,7379,64502.0,인구감소지역,11.4399553502217
경상남도 함양군,3272,39045.0,인구감소지역,8.380074273274426
경상남도 합천군,2812,44159.5,인구감소지역,6.367825722664433
경상북도 고령군,2496,31646.5,인구감소지역,7.887128118433317
경상북도 군위군,1169,23384.5,인구감소지역,4.999037824199791
경상북도 문경시,6631,71266.5,인구감소지역,9.304511937586383
경상북도 봉화군,2310,31492.0,인구감소지역,7.335196240315001
경상북도 상주시,8846,98240.5,인구감소지역,9.004432998610552
경상북도 성주군,3038,43399.5,인구감소지역,7.000080646090392
경상북도 안동시,17370,158634.0,인구감소지역,10.949733348462498
경상북도 영덕군,2758,36484.0,인구감소지역,7.559478127398311
경상북도 영양군,1214,16667.0,인구감소지역,7.283854322913541
경상북도 영주시,10545,103452.0,인구감소지역,10.193133047210301
경상북도 영천시,8926,101506.0,인구감소지역,8.793568853072726
경상북도 울릉군,664,9184.5,인구감소지역,7.229571560781752
