시군구,소멸위험지수,인구성장률 2011-2021,인구성장률 2016-2021
　　　종로구,0.81614520,-1.38503100,-0.76471400
　　　중구,0.85651509,-0.67661500,-0.11938000
　　　용산구,0.99452600,-0.80483100,-0.31776700
　　　성동구,1.04165357,-0.48217300,-0.51583000
　　　광진구,1.21953917,-0.82818500,-0.82529600
　　　동대문구,0.86570789,-0.69298400,-0.91147400
　　　중랑구,0.80072730,-0.80552200,-1.00530100
　　　성북구,0.88185470,-1.13207500,-0.88206400
　　　강북구,0.62597342,-1.26285000,-1.53539100
　　　도봉구,0.64674411,-1.31343600,-1.66848300
　　　노원구,0.77692658,-1.60417900,-1.96795500
　　　은평구,0.81481327,-0.26690300,-0.69856700
　　　서대문구,0.92123124,-0.32455200,-0.23079700
　　　마포구,1.28100775,-0.53221700,-0.65480500
　　　양천구,0.86654235,-1.02789100,-1.27764600
　　　강서구,1.06223010,0.12342000,-0.47748300
　　　구로구,0.83513743,-0.58625200,-0.90831700
　　　금천구,0.88251317,-0.49672200,-0.30597100
　　　영등포구,1.09540830,-0.58483900,0.29370700
　　　동작구,0.99941471,-0.32698400,-0.59974400
　　　관악구,1.21115131,-0.73628500,-0.65787800
　　　서초구,1.03420759,-0.37390500,-1.31374800
　　　강남구,1.07730183,-0.59093000,-1.27824400
　　　송파구,1.11541507,-0.29219700,0.16340700
　　　강동구,0.94295140,-0.64687300,0.48768900
　　　부산-중구,0.45573921,-1.69390200,-1.90600000
　　　부산-서구,0.44523014,-1.50410500,-1.27552600
　　　부산-동구,0.43073724,-1.28358100,-0.48352600
　　　영도구,0.32034224,-2.54710400,-2.57154500
　　　부산진구,0.70325918,-0.98127000,-1.14402300
　　　동래구,0.62114402,-0.48772000,-0.24652300
　　　부산-남구,0.56361954,-1.10748700,-1.12826300
　　　부산-북구,0.65126923,-0.86370900,-1.77580700
　　　해운대구,0.64933390,-0.64051600,-1.04949900
　　　사하구,0.57694346,-1.42128800,-1.64831600
　　　금정구,0.54362948,-0.97560900,-1.20264000
　　　강서구,1.11200727,8.01043800,6.52238500
　　　연제구,0.62948095,-0.17833000,-0.00745200
　　　수영구,0.63795879,-0.05820200,-0.37462100
　　　사상구,0.61994889,-1.93359800,-2.18788300
　　　기장군,0.71247138,5.16619000,2.44545200
　　　대구-중구,0.72330412,-0.13780400,-1.14308600
　　　대구-동구,0.57700682,0.10549700,-0.46771800
　　　대구-서구,0.43001136,-2.83104200,-3.75338500
　　　대구-남구,0.52756195,-1.55391100,-1.73132600
　　　대구-북구,0.81854066,-0.25187200,-0.10292700
　　　수성구,0.68974907,-0.90762700,-1.29335700
　　　달서구,0.81146047,-0.93298000,-1.56679100
　　　달성군,0.95046086,3.76438800,4.80677900
　　　인천-중구,0.91913643,4.23716600,4.27943200
　　　인천-동구,0.42455073,-2.41273000,-2.86212600
　　　미추홀구,0.75007519,-0.32954500,-0.19112000
　　　연수구,1.36495755,3.17391900,3.67651700
　　　남동구,0.92807999,0.76812500,-0.33625200
　　　부평구,0.88152865,-1.37289200,-2.34574600
　　　계양구,0.98518604,-1.54200700,-2.27774700
