행정구역(시군구)별,20~39세 여성 인구수,65세이상 인구수,소멸위험지수,2021년 총인구수,2011년 총인구수,인구성장률,2016년 총인구수,인구성장률
　　　종로구,"21,494","26,336",0.81614520,142767,163976,-1.385031,148332,-0.764714
　　　중구,"19,589","22,870",0.85651509,120431,128861,-0.676615,121152,-0.119380
　　　용산구,"35,973","36,171",0.99452600,218386,236689,-0.804831,221883,-0.317767
　　　성동구,"46,402","44,546",1.04165357,285433,299533,-0.482173,292891,-0.515830
　　　광진구,"60,655","49,736",1.21953917,338991,368261,-0.828185,353272,-0.825296
　　　동대문구,"52,220","60,320",0.86570789,335066,359109,-0.692984,350690,-0.911474
　　　중랑구,"55,488","69,297",0.80072730,386617,419048,-0.805522,406547,-1.005301
　　　성북구,"63,666","72,195",0.88185470,427809,479088,-1.132075,447099,-0.882064
　　　강북구,"39,147","62,537",0.62597342,299249,339529,-1.262850,323127,-1.535391
　　　도봉구,"40,195","62,149",0.64674411,317795,362400,-1.313436,345444,-1.668483
　　　노원구,"66,580","85,696",0.77692658,512275,601411,-1.604179,565245,-1.967955
　　　은평구,"68,312","83,837",0.81481327,469877,482587,-0.266903,486579,-0.698567
　　　서대문구,"48,051","52,159",0.92123124,303145,313145,-0.324552,306663,-0.230797
　　　마포구,"67,092","52,374",1.28100775,364220,384129,-0.532217,376342,-0.654805
　　　양천구,"57,158","65,961",0.86654235,446398,494724,-1.027891,475846,-1.277646
　　　강서구,"94,701","89,153",1.06223010,571614,564603,0.123420,585425,-0.477483
　　　구로구,"57,941","69,379",0.83513743,396843,420804,-0.586252,415282,-0.908317
　　　금천구,"34,505","39,098",0.88251317,228300,239926,-0.496722,231819,-0.305971
　　　영등포구,"64,818","59,172",1.09540830,372444,394875,-0.584839,367014,0.293707
　　　동작구,"64,034","64,071",0.99941471,383558,396307,-0.326984,395234,-0.599744
　　　관악구,"93,731","77,390",1.21115131,484198,521194,-0.736285,500390,-0.657878
　　　서초구,"60,331","58,335",1.03420759,411435,427110,-0.373905,439369,-1.313748
　　　강남구,"79,751","74,028",1.07730183,525570,557564,-0.590930,560257,-1.278244
　　　송파구,"104,240","93,454",1.11541507,655395,674828,-0.292197,650062,0.163407
　　　강동구,"66,595","70,624",0.94295140,456069,486546,-0.646873,445083,0.487689
　　　부산-중구,"4,963","10,890",0.45573921,40175,47590,-1.693902,44192,-1.906000
　　　부산-서구,"11,995","26,940",0.44523014,105119,122181,-1.504105,112042,-1.275526
　　　부산-동구,"9,944","23,086",0.43073724,86920,98824,-1.283581,89047,-0.483526
　　　영도구,"10,016","31,265",0.32034224,110598,142681,-2.547104,125773,-2.571545
　　　부산진구,"49,629","70,570",0.70325918,353065,389467,-0.981270,373850,-1.144023
　　　동래구,"31,231","50,279",0.62114402,266722,280053,-0.487720,270030,-0.246523
