"행정구역_시군구_별__성별_인구수_20221213155636_분석(전년_대비_증감,증감률)",,,,,,,,,,,,,,,,,,
행정구역(시군구)별,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
행정구역(시군구)별,총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
행정구역(시군구)별,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
청주시 서원구,217120,-2925,-1.32927356,216782,-338,-0.15567428,209404,-7378,-3.4034191,203209,-6195,-2.95839621,194720,-8489,-4.17747245,192899,-1821,-0.93518899
청주시 청원구,190813,8796,4.83251564,193767,2954,1.54811255,197225,3458,1.78461761,195868,-1357,-0.68804665,194373,-1495,-0.76326914,194327,-46,-0.02366584
청주시 상당구,173701,-2723,-1.5434408,171129,-2572,-1.48070535,176818,5689,3.32439271,178352,1534,0.86755873,190034,11682,6.5499686,193827,3793,1.99595862
청주시 흥덕구,253563,137,0.05405917,253912,349,0.13763838,254302,390,0.15359652,262137,7835,3.08098245,265866,3729,1.4225386,267429,1563,0.58789014
충주시,208350,437,0.21018407,208316,-34,-0.01631869,210504,2188,1.05032739,210737,233,0.11068673,210186,-551,-0.26146334,209358,-828,-0.3939368
제천시,136517,379,0.27839398,136432,-85,-0.06226331,135386,-1046,-0.7666823,134617,-769,-0.56800555,133018,-1599,-1.18781432,131591,-1427,-1.07278714
보은군,34221,-75,-0.21868439,34053,-168,-0.49092662,33680,-373,-1.09535136,32949,-731,-2.17042755,32412,-537,-1.6297915,31878,-534,-1.64753795
옥천군,52267,-137,-0.26143043,51766,-501,-0.95853981,51465,-301,-0.58146274,51023,-442,-0.8588361,50527,-496,-0.97211062,50093,-434,-0.8589467
영동군,50552,-141,-0.27814491,50240,-312,-0.61718626,49715,-525,-1.04498408,48738,-977,-1.96520165,47475,-1263,-2.59140712,45773,-1702,-3.58504476
증평군,37308,637,1.73706744,37783,475,1.27318538,37317,-466,-1.23335892,37392,75,0.20098079,36807,-585,-1.56450578,36426,-381,-1.03512919
진천군,69950,1969,2.89639752,73677,3727,5.32809149,78218,4541,6.16338885,81084,2866,3.66411823,83718,2634,3.24848305,85176,1458,1.74156095
괴산군,38973,186,0.47954211,39054,81,0.20783619,39133,79,0.20228402,39163,30,0.07666164,39393,230,0.58728902,38122,-1271,-3.22646155
음성군,97787,1391,1.44300593,97306,-481,-0.49188542,95830,-1476,-1.51686432,94982,-848,-0.88490034,93153,-1829,-1.92562801,92197,-956,-1.02626861
단양군,30503,-258,-0.83872436,30215,-288,-0.94416943,30255,40,0.13238458,29756,-499,-1.64931416,29155,-601,-2.01976072,28331,-824,-2.82627337
당진시,166630,1508,0.91326413,167439,809,0.48550681,167770,331,0.19768393,167042,-728,-0.4339274,166249,-793,-0.47473091,167092,843,0.50707072
천안시 동남구,258919,-2555,-0.9771526,255878,-3041,-1.17449859,257978,2100,0.82070362,259411,1433,0.55547372,258009,-1402,-0.54045511,255292,-2717,-1.05306404
천안시 서북구,359036,14734,4.27938264,375653,16617,4.6282267,388097,12444,3.3126316,392847,4750,1.22392082,400799,7952,2.02419772,403194,2395,0.59755638
공주시,109931,-1330,-1.19538742,108432,-1499,-1.36358261,107581,-851,-0.78482367,106474,-1107,-1.02899211,104545,-1929,-1.8117099,103145,-1400,-1.33913626
보령시,103873,-881,-0.841018,103198,-675,-0.64983201,101990,-1208,-1.17056532,101114,-876,-0.85890774,100229,-885,-0.87524972,98408,-1821,-1.81683944
