소재지(시군구)별(2),인구변화량
춘천시,1.3847178730847467
원주시,5.85184286597688
강릉시,-0.4119787136537508
동해시,-3.447056175439725
태백시,-13.22710856171659
속초시,1.2201533138532636
삼척시,-8.865069900429603
홍천군,-2.44163479650665
횡성군,1.0654258441869062
영월군,-5.412621964914032
평창군,-5.360358280622374
정선군,-7.859393563717135
철원군,-9.732780705225668
화천군,-7.877703320134024
양구군,-9.421074552269888
인제군,-1.6962102689486551
고성군,-9.513847379956166
양양군,2.5534572709236536
청주시,1.5906426866954742
충주시,0.4838012958963283
제천시,-3.608341818235092
보은군,-6.846673095467695
옥천군,-4.159412248646373
영동군,-9.453631903782245
진천군,21.76697641172266
괴산군,-2.1835629794986273
음성군,-5.71650628406639
단양군,-7.120611087434023
증평군,-2.3641042135734964
천안시,6.558891828693028
공주시,-6.172963040452648
보령시,-5.261232466569753
아산시,7.147219315417145
서산시,3.42939784996604
논산시,-7.085291324779042
계룡시,1.6348454285312193
당진시,0.2772609974194323
금산군,-7.5715959862301325
부여군,-9.137019676008377
서천군,-9.403342140969793
청양군,-7.061948523799347
홍성군,-0.6471876844284842
예산군,-5.579119487576685
태안군,-3.7151799687010953
전주시,0.8477254873079
군산시,-4.412522383273704
익산시,-7.443448627025516
정읍시,-7.541698141057365
남원시,-5.650448995106191
김제시,-7.825066642364038
완주군,-4.543359865940511
진안군,-4.150523610418505
무주군,-4.8138201931941165
장수군,-8.180971728457761
임실군,-11.481272974136504
순창군,-10.330895856289024
고창군,-11.89992903939139
부안군,-10.893781247259012
목포시,-8.055051968755652
여수시,-4.23062549310006
순천시,1.03680514668926
나주시,11.832221966735649
광양시,-3.2452757423833396
담양군,-2.2210929725380595
곡성군,-9.424342105263158
구례군,-7.941777323799795
고흥군,-7.233652595483033
보성군,-11.455171018012548
화순군,-4.102414896712249
장흥군,-10.135484029604859
강진군,-10.595184488649908
해남군,-10.589582140812821
영암군,-7.201332281532123
무안군,10.95860380713442
함평군,-9.07928016978225
영광군,-6.532057966845266
장성군,-5.940916189484644
완도군,-7.6649958228905595
진도군,-6.272211484506515
신안군,-10.398105598799587
포항시,-2.5007014658216824
경주시,-2.914990055964109
김천시,-1.4178663817343382
안동시,-7.00600718017986
구미시,-1.7409280027435692
영주시,-6.68668247182989
영천시,1.3599148436645079
상주시,-6.122849929763554
문경시,-4.749538164975502
경산시,4.004076934703163
군위군,-5.072193951429399
의성군,-6.261339652682637
청송군,-6.699365043154253
영양군,-7.86428047196974
영덕군,-9.5718529140633
청도군,-3.8403268754017077
고령군,-10.599293575035759
성주군,-5.22729786528039
칠곡군,-7.611263078434079
예천군,20.73603950959581
봉화군,-8.279912937177613
울진군,-7.499323514631412
울릉군,-11.338866113388661
창원시,-2.929391384773293
진주시,0.10324768774207689
통영시,-9.247973364215403
사천시,-4.315476190476191
김해시,1.5584920913751223
밀양시,-4.456688262546837
거제시,-6.208419685593527
양산시,11.887886902790527
의령군,-6.364056774927965
함안군,-9.26933286914139
창녕군,-6.022006189240724
고성군,-7.723525217995357
남해군,-6.344035985729797
하동군,-12.440046753456128
산청군,-4.8146711729181675
함양군,-4.798588504261823
거창군,-3.5303595122259432
합천군,-10.600508058135178
청주시 서원구,-11.1555822
청주시 청원구,1.8415936
청주시 상당구,11.5865769
청주시 흥덕구,5.4684635
천안시동남구,-1.4008242
천안시서북구,12.2990452
"전주시완산구,",-7.1967279
전주시덕진구,10.8886198
포항시 남구,-5.6985144
포항시 북구,0.3764332
창원시 의창구,8.6327735
창원시 성산구,-11.1555822
창원시 마산합포구,-0.2612804
창원시 마산회원구,-11.342989
창원시 진해구,4.0765991
