sigungu,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전주시,645894,648863,650082,652877,652282,651744,648964,651091,654394,657432,657269
군산시,275659,278341,278319,278098,278398,277551,274997,272645,270131,267859,265304
익산시,309804,306469,306539,304117,302061,300479,300187,294062,287771,282276,278113
정읍시,120466,119392,118328,117183,115977,115173,113776,112169,110541,108508,106487
남원시,87455,87000,86460,85643,84856,84188,83281,82554,81441,80662,79431
김제시,93111,92317,91218,90108,88721,87782,86926,85331,83895,82450,80913
완주군,84660,86164,86978,90377,95303,95480,95975,94444,92220,91609,91142
진안군,28473,26963,26703,26474,26203,26069,26271,25963,25697,25394,24987
무주군,25863,25321,25398,25390,25220,24949,24809,24589,24303,24036,23748
장수군,23215,23191,23243,23335,23277,23628,23003,23221,22441,22085,21695
임실군,30789,29956,29739,29966,30271,30197,30162,30072,28902,27314,26730
순창군,29497,30055,30272,30368,30248,29949,29698,29209,28382,27810,26855
고창군,60065,60440,60522,60090,60046,60597,60472,57041,55504,54529,53386
부안군,59080,58869,59164,57534,56848,57005,56086,54441,53295,52140,50795
목포시,244871,245073,240936,239109,238382,237739,234379,232327,229861,224044,218589
여수시,292750,292217,291366,290900,290168,288988,286382,283300,282786,280242,276762
순천시,272201,273798,275668,277188,278765,278548,279331,279389,279598,282189,281436
나주시,88243,88067,87754,90669,98182,104376,110110,113839,114664,115613,116726
광양시,150725,150837,151621,152097,153587,155580,155857,156564,156750,151769,150531
담양군,47819,47612,47365,47177,47009,47229,47285,46917,46535,46280,46180
곡성군,31332,30878,31009,30732,30672,30400,30131,29624,28887,28039,27535
구례군,27422,27077,27115,27170,27308,27412,27525,27117,26563,25719,25235
고흥군,72607,71560,70631,69641,68601,67656,66736,65777,64913,63922,62762
보성군,47894,47050,46385,45882,45349,44469,43755,42803,41420,40482,39375
화순군,68985,68378,67829,66772,65848,65303,64680,63933,62737,62522,62624
장흥군,42552,42672,43004,43190,43513,40669,40136,39312,38563,37800,36547
강진군,41599,40241,40079,39861,38758,37753,36868,36144,35286,34597,33753
해남군,78346,78150,77684,76981,76194,75121,73604,71901,70354,68806,67166
영암군,60139,59997,59061,58852,58137,57045,55616,54731,54593,53699,52937
무안군,75718,75741,79367,81696,82236,82109,82872,81991,81105,86132,91107
함평군,36134,35780,35610,35090,34876,34397,34328,33420,32861,32050,31274
영광군,56863,57224,57617,56833,56267,55618,54774,54127,53852,53099,51985
장성군,46245,46289,46292,46273,46360,46104,46111,45795,45739,44464,43365
완도군,54037,53871,53619,53174,53014,52668,52109,51477,50689,49916,48631
진도군,33502,33208,32998,32746,32476,32078,31765,31219,30715,31227,30066
신안군,44355,43898,44162,43747,43294,42652,42070,41263,40274,38938,38217
