소재지(시군구)별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
소재지(시군구)별(2),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명),전체인구(A) (명)
소계,1536448,1538630,1542263,1544442,1549507,1550806,1550142,1543052,1541502,1542840,1538492
강원도,0,-,-,-,-,-,-,-,-,-,-
춘천시,272805,273364,274455,275791,277997,280707,280514,280640,281291,282765,284594
원주시,320536,323885,324837,327292,332995,337979,341337,344070,349215,354376,357757
강릉시,217571,217741,216806,215807,214560,213846,213952,212957,213442,213321,212965
동해시,95804,93897,95143,94562,93895,93297,92851,91272,90522,90593,90081
태백시,50176,49493,48794,48258,47501,47070,45888,44858,43866,42719,40844
속초시,83745,83579,83109,82432,81992,81793,82273,81682,81786,82665,82791
삼척시,72312,72463,73023,72314,70839,69599,68514,68326,67228,65243,63429
홍천군,69899,69727,70638,70451,70336,70076,70340,69949,69150,69242,68365
횡성군,44360,44615,44937,45373,45777,45991,46281,46726,46575,46472,46481
영월군,40199,40155,40150,40191,40216,40073,40067,39730,39127,38662,37904
평창군,43577,43627,43666,43660,43500,43318,43092,42610,42106,41681,40996
정선군,40181,39915,39985,39425,39197,38718,38173,37700,37271,36870,35675
철원군,48084,47968,47473,47590,48799,48013,47185,46413,45584,44699,43340
화천군,24945,25020,25079,27143,27020,26264,26022,25084,24917,24857,24195
양구군,22285,22799,23594,23888,24089,24010,23835,23408,22764,22278,21748
인제군,31970,32456,32517,32475,33255,32720,32582,32136,31672,31694,32165
고성군,30057,30124,30398,30269,30060,30114,30029,28144,27260,26757,27249
양양군,27942,27802,27659,27521,27479,27218,27207,27347,27726,27946,27913
소계,1562903,1565628,1572732,1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427
충청북도,0,-,-,-,-,-,-,-,-,-,-
청주시,661946,666852,672904,831521,831912,835197,835590,837749,839566,844993,848482
충주시,208433,208447,208115,208527,207913,208350,208316,210504,210737,210186,209358
제천시,137689,137521,137204,136805,136138,136517,136432,135386,134617,133018,131591
청원군,158369,154780,155002,-,-,-,-,-,-,-,-
보은군,34717,34438,34318,34240,34296,34221,34053,33680,32949,32412,31878
옥천군,53496,53244,52763,52469,52404,52267,51766,51465,51023,50527,50093
영동군,50621,50663,50539,50803,50693,50552,50240,49715,48738,47475,45773
진천군,63051,63458,64606,65174,67981,69950,73677,78218,81084,83718,85176
괴산군,37333,37713,38059,38351,38787,38973,39054,39133,39163,39393,38122
음성군,91644,92980,93505,95324,96396,97787,97306,95830,94982,93153,92197
단양군,31595,31253,31171,30948,30761,30503,30215,30255,29756,29155,28331
